sec_lvl,test_id,operation,time
1,0,dhm_set_group,5
1,0,dhm_make_params,45406
1,0,parse_client_psk_identity,3
1,0,parse_client_dh_public,3
1,0,dhm_calc_secret,43777
1,0,psk_derive_premaster,5
1,0,sha256_hash_master_secret,24
1,0,sha256_hash_key_expansion,51
1,1,dhm_set_group,2
1,1,dhm_make_params,48120
1,1,parse_client_psk_identity,4
1,1,parse_client_dh_public,2
1,1,dhm_calc_secret,47595
1,1,psk_derive_premaster,1
1,1,sha256_hash_master_secret,24
1,1,sha256_hash_key_expansion,55
1,2,dhm_set_group,3
1,2,dhm_make_params,44740
1,2,parse_client_psk_identity,4
1,2,parse_client_dh_public,3
1,2,dhm_calc_secret,44352
1,2,psk_derive_premaster,1
1,2,sha256_hash_master_secret,22
1,2,sha256_hash_key_expansion,64
1,3,dhm_set_group,4
1,3,dhm_make_params,47324
1,3,parse_client_psk_identity,4
1,3,parse_client_dh_public,3
1,3,dhm_calc_secret,46123
1,3,psk_derive_premaster,1
1,3,sha256_hash_master_secret,24
1,3,sha256_hash_key_expansion,54
1,4,dhm_set_group,3
1,4,dhm_make_params,49248
1,4,parse_client_psk_identity,4
1,4,parse_client_dh_public,3
1,4,dhm_calc_secret,61098
1,4,psk_derive_premaster,2
1,4,sha256_hash_master_secret,39
1,4,sha256_hash_key_expansion,89
1,5,dhm_set_group,4
1,5,dhm_make_params,47069
1,5,parse_client_psk_identity,4
1,5,parse_client_dh_public,2
1,5,dhm_calc_secret,50570
1,5,psk_derive_premaster,1
1,5,sha256_hash_master_secret,40
1,5,sha256_hash_key_expansion,107
1,6,dhm_set_group,4
1,6,dhm_make_params,55724
1,6,parse_client_psk_identity,5
1,6,parse_client_dh_public,4
1,6,dhm_calc_secret,57775
1,6,psk_derive_premaster,1
1,6,sha256_hash_master_secret,24
1,6,sha256_hash_key_expansion,55
1,7,dhm_set_group,4
1,7,dhm_make_params,57045
1,7,parse_client_psk_identity,3
1,7,parse_client_dh_public,3
1,7,dhm_calc_secret,46101
1,7,psk_derive_premaster,1
1,7,sha256_hash_master_secret,24
1,7,sha256_hash_key_expansion,65
1,8,dhm_set_group,3
1,8,dhm_make_params,48513
1,8,parse_client_psk_identity,4
1,8,parse_client_dh_public,3
1,8,dhm_calc_secret,54970
1,8,psk_derive_premaster,1
1,8,sha256_hash_master_secret,24
1,8,sha256_hash_key_expansion,54
1,9,dhm_set_group,3
1,9,dhm_make_params,46897
1,9,parse_client_psk_identity,4
1,9,parse_client_dh_public,3
1,9,dhm_calc_secret,46002
1,9,psk_derive_premaster,1
1,9,sha256_hash_master_secret,25
1,9,sha256_hash_key_expansion,56
1,10,dhm_set_group,4
1,10,dhm_make_params,45467
1,10,parse_client_psk_identity,4
1,10,parse_client_dh_public,3
1,10,dhm_calc_secret,46211
1,10,psk_derive_premaster,1
1,10,sha256_hash_master_secret,24
1,10,sha256_hash_key_expansion,55
1,11,dhm_set_group,4
1,11,dhm_make_params,48056
1,11,parse_client_psk_identity,3
1,11,parse_client_dh_public,3
1,11,dhm_calc_secret,46915
1,11,psk_derive_premaster,2
1,11,sha256_hash_master_secret,25
1,11,sha256_hash_key_expansion,55
1,12,dhm_set_group,4
1,12,dhm_make_params,48733
1,12,parse_client_psk_identity,4
1,12,parse_client_dh_public,3
1,12,dhm_calc_secret,44359
1,12,psk_derive_premaster,1
1,12,sha256_hash_master_secret,23
1,12,sha256_hash_key_expansion,55
1,13,dhm_set_group,3
1,13,dhm_make_params,45003
1,13,parse_client_psk_identity,4
1,13,parse_client_dh_public,3
1,13,dhm_calc_secret,43943
1,13,psk_derive_premaster,1
