sec_lvl,test_id,time
1,0,21
1,0,1
1,0,1279
1,0,7
1,0,1
1,0,2
1,0,20443
1,0,21592
1,0,1
1,1,12
1,1,1
1,1,4
1,1,5
1,1,1
1,1,1
1,1,20630
1,1,15989
1,1,2
1,2,11
1,2,1
1,2,4
1,2,6
1,2,1
1,2,2
1,2,20256
1,2,17725
1,2,1
1,3,13
1,3,1
1,3,5
1,3,6
1,3,4
1,3,1
1,3,21629
1,3,15983
1,3,1
1,4,12
1,4,2
1,4,5
1,4,7
1,4,1
1,4,1
1,4,30628
1,4,20209
1,4,1
1,5,14
1,5,1
1,5,6
1,5,10
1,5,1
1,5,1
1,5,25968
1,5,22911
1,5,1
1,6,8
1,6,1
1,6,3
1,6,5
1,6,1
1,6,1
1,6,27606
1,6,15973
1,6,1
1,7,9
1,7,0
1,7,8
1,7,7
1,7,1
1,7,2
1,7,21660
1,7,22096
1,7,1
1,8,12
1,8,1
1,8,7
1,8,7
1,8,1
1,8,2
1,8,23203
1,8,23101
1,8,1
1,9,12
1,9,2
1,9,6
1,9,7
1,9,2
1,9,2
1,9,33166
1,9,16037
1,9,1
1,10,13
1,10,2
1,10,8
1,10,6
1,10,1
1,10,1
1,10,20641
1,10,16242
1,10,1
1,11,12
1,11,1
1,11,7
1,11,7
1,11,1
1,11,1
1,11,20875
1,11,15965
1,11,1
1,12,13
1,12,1
1,12,9
1,12,7
1,12,1
1,12,2
1,12,24917
1,12,16264
1,12,1
1,13,16
1,13,1
1,13,7
1,13,8
1,13,1
1,13,1
1,13,25043
1,13,18183
1,13,1
1,14,9
1,14,2
1,14,7
1,14,7
1,14,1
1,14,2
1,14,20603
1,14,17207
1,14,1
1,15,16
1,15,1
1,15,6
1,15,6
1,15,1
1,15,2
1,15,28854
1,15,17069
1,15,1
1,16,18
1,16,1
1,16,6
1,16,6
1,16,1
1,16,2
1,16,29156
1,16,24414
1,16,2
1,17,13
1,17,2
1,17,6
1,17,7
1,17,1
1,17,2
1,17,28101
1,17,24836
1,17,2
1,18,13
1,18,1
1,18,6
1,18,7
1,18,2
1,18,2
1,18,29416
1,18,23904
1,18,1
1,19,14
1,19,1
1,19,7
1,19,8
1,19,1
1,19,1
1,19,31378
1,19,24036
1,19,2
2,0,13
2,0,1
2,0,5
2,0,6
2,0,1
2,0,1
2,0,25390
2,0,60534
2,0,1
2,1,12
2,1,1
2,1,20
2,1,8
2,1,1
2,1,2
2,1,23150
2,1,47384
2,1,1
2,2,12
2,2,2
2,2,7
2,2,7
2,2,2
2,2,2
2,2,26844
2,2,57322
2,2,1
2,3,12
2,3,2
2,3,7
2,3,7
2,3,1
2,3,2
2,3,23020
2,3,47204
2,3,1
2,4,9
2,4,1
2,4,4
2,4,6
2,4,1
2,4,1
2,4,28641
2,4,50485
2,4,1
2,5,11
2,5,1
2,5,5
2,5,14
2,5,0
2,5,1
2,5,22173
2,5,46018
2,5,1
2,6,8
2,6,2
2,6,5
2,6,5
2,6,1
2,6,1
2,6,21573
2,6,46316
2,6,1
2,7,12
2,7,1
2,7,7
2,7,8
2,7,1
2,7,1
2,7,21921
2,7,46329
2,7,1
2,8,15
2,8,2
2,8,6
2,8,7
2,8,1
2,8,2
2,8,29000
2,8,51295
2,8,2
2,9,10
2,9,1
2,9,5
2,9,8
2,9,1
2,9,1
2,9,21779
2,9,47051
2,9,1
2,10,11
2,10,1
2,10,4
2,10,5
2,10,1
2,10,1
2,10,21578
2,10,47191
2,10,1
2,11,12
2,11,1
2,11,7
2,11,5
2,11,1
2,11,2
2,11,21829
2,11,46103
2,11,11
2,12,13
2,12,1
2,12,5
2,12,5
2,12,1
2,12,1
2,12,21620
2,12,46962
2,12,1
2,13,11
2,13,1
2,13,4
2,13,5
2,13,1
2,13,1
2,13,21683
2,13,45751
2,13,11
2,14,12
2,14,1
2,14,6
2,14,7
2,14,1
2,14,2
2,14,25365
2,14,54680
2,14,1
2,15,9
2,15,1
2,15,7
2,15,7
2,15,1
2,15,1
2,15,21904
2,15,46637
2,15,1
2,16,12
2,16,2
2,16,4
2,16,5
2,16,1
2,16,1
2,16,21758
2,16,46859
2,16,1
2,17,14
2,17,2
2,17,5
2,17,6
2,17,1
2,17,1
2,17,22350
2,17,46489
2,17,1
2,18,10
2,18,1
2,18,6
2,18,6
2,18,0
2,18,1
2,18,21677
2,18,46591
2,18,1
2,19,14
2,19,2
2,19,5
2,19,6
2,19,1
2,19,1
2,19,21441
2,19,46847
2,19,1
3,0,9
3,0,1
3,0,5
3,0,5
3,0,1
3,0,2
3,0,54454
3,0,697642
3,0,1
3,1,9
3,1,0
3,1,4
3,1,6
3,1,1
3,1,5
3,1,52875
3,1,636128
3,1,1
3,2,13
3,2,1
3,2,7
3,2,7
3,2,1
3,2,3
3,2,60829
3,2,669919
3,2,1
3,3,14
3,3,1
3,3,4
3,3,5
3,3,1
3,3,1
3,3,53877
3,3,613029
3,3,1
3,4,14
3,4,1
3,4,6
3,4,5
3,4,1
3,4,1
3,4,66342
3,4,611161
3,4,1
3,5,13
3,5,1
3,5,6
3,5,6
3,5,1
3,5,2
3,5,57735
3,5,635993
3,5,1
3,6,13
3,6,1
3,6,5
3,6,6
3,6,0
3,6,1
3,6,54551
3,6,615037
3,6,1
3,7,12
3,7,1
3,7,8
3,7,8
3,7,1
3,7,3
3,7,55036
3,7,610459
3,7,0
3,8,9
3,8,1
3,8,7
3,8,5
3,8,1
3,8,1
3,8,54361
3,8,611880
3,8,3
3,9,9
3,9,1
3,9,5
3,9,6
3,9,1
3,9,2
3,9,53702
3,9,610854
3,9,1
3,10,14
3,10,1
3,10,6
3,10,7
3,10,1
3,10,2
3,10,55335
3,10,613689
3,10,2
3,11,14
3,11,1
3,11,4
3,11,4
3,11,1
3,11,2
3,11,53380
3,11,611702
3,11,1
3,12,10
3,12,1
3,12,6
3,12,5
3,12,1
3,12,2
3,12,54516
3,12,615093
3,12,1
3,13,13
3,13,1
3,13,5
3,13,6
3,13,0
3,13,1
3,13,53999
3,13,616506
3,13,1
3,14,12
3,14,1
3,14,7
3,14,7
3,14,1
3,14,2
3,14,56101
3,14,610764
3,14,1
3,15,12
3,15,2
3,15,5
3,15,5
3,15,1
3,15,2
3,15,54190
3,15,609963
3,15,1
3,16,13
3,16,1
3,16,7
3,16,5
3,16,1
3,16,1
3,16,55164
3,16,623528
3,16,1
3,17,11
3,17,1
3,17,5
3,17,6
3,17,1
3,17,1
3,17,57429
3,17,610567
3,17,1
3,18,13
3,18,2
3,18,5
3,18,6
3,18,1
3,18,1
3,18,56819
3,18,644834
3,18,1
3,19,9
3,19,1
3,19,5
3,19,5
3,19,1
3,19,1
3,19,54058
3,19,615258
3,19,1
