sec_lvl,test_id,time
1,0,9
1,0,0
1,0,6869
1,0,3
1,0,20729
1,0,3
1,0,1
1,0,1
1,0,6
1,0,10004
1,0,20004
1,1,1
1,1,1
1,1,15
1,1,2
1,1,22146
1,1,4
1,1,1
1,1,1
1,1,3
1,1,10238
1,1,20894
1,2,1
1,2,1
1,2,19
1,2,2
1,2,20679
1,2,2
1,2,1
1,2,1
1,2,2
1,2,11969
1,2,21180
1,3,1
1,3,0
1,3,14
1,3,2
1,3,21119
1,3,2
1,3,1
1,3,1
1,3,1
1,3,16628
1,3,22727
1,4,1
1,4,1
1,4,14
1,4,2
1,4,21180
1,4,3
1,4,1
1,4,1
1,4,1
1,4,15660
1,4,30969
1,5,1
1,5,1
1,5,14
1,5,1
1,5,20702
1,5,3
1,5,1
1,5,2
1,5,2
1,5,11376
1,5,21687
1,6,1
1,6,0
1,6,14
1,6,2
1,6,21283
1,6,3
1,6,1
1,6,2
1,6,2
1,6,10437
1,6,21301
1,7,2
1,7,0
1,7,16
1,7,1
1,7,24325
1,7,4
1,7,1
1,7,2
1,7,1
1,7,10608
1,7,20741
1,8,2
1,8,1
1,8,21
1,8,1
1,8,22021
1,8,2
1,8,1
1,8,1
1,8,1
1,8,17553
1,8,20522
1,9,2
1,9,1
1,9,15
1,9,2
1,9,21847
1,9,3
1,9,1
1,9,1
1,9,2
1,9,12191
1,9,20600
1,10,1
1,10,1
1,10,15
1,10,1
1,10,21797
1,10,2
1,10,1
1,10,1
1,10,1
1,10,12107
1,10,20952
1,11,1
1,11,0
1,11,15
1,11,2
1,11,22827
1,11,3
1,11,1
1,11,1
1,11,1
1,11,15088
1,11,24315
1,12,1
1,12,1
1,12,15
1,12,2
1,12,20994
1,12,2
1,12,0
1,12,1
1,12,1
1,12,10323
1,12,20721
1,13,1
1,13,1
1,13,14
1,13,2
1,13,20830
1,13,2
1,13,1
1,13,1
1,13,1
1,13,10071
1,13,20442
1,14,1
1,14,1
1,14,14
1,14,1
1,14,20556
1,14,2
1,14,1
1,14,1
1,14,2
1,14,9939
1,14,20829
1,15,1
1,15,0
1,15,14
1,15,1
1,15,20784
1,15,2
1,15,1
1,15,1
1,15,1
1,15,10165
1,15,19976
1,16,1
1,16,1
1,16,14
1,16,1
1,16,20195
1,16,12
1,16,1
1,16,1
1,16,1
1,16,9878
1,16,19914
1,17,1
1,17,0
1,17,14
1,17,2
1,17,20373
1,17,2
1,17,1
1,17,1
1,17,2
1,17,10227
1,17,20355
1,18,2
1,18,1
1,18,24
1,18,1
1,18,20874
1,18,2
1,18,0
1,18,1
1,18,1
1,18,9999
1,18,20074
1,19,1
1,19,1
1,19,14
1,19,2
1,19,20394
1,19,1
1,19,1
1,19,1
1,19,1
1,19,10174
1,19,20415
2,0,2
2,0,1
2,0,13
2,0,2
2,0,21984
2,0,2
2,0,1
2,0,1
2,0,2
2,0,13447
2,0,21620
2,1,1
2,1,1
2,1,14
2,1,1
2,1,22174
2,1,3
2,1,1
2,1,1
2,1,1
2,1,12492
2,1,21219
2,2,1
2,2,1
2,2,14
2,2,2
2,2,22152
2,2,3
2,2,1
2,2,1
2,2,1
2,2,10798
2,2,21317
2,3,1
2,3,1
2,3,14
2,3,1
2,3,22391
2,3,2
2,3,1
2,3,1
2,3,1
2,3,10571
2,3,21251
2,4,2
2,4,1
2,4,24
2,4,1
2,4,21398
2,4,2
2,4,1
2,4,1
2,4,2
2,4,10439
2,4,21680
2,5,2
2,5,1
2,5,16
2,5,1
2,5,21891
2,5,2
2,5,1
2,5,1
2,5,2
2,5,12701
2,5,24622
2,6,1
2,6,1
2,6,14
2,6,1
2,6,22009
2,6,2
2,6,0
2,6,1
2,6,1
2,6,10483
2,6,21373
2,7,1
2,7,1
2,7,15
2,7,2
2,7,21981
2,7,3
2,7,1
2,7,1
2,7,1
2,7,13106
2,7,21669
2,8,1
2,8,1
2,8,14
2,8,1
2,8,22024
2,8,2
2,8,1
2,8,1
2,8,1
2,8,10518
2,8,21883
2,9,2
2,9,1
2,9,15
2,9,2
2,9,21651
2,9,2
2,9,1
2,9,1
2,9,2
2,9,10664
2,9,21640
2,10,1
2,10,1
2,10,14
2,10,2
2,10,21666
2,10,11
2,10,1
2,10,1
2,10,1
2,10,10847
2,10,24638
2,11,2
2,11,1
2,11,25
2,11,2
2,11,22469
2,11,2
2,11,0
2,11,1
2,11,1
2,11,10574
2,11,21410
2,12,2
2,12,1
2,12,15
2,12,2
2,12,21745
2,12,2
2,12,1
2,12,1
2,12,2
2,12,10829
2,12,21959
2,13,1
2,13,1
2,13,15
2,13,2
2,13,22001
2,13,2
2,13,1
2,13,1
2,13,2
2,13,10530
2,13,21369
2,14,1
2,14,1
2,14,14
2,14,2
2,14,21967
2,14,2
2,14,1
2,14,1
2,14,1
2,14,10525
2,14,22135
2,15,1
2,15,1
2,15,15
2,15,2
2,15,21856
2,15,2
2,15,1
2,15,1
2,15,1
2,15,10588
2,15,21790
2,16,1
2,16,1
2,16,15
2,16,2
2,16,22015
2,16,2
2,16,1
2,16,1
2,16,1
2,16,10809
2,16,22007
2,17,2
2,17,1
2,17,24
2,17,1
2,17,22317
2,17,2
2,17,1
2,17,1
2,17,1
2,17,10632
2,17,20990
2,18,1
2,18,1
2,18,14
2,18,1
2,18,21798
2,18,2
2,18,1
2,18,1
2,18,1
2,18,10723
2,18,21610
2,19,1
2,19,1
2,19,14
2,19,1
2,19,24050
2,19,3
2,19,1
2,19,1
2,19,2
2,19,11259
2,19,22630
3,0,1
3,0,1
3,0,13
3,0,2
3,0,57309
3,0,3
3,0,0
3,0,1
3,0,2
3,0,28607
3,0,53992
3,1,1
3,1,1
3,1,15
3,1,2
3,1,57384
3,1,12
3,1,1
3,1,0
3,1,1
3,1,27653
3,1,55244
3,2,2
3,2,1
3,2,14
3,2,2
3,2,56318
3,2,3
3,2,1
3,2,1
3,2,2
3,2,34279
3,2,58831
3,3,1
3,3,1
3,3,20
3,3,2
3,3,59327
3,3,3
3,3,1
3,3,1
3,3,1
3,3,26488
3,3,52802
3,4,1
3,4,1
3,4,15
3,4,2
3,4,55743
3,4,3
3,4,1
3,4,2
3,4,2
3,4,27308
3,4,55236
3,5,1
3,5,0
3,5,15
3,5,2
3,5,55795
3,5,2
3,5,1
3,5,1
3,5,2
3,5,26711
3,5,55727
3,6,1
3,6,1
3,6,14
3,6,1
3,6,56614
3,6,2
3,6,1
3,6,1
3,6,1
3,6,30907
3,6,55678
3,7,1
3,7,0
3,7,15
3,7,2
3,7,56106
3,7,3
3,7,1
3,7,1
3,7,2
3,7,26338
3,7,54542
3,8,1
3,8,1
3,8,22
3,8,1
3,8,57220
3,8,3
3,8,1
3,8,1
3,8,1
3,8,26908
3,8,53839
3,9,1
3,9,1
3,9,15
3,9,2
3,9,55034
3,9,2
3,9,0
3,9,0
3,9,2
3,9,26319
3,9,56062
3,10,2
3,10,1
3,10,15
3,10,1
3,10,57463
3,10,3
3,10,1
3,10,1
3,10,1
3,10,26328
3,10,54652
3,11,1
3,11,1
3,11,15
3,11,2
3,11,55616
3,11,2
3,11,1
3,11,1
3,11,1
3,11,26419
3,11,53898
3,12,1
3,12,1
3,12,16
3,12,2
3,12,56959
3,12,4
3,12,1
3,12,1
3,12,1
3,12,26861
3,12,54628
3,13,1
3,13,1
3,13,15
3,13,2
3,13,57946
3,13,3
3,13,1
3,13,1
3,13,1
3,13,27211
3,13,55216
3,14,1
3,14,1
3,14,14
3,14,2
3,14,56154
3,14,3
3,14,1
3,14,1
3,14,2
3,14,26834
3,14,54353
3,15,1
3,15,0
3,15,14
3,15,2
3,15,56352
3,15,3
3,15,1
3,15,0
3,15,2
3,15,30415
3,15,54043
3,16,1
3,16,1
3,16,14
3,16,1
3,16,57384
3,16,3
3,16,1
3,16,1
3,16,2
3,16,29078
3,16,55518
3,17,1
3,17,0
3,17,14
3,17,1
3,17,55755
3,17,17
3,17,1
3,17,1
3,17,3
3,17,34899
3,17,57530
3,18,1
3,18,0
3,18,16
3,18,2
3,18,55684
3,18,3
3,18,0
3,18,1
3,18,1
3,18,27040
3,18,56268
3,19,1
3,19,1
3,19,15
3,19,1
3,19,55739
3,19,3
3,19,1
3,19,1
3,19,1
3,19,26757
3,19,53599
