sec_lvl,test_id,operation,time
1,0,ecdh_setup,4
1,0,ecdh_make_params,10297
1,0,ecdsa_sign_with_sha512,10414
1,0,ecdh_read_public,5
1,0,ecdh_calc_secret,9906
1,0,sha256_hash_master_secret,21
1,0,sha256_hash_key_expansion,55
1,0,ecdsa_verify_with_sha256,19999
1,1,ecdh_setup,3
1,1,ecdh_make_params,11139
1,1,ecdsa_sign_with_sha512,10996
1,1,ecdh_read_public,4
1,1,ecdh_calc_secret,10144
1,1,sha256_hash_master_secret,20
1,1,sha256_hash_key_expansion,55
1,1,ecdsa_verify_with_sha256,20887
1,2,ecdh_setup,4
1,2,ecdh_make_params,10259
1,2,ecdsa_sign_with_sha512,10411
1,2,ecdh_read_public,5
1,2,ecdh_calc_secret,11790
1,2,sha256_hash_master_secret,46
1,2,sha256_hash_key_expansion,113
1,2,ecdsa_verify_with_sha256,21173
1,3,ecdh_setup,3
1,3,ecdh_make_params,10325
1,3,ecdsa_sign_with_sha512,10785
1,3,ecdh_read_public,3
1,3,ecdh_calc_secret,16541
1,3,sha256_hash_master_secret,20
1,3,sha256_hash_key_expansion,53
1,3,ecdsa_verify_with_sha256,22722
1,4,ecdh_setup,3
1,4,ecdh_make_params,10569
1,4,ecdsa_sign_with_sha512,10601
1,4,ecdh_read_public,4
1,4,ecdh_calc_secret,15498
1,4,sha256_hash_master_secret,38
1,4,sha256_hash_key_expansion,103
1,4,ecdsa_verify_with_sha256,30962
1,5,ecdh_setup,3
1,5,ecdh_make_params,10308
1,5,ecdsa_sign_with_sha512,10386
1,5,ecdh_read_public,5
1,5,ecdh_calc_secret,11239
1,5,sha256_hash_master_secret,31
1,5,sha256_hash_key_expansion,84
1,5,ecdsa_verify_with_sha256,21679
1,6,ecdh_setup,3
1,6,ecdh_make_params,10234
1,6,ecdsa_sign_with_sha512,11041
1,6,ecdh_read_public,5
1,6,ecdh_calc_secret,10345
1,6,sha256_hash_master_secret,20
1,6,sha256_hash_key_expansion,55
1,6,ecdsa_verify_with_sha256,21295
1,7,ecdh_setup,3
1,7,ecdh_make_params,13495
1,7,ecdsa_sign_with_sha512,10820
1,7,ecdh_read_public,4
1,7,ecdh_calc_secret,10515
1,7,sha256_hash_master_secret,20
