sec_lvl,test_id,time
1,0,11
1,0,1
1,0,1623
1,0,3
1,0,34166
1,0,5
1,0,1
1,0,1
1,0,5
1,0,11009
1,0,540
1,1,1
1,1,0
1,1,16
1,1,2
1,1,26051
1,1,2
1,1,1
1,1,1
1,1,1
1,1,10849
1,1,539
1,2,2
1,2,1
1,2,17
1,2,2
1,2,26024
1,2,3
1,2,1
1,2,1
1,2,1
1,2,12648
1,2,525
1,3,2
1,3,1
1,3,17
1,3,1
1,3,25998
1,3,2
1,3,1
1,3,1
1,3,3
1,3,11103
1,3,532
1,4,2
1,4,0
1,4,16
1,4,2
1,4,32787
1,4,3
1,4,1
1,4,2
1,4,2
1,4,11224
1,4,539
1,5,2
1,5,1
1,5,25
1,5,2
1,5,36542
1,5,3
1,5,1
1,5,1
1,5,1
1,5,10794
1,5,523
1,6,1
1,6,1
1,6,15
1,6,2
1,6,26956
1,6,3
1,6,1
1,6,2
1,6,1
1,6,14222
1,6,539
1,7,2
1,7,1
1,7,18
1,7,2
1,7,26598
1,7,3
1,7,2
1,7,1
1,7,1
1,7,10762
1,7,658
1,8,1
1,8,0
1,8,16
1,8,2
1,8,26468
1,8,3
1,8,1
1,8,1
1,8,2
1,8,17353
1,8,519
1,9,2
1,9,1
1,9,23
1,9,2
1,9,26523
1,9,2
1,9,1
1,9,1
1,9,1
1,9,10382
1,9,529
1,10,1
1,10,1
1,10,23
1,10,2
1,10,27458
1,10,2
1,10,1
1,10,1
1,10,1
1,10,11759
1,10,524
1,11,1
1,11,1
1,11,14
1,11,2
1,11,26301
1,11,2
1,11,1
1,11,1
1,11,2
1,11,10502
1,11,518
1,12,1
1,12,1
1,12,14
1,12,2
1,12,30379
1,12,3
1,12,1
1,12,1
1,12,1
1,12,11023
1,12,529
1,13,1
1,13,1
1,13,24
1,13,2
1,13,38633
1,13,3
1,13,1
1,13,2
1,13,1
1,13,16064
1,13,749
1,14,2
1,14,1
1,14,24
1,14,2
1,14,34907
1,14,4
1,14,1
1,14,1
1,14,2
1,14,17402
1,14,757
1,15,2
1,15,1
1,15,21
1,15,2
1,15,30425
1,15,3
1,15,1
1,15,1
1,15,1
1,15,16156
1,15,762
1,16,1
1,16,1
1,16,25
1,16,2
1,16,28023
1,16,4
1,16,2
1,16,1
1,16,1
1,16,17152
1,16,756
1,17,2
1,17,1
1,17,22
1,17,2
1,17,38073
1,17,4
1,17,1
1,17,2
1,17,1
1,17,15955
1,17,753
1,18,2
1,18,1
1,18,17
1,18,1
1,18,26203
1,18,2
1,18,1
1,18,1
1,18,1
1,18,10053
1,18,519
1,19,1
1,19,0
1,19,18
1,19,2
1,19,27732
1,19,3
1,19,1
1,19,1
1,19,1
1,19,10499
1,19,579
2,0,1
2,0,0
2,0,16
2,0,2
2,0,69317
2,0,2
2,0,0
2,0,1
2,0,1
2,0,10969
2,0,1420
2,1,1
2,1,1
2,1,22
2,1,2
2,1,65532
2,1,4
2,1,1
2,1,1
2,1,1
2,1,10900
2,1,1125
2,2,1
2,2,1
2,2,18
2,2,2
2,2,62004
2,2,3
2,2,1
2,2,1
2,2,2
2,2,11051
2,2,1185
2,3,1
2,3,1
2,3,17
2,3,2
2,3,61103
2,3,2
2,3,1
2,3,1
2,3,1
2,3,10625
2,3,1104
2,4,2
2,4,1
2,4,16
2,4,2
2,4,57727
2,4,15
2,4,1
2,4,1
2,4,1
2,4,10742
2,4,1111
2,5,1
2,5,1
2,5,16
2,5,2
2,5,58047
2,5,3
2,5,1
2,5,1
2,5,1
2,5,10987
2,5,1128
2,6,1
2,6,0
2,6,15
2,6,1
2,6,57403
2,6,3
2,6,1
2,6,1
2,6,1
2,6,10744
2,6,1117
2,7,1
2,7,1
2,7,16
2,7,2
2,7,57676
2,7,2
2,7,1
2,7,1
2,7,1
2,7,10966
2,7,1158
2,8,1
2,8,1
2,8,15
2,8,2
2,8,64656
2,8,3
2,8,1
2,8,2
2,8,1
2,8,19733
2,8,1159
2,9,1
2,9,0
2,9,15
2,9,2
2,9,57512
2,9,2
2,9,1
2,9,1
2,9,1
2,9,10810
2,9,1111
2,10,1
2,10,1
2,10,16
2,10,2
2,10,57010
2,10,3
2,10,1
2,10,1
2,10,1
2,10,10808
2,10,1122
2,11,1
2,11,1
2,11,15
2,11,3
2,11,57351
2,11,3
2,11,1
2,11,1
2,11,1
2,11,10813
2,11,1089
2,12,1
2,12,1
2,12,16
2,12,1
2,12,57746
2,12,3
2,12,1
2,12,1
2,12,1
2,12,10751
2,12,1102
2,13,1
2,13,1
2,13,19
2,13,3
2,13,59231
2,13,3
2,13,1
2,13,2
2,13,1
2,13,10802
2,13,1082
2,14,1
2,14,1
2,14,15
2,14,2
2,14,56123
2,14,4
2,14,1
2,14,1
2,14,1
2,14,10615
2,14,1094
2,15,1
2,15,1
2,15,14
2,15,1
2,15,57077
2,15,3
2,15,1
2,15,2
2,15,1
2,15,10883
2,15,1120
2,16,2
2,16,1
2,16,16
2,16,2
2,16,56935
2,16,2
2,16,1
2,16,1
2,16,1
2,16,11445
2,16,1117
2,17,1
2,17,1
2,17,16
2,17,2
2,17,56532
2,17,2
2,17,1
2,17,1
2,17,1
2,17,10764
2,17,1126
2,18,2
2,18,1
2,18,17
2,18,2
2,18,56443
2,18,3
2,18,1
2,18,1
2,18,1
2,18,10590
2,18,1098
2,19,1
2,19,1
2,19,14
2,19,2
2,19,56731
2,19,3
2,19,1
2,19,1
2,19,1
2,19,11497
2,19,1107
3,0,2
3,0,1
3,0,13
3,0,1
3,0,734377
3,0,3
3,0,1
3,0,1
3,0,1
3,0,26446
3,0,6205
3,1,1
3,1,0
3,1,15
3,1,2
3,1,637742
3,1,2
3,1,1
3,1,1
3,1,1
3,1,26993
3,1,6321
3,2,1
3,2,0
3,2,14
3,2,2
3,2,637344
3,2,2
3,2,1
3,2,1
3,2,1
3,2,26301
3,2,6248
3,3,1
3,3,1
3,3,16
3,3,2
3,3,641157
3,3,3
3,3,1
3,3,1
3,3,2
3,3,31575
3,3,6290
3,4,1
3,4,1
3,4,17
3,4,2
3,4,679605
3,4,2
3,4,1
3,4,1
3,4,1
3,4,26678
3,4,6290
3,5,1
3,5,1
3,5,16
3,5,1
3,5,636793
3,5,3
3,5,1
3,5,1
3,5,2
3,5,27070
3,5,6385
3,6,1
3,6,1
3,6,15
3,6,2
3,6,638580
3,6,3
3,6,0
3,6,2
3,6,1
3,6,26627
3,6,6444
3,7,1
3,7,1
3,7,16
3,7,2
3,7,641267
3,7,3
3,7,1
3,7,1
3,7,1
3,7,26801
3,7,6765
3,8,1
3,8,1
3,8,15
3,8,2
3,8,642481
3,8,3
3,8,1
3,8,1
3,8,1
3,8,26605
3,8,6186
3,9,1
3,9,0
3,9,16
3,9,2
3,9,637389
3,9,3
3,9,1
3,9,0
3,9,1
3,9,26542
3,9,6285
3,10,1
3,10,1
3,10,15
3,10,1
3,10,640427
3,10,3
3,10,1
3,10,1
3,10,1
3,10,38731
3,10,6217
3,11,1
3,11,1
3,11,24
3,11,2
3,11,644539
3,11,3
3,11,2
3,11,2
3,11,2
3,11,31221
3,11,6299
3,12,1
3,12,1
3,12,14
3,12,3
3,12,651818
3,12,2
3,12,2
3,12,1
3,12,1
3,12,26854
3,12,6213
3,13,2
3,13,0
3,13,16
3,13,2
3,13,637429
3,13,2
3,13,1
3,13,1
3,13,1
3,13,34883
3,13,6281
3,14,1
3,14,0
3,14,15
3,14,2
3,14,637894
3,14,2
3,14,1
3,14,1
3,14,1
3,14,27509
3,14,6462
3,15,2
3,15,1
3,15,16
3,15,2
3,15,670489
3,15,3
3,15,1
3,15,1
3,15,1
3,15,27428
3,15,6325
3,16,1
3,16,1
3,16,15
3,16,2
3,16,644414
3,16,3
3,16,1
3,16,2
3,16,2
3,16,33048
3,16,6196
3,17,1
3,17,1
3,17,16
3,17,2
3,17,703409
3,17,4
3,17,1
3,17,1
3,17,2
3,17,43862
3,17,6307
3,18,2
3,18,1
3,18,21
3,18,2
3,18,739083
3,18,3
3,18,1
3,18,1
3,18,1
3,18,27347
3,18,9311
3,19,2
3,19,1
3,19,16
3,19,2
3,19,641347
3,19,3
3,19,1
3,19,1
3,19,1
3,19,28079
3,19,6283
