sec_lvl,test_id,operation,time
1,0,psk_derive_premaster,4
1,0,sha256_hash_master_secret,38
1,0,sha256_hash_key_expansion,96
1,1,psk_derive_premaster,1
1,1,sha256_hash_master_secret,34
1,1,sha256_hash_key_expansion,106
1,2,psk_derive_premaster,2
1,2,sha256_hash_master_secret,36
1,2,sha256_hash_key_expansion,150
1,3,psk_derive_premaster,1
1,3,sha256_hash_master_secret,35
1,3,sha256_hash_key_expansion,96
1,4,psk_derive_premaster,1
1,4,sha256_hash_master_secret,22
1,4,sha256_hash_key_expansion,55
1,5,psk_derive_premaster,1
1,5,sha256_hash_master_secret,23
1,5,sha256_hash_key_expansion,55
1,6,psk_derive_premaster,1
1,6,sha256_hash_master_secret,32
1,6,sha256_hash_key_expansion,105
1,7,psk_derive_premaster,2
1,7,sha256_hash_master_secret,31
1,7,sha256_hash_key_expansion,91
1,8,psk_derive_premaster,2
1,8,sha256_hash_master_secret,34
1,8,sha256_hash_key_expansion,88
1,9,psk_derive_premaster,2
1,9,sha256_hash_master_secret,34
1,9,sha256_hash_key_expansion,94
1,10,psk_derive_premaster,2
1,10,sha256_hash_master_secret,35
1,10,sha256_hash_key_expansion,95
1,11,psk_derive_premaster,1
1,11,sha256_hash_master_secret,21
1,11,sha256_hash_key_expansion,56
1,12,psk_derive_premaster,1
1,12,sha256_hash_master_secret,34
1,12,sha256_hash_key_expansion,95
1,13,psk_derive_premaster,2
1,13,sha256_hash_master_secret,39
1,13,sha256_hash_key_expansion,101
1,14,psk_derive_premaster,2
1,14,sha256_hash_master_secret,46
1,14,sha256_hash_key_expansion,120
1,15,psk_derive_premaster,1
1,15,sha256_hash_master_secret,22
1,15,sha256_hash_key_expansion,58
1,16,psk_derive_premaster,2
1,16,sha256_hash_master_secret,36
1,16,sha256_hash_key_expansion,104
1,17,psk_derive_premaster,2
1,17,sha256_hash_master_secret,35
1,17,sha256_hash_key_expansion,101
1,18,psk_derive_premaster,1
1,18,sha256_hash_master_secret,24
1,18,sha256_hash_key_expansion,56
1,19,psk_derive_premaster,2
1,19,sha256_hash_master_secret,22
1,19,sha256_hash_key_expansion,55
2,0,psk_derive_premaster,2
2,0,sha256_hash_master_secret,35
2,0,sha256_hash_key_expansion,106
2,1,psk_derive_premaster,2
2,1,sha256_hash_master_secret,33
2,1,sha256_hash_key_expansion,62
2,2,psk_derive_premaster,1
2,2,sha256_hash_master_secret,22
2,2,sha256_hash_key_expansion,56
2,3,psk_derive_premaster,2
2,3,sha256_hash_master_secret,88
2,3,sha256_hash_key_expansion,93
2,4,psk_derive_premaster,1
2,4,sha256_hash_master_secret,21
2,4,sha256_hash_key_expansion,56
2,5,psk_derive_premaster,2
2,5,sha256_hash_master_secret,31
2,5,sha256_hash_key_expansion,99
2,6,psk_derive_premaster,2
2,6,sha256_hash_master_secret,37
2,6,sha256_hash_key_expansion,106
2,7,psk_derive_premaster,2
2,7,sha256_hash_master_secret,38
2,7,sha256_hash_key_expansion,100
2,8,psk_derive_premaster,2
2,8,sha256_hash_master_secret,35
2,8,sha256_hash_key_expansion,96
2,9,psk_derive_premaster,7
2,9,sha256_hash_master_secret,33
2,9,sha256_hash_key_expansion,72
2,10,psk_derive_premaster,2
2,10,sha256_hash_master_secret,37
2,10,sha256_hash_key_expansion,104
2,11,psk_derive_premaster,1
2,11,sha256_hash_master_secret,20
2,11,sha256_hash_key_expansion,55
2,12,psk_derive_premaster,2
2,12,sha256_hash_master_secret,36
2,12,sha256_hash_key_expansion,106
2,13,psk_derive_premaster,2
2,13,sha256_hash_master_secret,44
2,13,sha256_hash_key_expansion,94
2,14,psk_derive_premaster,1
2,14,sha256_hash_master_secret,26
2,14,sha256_hash_key_expansion,55
2,15,psk_derive_premaster,2
2,15,sha256_hash_master_secret,42
2,15,sha256_hash_key_expansion,130
2,16,psk_derive_premaster,2
2,16,sha256_hash_master_secret,35
2,16,sha256_hash_key_expansion,86
2,17,psk_derive_premaster,2
2,17,sha256_hash_master_secret,31
2,17,sha256_hash_key_expansion,96
2,18,psk_derive_premaster,2
2,18,sha256_hash_master_secret,23
2,18,sha256_hash_key_expansion,83
2,19,psk_derive_premaster,2
2,19,sha256_hash_master_secret,24
2,19,sha256_hash_key_expansion,55
3,0,psk_derive_premaster,2
3,0,sha256_hash_master_secret,21
3,0,sha256_hash_key_expansion,55
3,1,psk_derive_premaster,2
3,1,sha256_hash_master_secret,22
3,1,sha256_hash_key_expansion,56
3,2,psk_derive_premaster,1
3,2,sha256_hash_master_secret,21
3,2,sha256_hash_key_expansion,54
3,3,psk_derive_premaster,2
3,3,sha256_hash_master_secret,31
3,3,sha256_hash_key_expansion,100
3,4,psk_derive_premaster,1
3,4,sha256_hash_master_secret,23
3,4,sha256_hash_key_expansion,54
3,5,psk_derive_premaster,1
3,5,sha256_hash_master_secret,21
3,5,sha256_hash_key_expansion,56
3,6,psk_derive_premaster,1
3,6,sha256_hash_master_secret,22
3,6,sha256_hash_key_expansion,55
3,7,psk_derive_premaster,1
3,7,sha256_hash_master_secret,33
3,7,sha256_hash_key_expansion,105
3,8,psk_derive_premaster,1
3,8,sha256_hash_master_secret,22
3,8,sha256_hash_key_expansion,56
3,9,psk_derive_premaster,1
3,9,sha256_hash_master_secret,23
3,9,sha256_hash_key_expansion,55
3,10,psk_derive_premaster,1
3,10,sha256_hash_master_secret,23
3,10,sha256_hash_key_expansion,55
3,11,psk_derive_premaster,2
3,11,sha256_hash_master_secret,31
3,11,sha256_hash_key_expansion,92
3,12,psk_derive_premaster,3
3,12,sha256_hash_master_secret,34
3,12,sha256_hash_key_expansion,97
3,13,psk_derive_premaster,3
3,13,sha256_hash_master_secret,39
3,13,sha256_hash_key_expansion,98
3,14,psk_derive_premaster,1
3,14,sha256_hash_master_secret,23
3,14,sha256_hash_key_expansion,55
3,15,psk_derive_premaster,2
3,15,sha256_hash_master_secret,21
3,15,sha256_hash_key_expansion,55
3,16,psk_derive_premaster,2
3,16,sha256_hash_master_secret,20
3,16,sha256_hash_key_expansion,55
3,17,psk_derive_premaster,1
3,17,sha256_hash_master_secret,22
3,17,sha256_hash_key_expansion,56
3,18,psk_derive_premaster,1
3,18,sha256_hash_master_secret,25
3,18,sha256_hash_key_expansion,55
3,19,psk_derive_premaster,1
3,19,sha256_hash_master_secret,34
3,19,sha256_hash_key_expansion,105
