sec_lvl,test_id,time
1,0,7
1,0,1
1,0,6597
1,0,9
1,0,5
1,0,172
1,1,1
1,1,1
1,1,14
1,1,2
1,1,2
1,1,158
1,2,2
1,2,2
1,2,24
1,2,2
1,2,1
1,2,164
1,3,1
1,3,1
1,3,14
1,3,2
1,3,2
1,3,133
1,4,1
1,4,1
1,4,13
1,4,3
1,4,3
1,4,149
1,5,1
1,5,1
1,5,15
1,5,2
1,5,2
1,5,100
1,6,1
1,6,1
1,6,14
1,6,2
1,6,1
1,6,156
1,7,1
1,7,1
1,7,15
1,7,2
1,7,1
1,7,138
1,8,2
1,8,1
1,8,26
1,8,2
1,8,1
1,8,143
1,9,2
1,9,0
1,9,22
1,9,2
1,9,2
1,9,123
1,10,1
1,10,1
1,10,14
1,10,2
1,10,1
1,10,90
1,11,2
1,11,1
1,11,14
1,11,2
1,11,1
1,11,89
1,12,1
1,12,1
1,12,14
1,12,2
1,12,1
1,12,152
1,13,1
1,13,1
1,13,26
1,13,2
1,13,2
1,13,139
1,14,2
1,14,1
1,14,14
1,14,2
1,14,1
1,14,145
1,15,2
1,15,2
1,15,30
1,15,2
1,15,2
1,15,96
1,16,1
1,16,1
1,16,15
1,16,2
1,16,2
1,16,147
1,17,1
1,17,1
1,17,15
1,17,2
1,17,1
1,17,90
1,18,1
1,18,1
1,18,15
1,18,2
1,18,1
1,18,115
1,19,6
1,19,1
1,19,21
1,19,2
1,19,1
1,19,100
2,0,1
2,0,1
2,0,14
2,0,2
2,0,1
2,0,158
2,1,1
2,1,1
2,1,14
2,1,3
2,1,2
2,1,92
2,2,2
2,2,1
2,2,15
2,2,1
2,2,1
2,2,149
2,3,1
2,3,1
2,3,23
2,3,2
2,3,1
2,3,145
2,4,1
2,4,1
2,4,13
2,4,2
2,4,1
2,4,148
2,5,2
2,5,1
2,5,14
2,5,1
2,5,1
2,5,91
2,6,1
2,6,1
2,6,14
2,6,2
2,6,2
2,6,157
2,7,1
2,7,1
2,7,14
2,7,2
2,7,2
2,7,90
2,8,1
2,8,1
2,8,23
2,8,2
2,8,2
2,8,147
2,9,1
2,9,1
2,9,14
2,9,2
2,9,2
2,9,161
2,10,2
2,10,1
2,10,15
2,10,2
2,10,1
2,10,144
2,11,1
2,11,1
2,11,14
2,11,1
2,11,1
2,11,100
2,12,1
2,12,0
2,12,20
2,12,2
2,12,1
2,12,158
2,13,2
2,13,1
2,13,18
2,13,4
2,13,2
2,13,166
2,14,1
2,14,1
2,14,20
2,14,12
2,14,1
2,14,139
2,15,1
2,15,0
2,15,28
2,15,3
2,15,2
2,15,190
2,16,2
2,16,1
2,16,22
2,16,2
2,16,2
2,16,238
2,17,2
2,17,0
2,17,14
2,17,3
2,17,2
2,17,130
2,18,1
2,18,1
2,18,14
2,18,2
2,18,1
2,18,91
2,19,1
2,19,1
2,19,14
2,19,1
2,19,1
2,19,89
3,0,1
3,0,1
3,0,12
3,0,2
3,0,1
3,0,95
3,1,1
3,1,1
3,1,15
3,1,1
3,1,1
3,1,99
3,2,1
3,2,1
3,2,14
3,2,2
3,2,1
3,2,98
3,3,1
3,3,1
3,3,13
3,3,3
3,3,1
3,3,96
3,4,1
3,4,1
3,4,25
3,4,2
3,4,1
3,4,100
3,5,2
3,5,1
3,5,22
3,5,3
3,5,2
3,5,134
3,6,1
3,6,0
3,6,14
3,6,2
3,6,2
3,6,109
3,7,1
3,7,0
3,7,13
3,7,2
3,7,1
3,7,157
3,8,1
3,8,1
3,8,15
3,8,2
3,8,1
3,8,92
3,9,2
3,9,1
3,9,13
3,9,3
3,9,2
3,9,91
3,10,1
3,10,1
3,10,14
3,10,2
3,10,1
3,10,147
3,11,1
3,11,1
3,11,13
3,11,2
3,11,1
3,11,124
3,12,1
3,12,2
3,12,25
3,12,14
3,12,2
3,12,167
3,13,1
3,13,2
3,13,20
3,13,2
3,13,1
3,13,98
3,14,2
3,14,1
3,14,13
3,14,1
3,14,2
3,14,141
3,15,1
3,15,1
3,15,14
3,15,2
3,15,2
3,15,95
3,16,11
3,16,1
3,16,21
3,16,2
3,16,2
3,16,159
3,17,1
3,17,1
3,17,15
3,17,2
3,17,1
3,17,93
3,18,1
3,18,0
3,18,13
3,18,3
3,18,2
3,18,114
3,19,2
3,19,1
3,19,13
3,19,2
3,19,1
3,19,156
