endpoint,operation,input_size,cycles,usec
client,encrypt,64,7779,3
server,decrypt,64,15558,5
server,encrypt,64,7779,2
client,decrypt,64,7779,4
client,encrypt,64,7779,2
server,decrypt,64,7779,2
server,encrypt,64,0,0
client,decrypt,64,7779,3
client,encrypt,64,0,0
server,decrypt,64,7779,2
server,encrypt,64,0,0
client,decrypt,64,7779,2
client,encrypt,64,0,0
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,5186,3
client,encrypt,64,0,0
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,1
client,decrypt,64,7779,2
client,encrypt,64,0,0
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,5186,3
client,encrypt,64,10372,3
server,decrypt,64,10372,4
server,encrypt,64,10372,3
client,decrypt,64,15558,5
client,encrypt,64,10372,3
server,decrypt,64,10372,4
server,encrypt,64,2593,1
client,decrypt,64,10372,4
client,encrypt,64,10372,3
server,decrypt,64,10372,4
server,encrypt,64,10372,3
client,decrypt,64,10372,5
client,encrypt,64,10372,3
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,10372,3
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,3
client,decrypt,64,10372,3
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,3
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,7779,2
client,encrypt,64,0,0
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,5186,3
client,encrypt,64,5186,1
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,7779,2
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,7779,2
client,encrypt,64,5186,1
server,decrypt,64,7779,3
server,encrypt,64,0,0
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,1
client,decrypt,64,5186,3
client,encrypt,64,0,0
server,decrypt,64,12965,4
server,encrypt,64,5186,3
client,decrypt,64,7779,2
client,encrypt,64,0,0
server,decrypt,64,7779,3
server,encrypt,64,0,0
client,decrypt,64,5186,3
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,7779,2
client,decrypt,64,12965,4
client,encrypt,64,7779,4
server,decrypt,64,12965,4
server,encrypt,64,10372,4
client,decrypt,64,12965,5
client,encrypt,64,7779,3
server,decrypt,64,12965,5
server,encrypt,64,10372,4
client,decrypt,64,15558,5
client,encrypt,64,7779,2
server,decrypt,64,0,0
server,encrypt,64,0,0
client,decrypt,64,0,0
client,encrypt,64,0,0
server,decrypt,64,0,0
server,encrypt,64,0,0
client,decrypt,64,0,0
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,7779,2
server,decrypt,64,10372,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,5186,3
client,encrypt,64,46674,18
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,5186,1
server,decrypt,64,5186,3
server,encrypt,64,0,0
client,decrypt,64,5186,3
client,encrypt,64,5186,2
server,decrypt,64,0,0
server,encrypt,64,5186,1
client,decrypt,64,7779,2
client,encrypt,64,2593,2
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,5186,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,0,0
client,decrypt,64,7779,3
client,encrypt,64,5186,1
server,decrypt,64,7779,2
server,encrypt,64,5186,1
client,decrypt,64,5186,3
client,encrypt,64,2593,2
server,decrypt,64,375985,146
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,7779,2
server,decrypt,64,10372,3
server,encrypt,64,5186,3
client,decrypt,64,7779,4
client,encrypt,64,7779,2
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,49267,19
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,0,0
server,decrypt,64,10372,4
server,encrypt,64,0,0
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,0,0
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,10372,3
server,encrypt,64,7779,2
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,0,0
client,decrypt,64,5186,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,7779,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,0,0
client,encrypt,64,5186,3
server,decrypt,64,7779,3
server,encrypt,64,0,0
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,3
server,encrypt,64,5186,2
client,decrypt,64,7779,2
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,10372,4
client,encrypt,64,5186,2
server,decrypt,64,10372,3
server,encrypt,64,7779,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,5186,3
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
server,encrypt,64,5186,2
client,decrypt,64,7779,3
client,encrypt,64,5186,2
server,decrypt,64,7779,2
