endpoint,operation,msglen,time
client,hash,8192,39
server,verify,8192,40
server,hash,8192,39
client,verify,8192,49
client,hash,8192,41
server,verify,8192,39
server,hash,8192,41
client,verify,8192,41
client,hash,8192,41
server,verify,8192,41
server,hash,8192,41
client,verify,8192,67
client,hash,8192,43
server,verify,8192,41
server,hash,8192,41
client,verify,8192,44
client,hash,8192,41
server,verify,8192,42
server,hash,8192,42
client,verify,8192,55
client,hash,16384,78
server,verify,16384,97
server,hash,16384,77
client,verify,16384,77
client,hash,16384,78
server,verify,16384,75
server,hash,16384,89
client,verify,16384,105
client,hash,16384,76
server,verify,16384,77
server,hash,16384,77
client,verify,16384,74
client,hash,16384,76
server,verify,16384,74
server,hash,16384,78
client,verify,16384,74
client,hash,16384,75
server,verify,16384,78
server,hash,16384,78
client,verify,16384,77
