endpoint,min_input,max_input,time
server,32,8192,187892
client,32,8192,188171
server,32,8192,182690
client,32,8192,182954
server,32,8192,188903
client,32,8192,189199
server,32,8192,179401
client,32,8192,179607
server,32,8192,180033
client,32,8192,180243
server,32,8192,181483
client,32,8192,181739
server,32,8192,179267
client,32,8192,179568
server,32,8192,180776
client,32,8192,181029
server,32,8192,181282
client,32,8192,181529
server,32,8192,178888
client,32,8192,179146
server,32,8192,180611
client,32,8192,180863
server,32,8192,180549
client,32,8192,180772
server,32,8192,191987
client,32,8192,192231
server,32,8192,223842
client,32,8192,224070
server,32,8192,207918
client,32,8192,208141
server,32,8192,181841
client,32,8192,182109
server,32,8192,181495
client,32,8192,181760
server,32,8192,180075
client,32,8192,180324
server,32,8192,180038
client,32,8192,180272
server,32,8192,178543
client,32,8192,178808
server,32,8192,182391
client,32,8192,182715
server,32,8192,184332
client,32,8192,184622
server,32,8192,194202
client,32,8192,194445
server,32,8192,187098
client,32,8192,187485
server,32,8192,179995
client,32,8192,180279
server,32,8192,179075
client,32,8192,179301
server,32,8192,180829
client,32,8192,181068
server,32,8192,179950
client,32,8192,180216
server,32,8192,180746
client,32,8192,181074
server,32,8192,181047
client,32,8192,181266
server,32,8192,178621
client,32,8192,178872
server,32,8192,181722
client,32,8192,181985
server,32,8192,186092
client,32,8192,186392
server,32,8192,181099
client,32,8192,181337
server,32,8192,181003
client,32,8192,181219
server,32,8192,187219
client,32,8192,187491
server,32,8192,179313
client,32,8192,179589
server,32,8192,183463
client,32,8192,183686
server,32,8192,181660
client,32,8192,181890
server,32,8192,180261
client,32,8192,180527
server,32,8192,178390
client,32,8192,178643
client,32,8192,181980
server,32,8192,181746
server,32,8192,183866
client,32,8192,184141
server,32,8192,190643
client,32,8192,190926
server,32,8192,184056
client,32,8192,184313
server,32,8192,179037
client,32,8192,179282
server,32,8192,178718
client,32,8192,178942
server,32,8192,181391
client,32,8192,181653
server,32,8192,179129
client,32,8192,179405
server,32,8192,182268
client,32,8192,182534
server,32,8192,180681
client,32,8192,180913
server,32,8192,180542
client,32,8192,180796
server,32,8192,191991
client,32,8192,192281
server,32,8192,192291
client,32,8192,192534
server,32,8192,181715
client,32,8192,181954
server,32,8192,180192
client,32,8192,180453
server,32,8192,184904
client,32,8192,185188
server,32,8192,180398
client,32,8192,180649
server,32,8192,185740
client,32,8192,186011
server,32,8192,181127
client,32,8192,181406
server,32,8192,189187
client,32,8192,189464
server,32,8192,180432
client,32,8192,180662
server,32,8192,181235
client,32,8192,181490
server,32,8192,195816
client,32,8192,196077
server,32,8192,180479
client,32,8192,180746
server,32,8192,189575
client,32,8192,189804
server,32,8192,179768
client,32,8192,180012
server,32,8192,179507
client,32,8192,179811
server,32,8192,179039
client,32,8192,179315
server,32,8192,180454
client,32,8192,180686
server,32,8192,181161
client,32,8192,181389
server,32,8192,180148
client,32,8192,180408
server,32,8192,179244
client,32,8192,179534
server,32,8192,186643
client,32,8192,186893
server,32,8192,180290
client,32,8192,180535
server,32,8192,179611
client,32,8192,179864
server,32,8192,188754
client,32,8192,189054
server,32,8192,177836
client,32,8192,178144
server,32,8192,179968
client,32,8192,180242
server,32,8192,180254
client,32,8192,180507
server,32,8192,178826
client,32,8192,179081
server,32,8192,178409
client,32,8192,178675
server,32,8192,181274
client,32,8192,181547
server,32,8192,181620
client,32,8192,181888
server,32,8192,201802
client,32,8192,202060
server,32,8192,195518
client,32,8192,195810
server,32,8192,190276
client,32,8192,190539
server,32,8192,180648
client,32,8192,180886
server,32,8192,179691
client,32,8192,179932
server,32,8192,180222
client,32,8192,180495
server,32,8192,179940
client,32,8192,180205
server,32,8192,180318
client,32,8192,180578
server,32,8192,178921
client,32,8192,179163
server,32,8192,181014
client,32,8192,181271
server,32,8192,186928
client,32,8192,187201
server,32,8192,180826
client,32,8192,181045
server,32,8192,181775
client,32,8192,181993
server,32,8192,185254
client,32,8192,185533
server,32,8192,181719
client,32,8192,182009
server,32,8192,179071
client,32,8192,179307
server,32,8192,180287
client,32,8192,180537
server,32,8192,180794
client,32,8192,181073
server,32,8192,181548
client,32,8192,181809
server,32,8192,180650
client,32,8192,180909
server,32,8192,187279
client,32,8192,187555
server,32,8192,184668
client,32,8192,184945
server,32,8192,181371
client,32,8192,181641
server,32,8192,179519
client,32,8192,179736
server,32,8192,179591
client,32,8192,179843
server,32,8192,179930
client,32,8192,180202
server,32,8192,180943
client,32,8192,181221
server,32,8192,181255
client,32,8192,181512
server,32,8192,178780
client,32,8192,179041
server,32,8192,180839
client,32,8192,181125
server,32,8192,178991
client,32,8192,179315
server,32,8192,186965
client,32,8192,187219
server,32,8192,181298
client,32,8192,181542
server,32,8192,180250
client,32,8192,180532
server,32,8192,196728
client,32,8192,197005
server,32,8192,179751
client,32,8192,180006
server,32,8192,179940
client,32,8192,180225
server,32,8192,182434
client,32,8192,182722
server,32,8192,182058
client,32,8192,182329
server,32,8192,180076
client,32,8192,180333
server,32,8192,181559
client,32,8192,181835
server,32,8192,193395
client,32,8192,193664
server,32,8192,178788
client,32,8192,179065
server,32,8192,181036
client,32,8192,181291
server,32,8192,179196
client,32,8192,179429
server,32,8192,178993
client,32,8192,179256
server,32,8192,178670
client,32,8192,178935
server,32,8192,180189
client,32,8192,180433
server,32,8192,181427
client,32,8192,181669
server,32,8192,189126
client,32,8192,189412
server,32,8192,194353
client,32,8192,194661
server,32,8192,186845
client,32,8192,187103
server,32,8192,179926
client,32,8192,180157
server,32,8192,180512
client,32,8192,180784
server,32,8192,182731
client,32,8192,182999
server,32,8192,178997
client,32,8192,179257
server,32,8192,181612
client,32,8192,181858
server,32,8192,179060
client,32,8192,179331
server,32,8192,180470
client,32,8192,180727
server,32,8192,179530
client,32,8192,179807
server,32,8192,185583
client,32,8192,185859
server,32,8192,189755
client,32,8192,190030
server,32,8192,184736
client,32,8192,184974
server,32,8192,180969
client,32,8192,181253
server,32,8192,181635
client,32,8192,181934
server,32,8192,179768
client,32,8192,180011
server,32,8192,180468
client,32,8192,180702
server,32,8192,180318
client,32,8192,180598
server,32,8192,181741
client,32,8192,182026
server,32,8192,180705
client,32,8192,180961
server,32,8192,180405
client,32,8192,180666
server,32,8192,180186
client,32,8192,180454
server,32,8192,188528
client,32,8192,188819
server,32,8192,181686
client,32,8192,181950
server,32,8192,180540
client,32,8192,180788
server,32,8192,179558
client,32,8192,179821
server,32,8192,180520
client,32,8192,180784
server,32,8192,181704
client,32,8192,181961
server,32,8192,179664
client,32,8192,179927
server,32,8192,179636
client,32,8192,179928
server,32,8192,179545
client,32,8192,179826
server,32,8192,180820
client,32,8192,181057
server,32,8192,193914
client,32,8192,194148
server,32,8192,186003
client,32,8192,186299
server,32,8192,180401
client,32,8192,180663
server,32,8192,180733
client,32,8192,180970
server,32,8192,178695
client,32,8192,178927
server,32,8192,181278
client,32,8192,181548
server,32,8192,178780
client,32,8192,179074
server,32,8192,189682
client,32,8192,189944
server,32,8192,180133
client,32,8192,180387
server,32,8192,179906
client,32,8192,180175
server,32,8192,189956
client,32,8192,190218
server,32,8192,181232
client,32,8192,181458
server,32,8192,180762
client,32,8192,181009
server,32,8192,178880
client,32,8192,179131
server,32,8192,181493
client,32,8192,181769
server,32,8192,180933
client,32,8192,181161
server,32,8192,180683
client,32,8192,180942
server,32,8192,182048
client,32,8192,182339
server,32,8192,178450
client,32,8192,178765
server,32,8192,180204
client,32,8192,180479
server,32,8192,181512
client,32,8192,181763
server,32,8192,191904
client,32,8192,192217
server,32,8192,179572
client,32,8192,179855
server,32,8192,181062
client,32,8192,181321
server,32,8192,180713
client,32,8192,180966
server,32,8192,181088
client,32,8192,181375
server,32,8192,180306
client,32,8192,180578
server,32,8192,181238
client,32,8192,181499
server,32,8192,179967
client,32,8192,180226
server,32,8192,180569
client,32,8192,180832
server,32,8192,180921
client,32,8192,181234
server,32,8192,198071
client,32,8192,198313
server,32,8192,180252
client,32,8192,180484
server,32,8192,181907
client,32,8192,182148
server,32,8192,180644
client,32,8192,180914
server,32,8192,180538
client,32,8192,180771
server,32,8192,179171
client,32,8192,179428
server,32,8192,181169
client,32,8192,181423
server,32,8192,191861
client,32,8192,192153
server,32,8192,191604
client,32,8192,191896
server,32,8192,178693
client,32,8192,178980
server,32,8192,189208
client,32,8192,189485
server,32,8192,178761
client,32,8192,179010
server,32,8192,181887
client,32,8192,182165
server,32,8192,181143
client,32,8192,181413
server,32,8192,179534
client,32,8192,179797
server,32,8192,181320
client,32,8192,181600
server,32,8192,179079
client,32,8192,179353
server,32,8192,181750
client,32,8192,182028
server,32,8192,181208
client,32,8192,181460
server,32,8192,179536
client,32,8192,179798
server,32,8192,188155
client,32,8192,188419
server,32,8192,182945
client,32,8192,183233
server,32,8192,181603
client,32,8192,181836
server,32,8192,181136
client,32,8192,181376
server,32,8192,181917
client,32,8192,182226
server,32,8192,180113
client,32,8192,180412
server,32,8192,180870
client,32,8192,181131
server,32,8192,180309
client,32,8192,180584
server,32,8192,180353
client,32,8192,180642
server,32,8192,179977
client,32,8192,180247
server,32,8192,181092
client,32,8192,181331
server,32,8192,194766
client,32,8192,195025
client,32,8192,180060
server,32,8192,179766
server,32,8192,187455
client,32,8192,187762
server,32,8192,181684
client,32,8192,181944
server,32,8192,178136
client,32,8192,178369
server,32,8192,181757
client,32,8192,182050
server,32,8192,181728
client,32,8192,182007
server,32,8192,181190
client,32,8192,181440
server,32,8192,180773
client,32,8192,181021
server,32,8192,180322
client,32,8192,180579
server,32,8192,207450
client,32,8192,207716
server,32,8192,181725
client,32,8192,182000
server,32,8192,179075
client,32,8192,179359
server,32,8192,180764
client,32,8192,181017
server,32,8192,180043
client,32,8192,180279
server,32,8192,182035
client,32,8192,182351
server,32,8192,186454
client,32,8192,186762
server,32,8192,181006
client,32,8192,181241
server,32,8192,181393
client,32,8192,181655
server,32,8192,180153
client,32,8192,180451
server,32,8192,188100
client,32,8192,188377
server,32,8192,181054
client,32,8192,181314
server,32,8192,182020
client,32,8192,182284
server,32,8192,181717
client,32,8192,181997
server,32,8192,187242
client,32,8192,187562
server,32,8192,181110
client,32,8192,181367
server,32,8192,179511
client,32,8192,179754
server,32,8192,180464
client,32,8192,180743
server,32,8192,178850
client,32,8192,179121
server,32,8192,180687
client,32,8192,180928
server,32,8192,184419
client,32,8192,184676
server,32,8192,181395
client,32,8192,181675
server,32,8192,180473
client,32,8192,180754
server,32,8192,181418
client,32,8192,181657
server,32,8192,180843
client,32,8192,181104
server,32,8192,180226
client,32,8192,180492
server,32,8192,178999
client,32,8192,179239
server,32,8192,181348
client,32,8192,181648
server,32,8192,178211
client,32,8192,178505
server,32,8192,180459
client,32,8192,180712
server,32,8192,182118
client,32,8192,182494
server,32,8192,185942
client,32,8192,186285
server,32,8192,180020
client,32,8192,180290
server,32,8192,181402
client,32,8192,181680
server,32,8192,179887
client,32,8192,180139
server,32,8192,181640
client,32,8192,181916
server,32,8192,179066
client,32,8192,179353
server,32,8192,179276
client,32,8192,179563
server,32,8192,180306
client,32,8192,180572
server,32,8192,181376
client,32,8192,181660
server,32,8192,198595
client,32,8192,198893
server,32,8192,193365
client,32,8192,193637
