endpoint,operation,msglen,time
client,encrypt,8192,128
server,decrypt,8192,123
server,encrypt,8192,138
client,decrypt,8192,117
client,encrypt,8192,117
server,decrypt,8192,212
server,encrypt,8192,121
client,decrypt,8192,119
client,encrypt,8192,120
server,decrypt,8192,128
server,encrypt,8192,157
client,decrypt,8192,257
client,encrypt,8192,118
server,decrypt,8192,122
server,encrypt,8192,120
client,decrypt,8192,119
client,encrypt,8192,117
server,decrypt,8192,133
server,encrypt,8192,120
client,decrypt,8192,118
client,encrypt,16384,258
server,decrypt,16384,262
server,encrypt,16384,258
client,decrypt,16384,253
client,encrypt,16384,234
server,decrypt,16384,238
server,encrypt,16384,235
client,decrypt,16384,276
client,encrypt,16384,234
server,decrypt,16384,308
server,encrypt,16384,241
client,decrypt,16384,230
client,encrypt,16384,234
server,decrypt,16384,232
server,encrypt,16384,239
client,decrypt,16384,240
client,encrypt,16384,375
server,decrypt,16384,235
server,encrypt,16384,272
client,decrypt,16384,232
