endpoint,keylen,time
client,16,130974
server,16,174760
server,16,174003
client,16,130089
client,16,130925
server,16,174629
client,16,131326
server,16,175046
client,16,131837
server,16,175778
server,16,174511
client,16,130867
server,16,175070
client,16,131223
client,16,132003
server,16,175772
server,16,174796
client,16,130699
client,16,131111
server,16,175334
client,16,130518
server,16,174215
server,16,173779
client,16,129517
client,16,132119
server,16,176296
client,16,129911
server,16,173681
client,16,144326
server,16,191141
client,16,140795
server,16,185841
server,16,175682
client,16,131798
client,16,133635
server,16,177450
server,16,173674
client,16,130049
server,16,174623
client,16,130916
server,16,174607
client,16,130909
client,16,130394
server,16,174001
client,16,131586
server,16,175391
server,16,173880
client,16,130191
client,16,131235
server,16,174881
client,16,130621
server,16,174239
client,16,130837
server,16,174395
server,16,172741
client,16,129082
client,16,131518
server,16,175309
client,16,130730
server,16,174536
client,16,129992
server,16,174382
client,16,130134
server,16,173897
client,16,131340
server,16,175105
server,16,175271
client,16,131409
client,16,130385
server,16,174013
client,16,130104
server,16,173756
client,16,131936
server,16,175723
server,16,174003
client,16,130271
client,16,130180
server,16,174149
client,16,130121
server,16,173777
client,16,129470
server,16,173202
client,16,130980
server,16,175027
client,16,131043
server,16,174814
client,16,130142
server,16,173859
client,16,132217
server,16,176039
client,16,131267
server,16,173740
client,16,131513
server,16,175124
server,16,174512
client,16,130567
client,16,131554
server,16,175258
client,16,131046
server,16,174674
client,16,131057
server,16,174925
client,16,129713
server,16,173384
client,16,130538
server,16,174482
client,16,130313
server,16,173935
server,16,174264
client,16,130738
server,16,175635
client,16,131660
client,16,131628
server,16,175364
client,16,130792
server,16,174990
client,16,131828
server,16,176539
client,16,130982
server,16,176182
client,16,131608
server,16,175804
client,16,131631
server,16,175782
client,16,129833
server,16,173568
client,16,130245
server,16,174314
client,16,130026
server,16,173839
client,16,130255
server,16,173874
server,16,175661
client,16,131737
client,16,130139
server,16,173630
client,16,129842
server,16,173684
client,16,131433
server,16,175219
client,16,130296
server,16,173963
client,16,131063
server,16,175237
client,16,131655
server,16,175398
client,16,131123
server,16,174867
client,16,131040
server,16,174564
client,16,130624
server,16,174230
client,16,130598
server,16,174482
client,16,130478
server,16,174107
client,16,130513
server,16,174108
client,16,129571
server,16,173277
client,16,132345
server,16,176198
client,16,131351
server,16,175077
client,16,129993
server,16,173717
client,16,130821
server,16,173816
client,16,129407
server,16,173166
client,16,130825
server,16,174705
client,16,130845
server,16,174491
client,16,130372
server,16,174122
client,16,131468
server,16,175611
client,16,131194
server,16,173803
client,16,130634
server,16,174272
client,16,129862
server,16,174020
client,16,130347
server,16,174163
client,16,130684
server,16,174468
client,16,130488
server,16,174290
client,16,131274
server,16,174648
client,16,131520
server,16,175434
client,16,131234
server,16,175302
client,16,131451
server,16,175334
client,16,130888
server,16,173566
client,16,131078
server,16,175272
client,16,130268
server,16,173190
client,16,130114
server,16,174256
client,16,130805
server,16,173917
client,16,132189
server,16,176079
client,16,131373
server,16,175120
client,16,130345
server,16,174001
client,16,129349
server,16,173058
client,16,131252
server,16,174858
client,16,130870
server,16,174575
client,16,130775
server,16,174462
client,16,131002
server,16,174745
client,16,131086
server,16,174749
client,16,129298
server,16,172700
client,16,129400
server,16,173430
client,16,131240
server,16,174796
client,16,131768
server,16,175582
client,16,131034
server,16,174772
client,16,130261
server,16,174009
client,16,129684
server,16,173293
client,16,131338
server,16,175050
client,16,129873
server,16,173530
client,16,130432
server,16,174219
client,16,131373
server,16,174990
client,16,133445
server,16,177246
client,16,130681
server,16,174414
client,16,131129
server,16,174862
client,16,130897
server,16,174537
client,16,131157
server,16,174930
client,16,130952
server,16,174670
client,16,130016
server,16,173922
client,16,130184
server,16,174084
client,16,131412
server,16,175231
client,16,130539
server,16,174199
client,16,130186
server,16,173723
client,16,130826
server,16,174855
client,16,131339
server,16,175113
client,16,130566
server,16,174417
client,16,130411
server,16,174635
server,16,174334
client,16,130796
client,16,131874
server,16,175561
client,16,131230
server,16,175055
client,16,129153
server,16,172814
client,16,130670
server,16,174339
client,16,131380
server,16,175365
client,16,130420
server,16,174380
client,16,131150
server,16,175176
client,16,131467
server,16,175261
client,16,131266
server,16,175306
client,16,130633
server,16,174305
client,16,130290
