endpoint,operation,msglen,time
client,digest,8192,96
server,verify,8192,100
server,digest,8192,89
client,verify,8192,116
client,digest,8192,89
server,verify,8192,93
server,digest,8192,89
client,verify,8192,93
client,digest,8192,96
server,verify,8192,151
server,digest,8192,524
client,verify,8192,163
client,digest,8192,89
server,verify,8192,105
server,digest,8192,140
client,verify,8192,137
client,digest,8192,89
server,verify,8192,91
server,digest,8192,95
client,verify,8192,91
client,digest,16384,194
server,verify,16384,210
server,digest,16384,192
client,verify,16384,230
client,digest,16384,173
server,verify,16384,180
server,digest,16384,182
client,verify,16384,194
client,digest,16384,176
server,verify,16384,179
server,digest,16384,176
client,verify,16384,177
client,digest,16384,190
server,verify,16384,196
server,digest,16384,190
client,verify,16384,196
client,digest,16384,171
server,verify,16384,177
server,digest,16384,191
client,verify,16384,237
