sec_lvl,test_id,time
1,0,15
1,0,2
1,0,1270
1,0,23
1,0,108250
1,0,108
1,1,11
1,1,1
1,1,6
1,1,11
1,1,86243
1,1,92
1,2,8
1,2,1
1,2,5
1,2,26
1,2,86287
1,2,111
1,3,8
1,3,1
1,3,4
1,3,9
1,3,85967
1,3,92
1,4,9
1,4,1
1,4,6
1,4,10
1,4,86411
1,4,92
1,5,10
1,5,2
1,5,6
1,5,10
1,5,86021
1,5,91
1,6,12
1,6,1
1,6,5
1,6,11
1,6,91536
1,6,86
1,7,13
1,7,1
1,7,6
1,7,11
1,7,89318
1,7,95
1,8,9
1,8,0
1,8,7
1,8,11
1,8,89243
1,8,85
1,9,14
1,9,2
1,9,5
1,9,11
1,9,86435
1,9,93
1,10,9
1,10,1
1,10,6
1,10,11
1,10,86128
1,10,84
1,11,8
1,11,1
1,11,6
1,11,11
1,11,87915
1,11,93
1,12,9
1,12,1
1,12,5
1,12,11
1,12,86589
1,12,92
1,13,13
1,13,2
1,13,7
1,13,11
1,13,87813
1,13,93
1,14,13
1,14,1
1,14,6
1,14,11
1,14,86615
1,14,92
1,15,13
1,15,1
1,15,6
1,15,11
1,15,89622
1,15,93
1,16,9
1,16,1
1,16,6
1,16,11
1,16,94524
1,16,93
1,17,8
1,17,2
1,17,4
1,17,10
1,17,87693
1,17,92
1,18,8
1,18,0
1,18,5
1,18,11
1,18,86420
1,18,93
1,19,9
1,19,1
1,19,6
1,19,14
1,19,91794
1,19,85
1,20,9
1,20,0
1,20,6
1,20,11
1,20,85503
1,20,92
1,21,9
1,21,1
1,21,6
1,21,12
1,21,88547
1,21,84
1,22,12
1,22,2
1,22,7
1,22,11
1,22,86706
1,22,92
1,23,10
1,23,1
1,23,7
1,23,11
1,23,87875
1,23,84
1,24,8
1,24,2
1,24,6
1,24,10
1,24,86263
1,24,92
1,25,9
1,25,1
1,25,8
1,25,11
1,25,86925
1,25,85
1,26,8
1,26,1
1,26,7
1,26,11
1,26,85895
1,26,84
1,27,8
1,27,1
1,27,6
1,27,10
1,27,86589
1,27,92
1,28,9
1,28,1
1,28,6
1,28,11
1,28,88166
1,28,84
1,29,9
1,29,1
1,29,7
1,29,10
1,29,86435
1,29,92
2,0,8
2,0,1
2,0,5
2,0,11
2,0,286721
2,0,94
2,1,9
2,1,1
2,1,7
2,1,12
2,1,284931
2,1,93
2,2,9
2,2,1
2,2,6
2,2,12
2,2,284056
2,2,94
2,3,9
2,3,1
2,3,6
2,3,11
2,3,287530
2,3,94
2,4,9
2,4,1
2,4,6
2,4,11
2,4,288286
2,4,86
2,5,8
2,5,1
2,5,6
2,5,11
2,5,285852
2,5,94
2,6,13
2,6,1
2,6,7
2,6,11
2,6,284163
2,6,95
2,7,9
2,7,1
2,7,6
2,7,11
2,7,284946
2,7,87
2,8,9
2,8,1
2,8,5
2,8,20
2,8,285961
2,8,87
2,9,9
2,9,1
2,9,6
2,9,11
2,9,288323
2,9,142
2,10,8
2,10,1
2,10,6
2,10,12
2,10,286385
2,10,105
2,11,9
2,11,1
2,11,6
2,11,11
2,11,283848
2,11,94
2,12,9
2,12,1
2,12,6
2,12,12
2,12,286283
2,12,87
2,13,13
2,13,2
2,13,7
2,13,11
2,13,288378
2,13,94
2,14,9
2,14,1
2,14,6
2,14,11
2,14,288308
2,14,95
2,15,9
2,15,1
2,15,4
2,15,11
2,15,283477
2,15,95
2,16,13
2,16,1
2,16,7
2,16,11
2,16,285165
2,16,101
2,17,12
2,17,1
2,17,7
2,17,11
2,17,290866
2,17,87
2,18,12
2,18,1
2,18,8
2,18,11
2,18,285599
2,18,94
2,19,9
2,19,1
2,19,6
2,19,14
2,19,295820
2,19,94
2,20,9
2,20,1
2,20,5
2,20,12
2,20,285114
2,20,94
2,21,10
2,21,1
2,21,7
2,21,20
2,21,283282
2,21,95
2,22,9
2,22,1
2,22,6
2,22,11
2,22,301196
2,22,86
2,23,10
2,23,1
2,23,5
2,23,11
2,23,305732
2,23,94
2,24,9
2,24,1
2,24,5
2,24,12
2,24,302492
2,24,94
2,25,9
2,25,1
2,25,4
2,25,11
2,25,285160
2,25,85
2,26,9
2,26,1
2,26,5
2,26,11
2,26,286976
2,26,95
2,27,9
2,27,1
2,27,5
2,27,11
2,27,285294
2,27,85
2,28,9
2,28,1
2,28,6
2,28,11
2,28,284043
2,28,94
2,29,9
2,29,2
2,29,7
2,29,12
2,29,284636
2,29,95
3,0,9
3,0,1
3,0,7
3,0,11
3,0,4366398
3,0,99
3,1,9
3,1,1
3,1,4
3,1,11
3,1,4324109
3,1,101
3,2,9
3,2,1
3,2,4
3,2,12
3,2,4343732
3,2,99
3,3,8
3,3,1
3,3,4
3,3,11
3,3,4329727
3,3,108
3,4,9
3,4,1
3,4,7
3,4,11
3,4,4314820
3,4,100
3,5,9
3,5,1
3,5,5
3,5,23
3,5,4337718
3,5,100
3,6,9
3,6,1
3,6,6
3,6,11
3,6,4322323
3,6,101
3,7,9
3,7,1
3,7,5
3,7,11
3,7,4337693
3,7,91
3,8,8
3,8,1
3,8,6
3,8,12
3,8,4319649
3,8,100
3,9,9
