sec_lvl,test_id,operation,time
1,0,parse_server_psk_hint,1
1,0,parse_server_dh_params,12
1,0,dhm_make_public,43651
1,0,dhm_calc_secret,43763
1,0,psk_derive_premaster,1
1,1,parse_server_psk_hint,1
1,1,parse_server_dh_params,6
1,1,dhm_make_public,43977
1,1,dhm_calc_secret,43553
1,1,psk_derive_premaster,2
1,2,parse_server_psk_hint,1
1,2,parse_server_dh_params,5
1,2,dhm_make_public,43357
1,2,dhm_calc_secret,43315
1,2,psk_derive_premaster,1
1,3,parse_server_psk_hint,1
1,3,parse_server_dh_params,5
1,3,dhm_make_public,42648
1,3,dhm_calc_secret,44326
1,3,psk_derive_premaster,1
1,4,parse_server_psk_hint,1
1,4,parse_server_dh_params,6
1,4,dhm_make_public,42965
1,4,dhm_calc_secret,43619
1,4,psk_derive_premaster,1
1,5,parse_server_psk_hint,1
1,5,parse_server_dh_params,6
1,5,dhm_make_public,42884
1,5,dhm_calc_secret,43748
1,5,psk_derive_premaster,1
1,6,parse_server_psk_hint,1
1,6,parse_server_dh_params,6
1,6,dhm_make_public,42868
1,6,dhm_calc_secret,44504
1,6,psk_derive_premaster,1
1,7,parse_server_psk_hint,1
1,7,parse_server_dh_params,5
1,7,dhm_make_public,42705
1,7,dhm_calc_secret,43474
1,7,psk_derive_premaster,1
1,8,parse_server_psk_hint,1
1,8,parse_server_dh_params,6
1,8,dhm_make_public,46211
1,8,dhm_calc_secret,46613
1,8,psk_derive_premaster,1
1,9,parse_server_psk_hint,1
1,9,parse_server_dh_params,7
1,9,dhm_make_public,46930
1,9,dhm_calc_secret,43785
1,9,psk_derive_premaster,1
1,10,parse_server_psk_hint,1
1,10,parse_server_dh_params,6
1,10,dhm_make_public,45339
1,10,dhm_calc_secret,43396
1,10,psk_derive_premaster,1
1,11,parse_server_psk_hint,1
1,11,parse_server_dh_params,5
1,11,dhm_make_public,43058
1,11,dhm_calc_secret,44164
1,11,psk_derive_premaster,1
1,12,parse_server_psk_hint,1
1,12,parse_server_dh_params,6
1,12,dhm_make_public,43543
1,12,dhm_calc_secret,44067
1,12,psk_derive_premaster,2
1,13,parse_server_psk_hint,1
1,13,parse_server_dh_params,6
1,13,dhm_make_public,43011
1,13,dhm_calc_secret,43640
1,13,psk_derive_premaster,1
1,14,parse_server_psk_hint,1
1,14,parse_server_dh_params,6
1,14,dhm_make_public,42614
1,14,dhm_calc_secret,43627
1,14,psk_derive_premaster,1
1,15,parse_server_psk_hint,1
1,15,parse_server_dh_params,5
1,15,dhm_make_public,42918
1,15,dhm_calc_secret,43749
1,15,psk_derive_premaster,2
1,16,parse_server_psk_hint,2
1,16,parse_server_dh_params,5
1,16,dhm_make_public,42954
1,16,dhm_calc_secret,43429
1,16,psk_derive_premaster,2
1,17,parse_server_psk_hint,1
1,17,parse_server_dh_params,6
1,17,dhm_make_public,42961
1,17,dhm_calc_secret,43556
1,17,psk_derive_premaster,1
1,18,parse_server_psk_hint,1
1,18,parse_server_dh_params,5
1,18,dhm_make_public,42658
1,18,dhm_calc_secret,43738
1,18,psk_derive_premaster,2
1,19,parse_server_psk_hint,1
1,19,parse_server_dh_params,6
1,19,dhm_make_public,43538
1,19,dhm_calc_secret,43402
1,19,psk_derive_premaster,1
1,20,parse_server_psk_hint,1
1,20,parse_server_dh_params,6
1,20,dhm_make_public,42925
1,20,dhm_calc_secret,43393
1,20,psk_derive_premaster,1
1,21,parse_server_psk_hint,1
1,21,parse_server_dh_params,6
1,21,dhm_make_public,43434
1,21,dhm_calc_secret,43743
1,21,psk_derive_premaster,1
1,22,parse_server_psk_hint,1
1,22,parse_server_dh_params,5
1,22,dhm_make_public,43108
1,22,dhm_calc_secret,43949
1,22,psk_derive_premaster,1
1,23,parse_server_psk_hint,1
1,23,parse_server_dh_params,6
1,23,dhm_make_public,43151
1,23,dhm_calc_secret,43753
1,23,psk_derive_premaster,2
