endpoint,keylen,time
server,10,181563
client,10,136919
client,10,132923
server,10,177302
server,10,180670
client,10,135528
client,10,143206
server,10,188215
client,10,137185
server,10,184142
client,16,142499
server,16,188185
client,16,135276
server,16,181464
server,16,179179
client,16,134808
server,16,180958
client,16,134972
client,16,135291
server,16,181416
server,24,188671
client,24,139937
server,24,181713
client,24,135833
server,24,181561
client,24,136164
client,24,168567
server,24,213606
client,24,147853
server,24,200157
client,32,151852
server,32,198534
server,32,192560
client,32,147415
server,32,194076
client,32,143630
server,32,199490
client,32,147151
server,32,192055
client,32,146593
