sec_lvl,test_id,operation,time
1,0,dhm_set_group,3
1,0,dhm_make_params,46875
1,0,parse_client_psk_identity,5
1,0,parse_client_dh_public,3
1,0,dhm_calc_secret,47776
1,0,psk_derive_premaster,8
1,0,sha256_hash_master_secret,25
1,0,sha256_hash_key_expansion,53
1,1,dhm_set_group,3
1,1,dhm_make_params,47839
1,1,parse_client_psk_identity,3
1,1,parse_client_dh_public,2
1,1,dhm_calc_secret,47198
1,1,psk_derive_premaster,1
1,1,sha256_hash_master_secret,24
1,1,sha256_hash_key_expansion,53
1,2,dhm_set_group,3
1,2,dhm_make_params,48325
1,2,parse_client_psk_identity,4
1,2,parse_client_dh_public,3
1,2,dhm_calc_secret,48439
1,2,psk_derive_premaster,1
1,2,sha256_hash_master_secret,23
1,2,sha256_hash_key_expansion,53
1,3,dhm_set_group,2
1,3,dhm_make_params,48323
1,3,parse_client_psk_identity,14
1,3,parse_client_dh_public,3
1,3,dhm_calc_secret,49196
1,3,psk_derive_premaster,1
1,3,sha256_hash_master_secret,24
1,3,sha256_hash_key_expansion,53
1,4,dhm_set_group,3
1,4,dhm_make_params,47724
1,4,parse_client_psk_identity,3
1,4,parse_client_dh_public,3
1,4,dhm_calc_secret,49625
1,4,psk_derive_premaster,1
1,4,sha256_hash_master_secret,26
1,4,sha256_hash_key_expansion,71
1,5,dhm_set_group,4
1,5,dhm_make_params,63815
1,5,parse_client_psk_identity,4
1,5,parse_client_dh_public,2
1,5,dhm_calc_secret,45410
1,5,psk_derive_premaster,1
1,5,sha256_hash_master_secret,23
1,5,sha256_hash_key_expansion,55
1,6,dhm_set_group,3
1,6,dhm_make_params,49484
1,6,parse_client_psk_identity,3
1,6,parse_client_dh_public,3
1,6,dhm_calc_secret,46809
1,6,psk_derive_premaster,1
1,6,sha256_hash_master_secret,23
1,6,sha256_hash_key_expansion,53
1,7,dhm_set_group,17
1,7,dhm_make_params,45427
1,7,parse_client_psk_identity,3
1,7,parse_client_dh_public,3
1,7,dhm_calc_secret,45368
1,7,psk_derive_premaster,1
1,7,sha256_hash_master_secret,24
1,7,sha256_hash_key_expansion,52
1,8,dhm_set_group,3
1,8,dhm_make_params,45083
1,8,parse_client_psk_identity,4
1,8,parse_client_dh_public,2
1,8,dhm_calc_secret,45919
1,8,psk_derive_premaster,1
1,8,sha256_hash_master_secret,25
1,8,sha256_hash_key_expansion,60
1,9,dhm_set_group,4
1,9,dhm_make_params,45683
1,9,parse_client_psk_identity,4
1,9,parse_client_dh_public,3
1,9,dhm_calc_secret,46800
1,9,psk_derive_premaster,1
1,9,sha256_hash_master_secret,23
1,9,sha256_hash_key_expansion,53
1,10,dhm_set_group,4
1,10,dhm_make_params,44481
1,10,parse_client_psk_identity,4
1,10,parse_client_dh_public,3
1,10,dhm_calc_secret,44116
1,10,psk_derive_premaster,1
1,10,sha256_hash_master_secret,22
1,10,sha256_hash_key_expansion,63
1,11,dhm_set_group,3
1,11,dhm_make_params,45262
