endpoint,operation,msglen,time
client,encrypt,8192,272
server,decrypt,8192,310
server,encrypt,8192,390
client,decrypt,8192,272
client,encrypt,8192,271
server,decrypt,8192,276
server,encrypt,8192,274
client,decrypt,8192,269
client,encrypt,8192,269
server,decrypt,8192,302
server,encrypt,8192,270
client,decrypt,8192,281
client,encrypt,8192,269
server,decrypt,8192,272
server,encrypt,8192,319
client,decrypt,8192,270
client,encrypt,8192,270
server,decrypt,8192,270
server,encrypt,8192,387
client,decrypt,8192,293
client,encrypt,16384,614
server,decrypt,16384,1002
server,encrypt,16384,542
client,decrypt,16384,543
client,encrypt,16384,537
server,decrypt,16384,564
server,encrypt,16384,652
client,decrypt,16384,534
client,encrypt,16384,543
server,decrypt,16384,543
server,encrypt,16384,572
client,decrypt,16384,539
client,encrypt,16384,589
server,decrypt,16384,543
server,encrypt,16384,553
client,decrypt,16384,533
client,encrypt,16384,541
server,decrypt,16384,576
server,encrypt,16384,619
client,decrypt,16384,864
