endpoint,keylen,time
server,16,176203
client,16,132191
server,16,175898
server,16,197780
client,16,152743
server,16,174765
client,16,131024
client,16,132353
server,16,177373
client,16,131010
server,16,174901
server,16,175917
client,16,131927
client,16,130051
server,16,173645
server,16,173984
client,16,129919
client,16,131578
server,16,175428
client,16,130477
server,16,174186
client,16,130863
server,16,175347
client,16,129429
server,16,171845
client,16,129224
server,16,172938
server,16,175594
client,16,131980
client,16,130547
server,16,173114
client,16,130634
server,16,174335
server,16,173468
client,16,129943
client,16,130291
server,16,174075
server,16,174051
client,16,130313
server,16,174933
client,16,131243
client,16,130777
server,16,174376
client,16,131448
server,16,175215
client,16,129775
server,16,173531
client,16,129579
server,16,173352
client,16,129921
server,16,174188
client,16,130493
server,16,175295
client,16,131155
server,16,175166
client,16,131693
server,16,175653
server,16,175734
client,16,131812
client,16,131351
server,16,175429
client,16,130742
server,16,174752
server,16,173824
client,16,130017
client,16,130259
server,16,173874
client,16,131568
server,16,175371
client,16,130281
server,16,174012
client,16,130824
server,16,175062
client,16,130500
server,16,174125
client,16,130350
server,16,174013
client,16,130728
server,16,174377
server,16,174726
client,16,131058
client,16,129619
server,16,173424
client,16,129134
server,16,172747
client,16,129699
server,16,173282
client,16,130542
server,16,174220
client,16,130830
server,16,174554
client,16,130872
server,16,174823
client,16,130211
server,16,174367
client,16,129750
server,16,174018
client,16,130782
server,16,174666
client,16,130237
server,16,173868
client,16,131173
server,16,175434
client,16,130677
server,16,174424
server,16,174472
client,16,130806
client,16,130335
server,16,173987
client,16,130569
server,16,174882
server,16,173111
client,16,129516
client,16,130406
server,16,174122
server,16,175142
client,16,131560
client,16,131153
server,16,174771
client,16,130671
server,16,174386
client,16,131157
server,16,174965
client,16,130245
server,16,173814
client,16,130431
server,16,174120
client,16,131135
server,16,174843
client,16,129597
server,16,173363
client,16,130526
server,16,174884
client,16,130047
server,16,173787
client,16,130446
server,16,175147
client,16,132003
server,16,176054
client,16,130344
server,16,174170
client,16,130261
server,16,174150
client,16,130852
server,16,174672
client,16,130308
server,16,174179
client,16,131373
server,16,175208
client,16,130144
server,16,174000
client,16,130990
server,16,174687
client,16,131129
server,16,174933
client,16,129921
server,16,173590
client,16,129719
server,16,173448
client,16,130061
server,16,173801
client,16,131097
server,16,174767
client,16,129226
server,16,172899
client,16,131633
server,16,175406
client,16,129953
server,16,173691
client,16,129937
server,16,173781
client,16,129679
server,16,173438
client,16,130412
server,16,174041
client,16,131420
server,16,175927
client,16,130468
server,16,173938
client,16,130081
server,16,173706
client,16,131490
server,16,175157
client,16,130057
server,16,173588
client,16,130181
server,16,173870
client,16,131425
server,16,175025
client,16,133359
server,16,177001
client,16,130809
server,16,174539
client,16,132211
server,16,174741
client,16,129216
server,16,173453
client,16,129677
server,16,173758
client,16,130858
server,16,174445
client,16,130500
server,16,174360
client,16,130541
server,16,174417
client,16,130964
server,16,174674
client,16,130369
server,16,174168
client,16,130072
server,16,174192
client,16,130273
server,16,173998
client,16,130626
server,16,174514
client,16,130496
server,16,175074
client,16,129966
server,16,173747
client,16,130591
server,16,174256
client,16,131407
server,16,175033
client,16,130240
server,16,174014
client,16,131539
server,16,175354
client,16,131112
server,16,174844
client,16,130240
server,16,172885
client,16,131347
server,16,175102
client,16,130500
server,16,174183
client,16,130329
server,16,174229
client,16,129182
server,16,173028
client,16,130120
server,16,173818
client,16,130734
server,16,174422
client,16,130571
server,16,174361
client,16,130224
server,16,174076
client,16,130582
server,16,174167
client,16,130063
server,16,174267
client,16,130754
server,16,174590
client,16,130510
server,16,174296
client,16,131696
server,16,174486
client,16,129868
server,16,173949
client,16,129916
server,16,173504
client,16,130749
server,16,174392
client,16,133158
server,16,176957
client,16,132468
server,16,176246
client,16,131165
server,16,174243
client,16,131064
server,16,174682
client,16,130121
server,16,173993
client,16,130402
server,16,172903
client,16,130747
server,16,174399
client,16,130027
server,16,173079
client,16,130092
server,16,174186
client,16,130556
server,16,174336
client,16,130844
