endpoint,data_size,time
server,1048576,195925
client,1048576,196867
server,1048576,178940
client,1048576,179879
server,1048576,177952
client,1048576,178922
server,1048576,177999
client,1048576,178971
server,1048576,178270
client,1048576,179211
server,1048576,178143
client,1048576,179060
server,1048576,179724
client,1048576,180660
server,1048576,177999
client,1048576,178971
server,1048576,178231
client,1048576,179165
server,1048576,178585
client,1048576,179538
server,1048576,177660
client,1048576,178627
server,1048576,177906
client,1048576,178852
server,1048576,178225
client,1048576,179149
server,1048576,178739
client,1048576,179708
server,1048576,178123
client,1048576,179044
server,1048576,178605
client,1048576,179544
server,1048576,178196
client,1048576,179129
server,1048576,178031
client,1048576,178984
server,1048576,178959
client,1048576,179966
server,1048576,177569
client,1048576,178538
server,1048576,177771
client,1048576,178770
server,1048576,178317
client,1048576,179314
server,1048576,179017
client,1048576,179991
server,1048576,177992
client,1048576,178967
server,1048576,178791
client,1048576,179798
server,1048576,178560
client,1048576,179513
server,1048576,177863
client,1048576,178841
server,1048576,178409
client,1048576,179395
server,1048576,178119
client,1048576,179097
server,1048576,178536
client,1048576,179501
server,1048576,177777
client,1048576,178748
server,1048576,178036
client,1048576,179024
server,1048576,177510
client,1048576,178642
server,1048576,177862
client,1048576,178829
server,1048576,178935
client,1048576,179877
server,1048576,177873
client,1048576,178828
server,1048576,178276
client,1048576,179249
server,1048576,177859
client,1048576,178822
server,1048576,178541
client,1048576,179534
server,1048576,177756
client,1048576,178777
server,1048576,180425
client,1048576,181377
server,1048576,178706
client,1048576,179712
server,1048576,178051
client,1048576,179006
server,1048576,178210
client,1048576,179136
server,1048576,178475
client,1048576,179449
server,1048576,178496
client,1048576,179483
server,1048576,178378
client,1048576,179365
server,1048576,178764
client,1048576,179739
server,1048576,178291
client,1048576,179257
server,1048576,178252
client,1048576,179235
server,1048576,178664
client,1048576,179688
server,1048576,176849
client,1048576,177806
server,1048576,178809
client,1048576,179739
server,1048576,178344
client,1048576,179295
server,1048576,179232
client,1048576,180196
server,1048576,178087
client,1048576,179064
server,1048576,178518
client,1048576,179459
server,1048576,178155
client,1048576,179104
server,1048576,178077
client,1048576,179000
server,1048576,177811
client,1048576,178771
server,1048576,180296
client,1048576,181226
server,1048576,180197
client,1048576,181152
server,1048576,178807
client,1048576,179753
server,1048576,177693
client,1048576,178639
server,1048576,178031
client,1048576,178973
server,1048576,178293
client,1048576,179297
server,1048576,178001
client,1048576,178950
server,1048576,178805
client,1048576,179751
server,1048576,178094
client,1048576,179513
server,1048576,178524
client,1048576,179461
server,1048576,178800
client,1048576,179746
server,1048576,177931
client,1048576,178898
server,1048576,179055
client,1048576,180003
server,1048576,177881
client,1048576,178818
server,1048576,178136
client,1048576,179092
server,1048576,177766
client,1048576,178733
server,1048576,178891
client,1048576,179895
server,1048576,178221
client,1048576,179159
server,1048576,177799
client,1048576,178740
server,1048576,177861
client,1048576,178794
server,1048576,178423
client,1048576,179359
server,1048576,178862
client,1048576,179774
server,1048576,177996
client,1048576,178999
server,1048576,178754
client,1048576,179740
server,1048576,176752
client,1048576,177741
server,1048576,179270
client,1048576,180238
server,1048576,177546
client,1048576,178536
server,1048576,178620
client,1048576,179620
server,1048576,178592
client,1048576,179563
server,1048576,179067
client,1048576,180059
server,1048576,177968
client,1048576,178946
server,1048576,177628
client,1048576,178592
server,1048576,178865
client,1048576,179839
server,1048576,177854
client,1048576,178863
server,1048576,180929
client,1048576,181973
server,1048576,181593
client,1048576,182614
server,1048576,177800
client,1048576,178784
server,1048576,178136
client,1048576,179194
server,1048576,177760
client,1048576,178795
server,1048576,177822
client,1048576,178856
server,1048576,179641
client,1048576,180614
server,1048576,318521
client,1048576,325857
server,1048576,387975
client,1048576,388938
server,1048576,180637
client,1048576,181599
server,1048576,180141
client,1048576,181111
server,1048576,178269
client,1048576,179261
server,1048576,178632
client,1048576,179622
server,1048576,177116
client,1048576,178123
server,1048576,178059
client,1048576,179019
server,1048576,178292
client,1048576,179267
server,1048576,177977
client,1048576,178951
server,1048576,177996
client,1048576,178956
server,1048576,178475
client,1048576,179430
server,1048576,179854
client,1048576,180811
server,1048576,177026
client,1048576,177942
server,1048576,177508
client,1048576,178481
server,1048576,178253
client,1048576,179190
server,1048576,178346
client,1048576,179301
server,1048576,177657
client,1048576,178582
server,1048576,177750
client,1048576,178689
server,1048576,179417
client,1048576,180365
server,1048576,177295
client,1048576,178248
server,1048576,177250
client,1048576,178200
server,1048576,177953
client,1048576,178922
server,1048576,179876
client,1048576,180817
server,1048576,179331
client,1048576,180269
server,1048576,177691
client,1048576,178617
server,1048576,177688
client,1048576,178625
server,1048576,177544
client,1048576,178502
server,1048576,178466
client,1048576,179422
server,1048576,178126
client,1048576,179055
server,1048576,177266
client,1048576,178198
server,1048576,178403
client,1048576,179343
server,1048576,178587
client,1048576,179509
server,1048576,177221
client,1048576,178167
server,1048576,178020
client,1048576,178957
server,1048576,178057
client,1048576,179006
server,1048576,178713
client,1048576,179646
server,1048576,177811
client,1048576,178750
server,1048576,177616
client,1048576,178566
server,1048576,179062
client,1048576,180014
server,1048576,177831
client,1048576,178824
server,1048576,177755
client,1048576,178723
server,1048576,177536
client,1048576,178513
server,1048576,178379
client,1048576,179390
server,1048576,292147
client,1048576,293164
server,1048576,177729
client,1048576,178697
server,1048576,177764
client,1048576,178841
server,1048576,296516
client,1048576,297429
server,1048576,177999
client,1048576,178970
server,1048576,179411
client,1048576,180372
server,1048576,177834
client,1048576,178812
server,1048576,177531
client,1048576,178517
server,1048576,177933
client,1048576,178932
server,1048576,177981
client,1048576,178974
server,1048576,178723
client,1048576,179690
server,1048576,176384
client,1048576,177382
server,1048576,178409
client,1048576,179415
server,1048576,178512
client,1048576,179530
server,1048576,177905
client,1048576,178947
server,1048576,178111
client,1048576,179106
server,1048576,178129
client,1048576,179111
server,1048576,178000
client,1048576,178968
server,1048576,178181
client,1048576,179713
server,1048576,179686
client,1048576,180720
server,1048576,178657
client,1048576,179624
server,1048576,177620
client,1048576,178595
server,1048576,178257
client,1048576,179259
server,1048576,176817
client,1048576,177781
server,1048576,178535
client,1048576,179543
server,1048576,178098
client,1048576,179074
server,1048576,178013
client,1048576,179013
server,1048576,177669
client,1048576,178663
server,1048576,177768
client,1048576,178751
server,1048576,177761
client,1048576,178722
server,1048576,178017
client,1048576,178994
server,1048576,178617
client,1048576,179541
server,1048576,178294
client,1048576,179277
server,1048576,318829
client,1048576,320230
server,1048576,178796
client,1048576,179754
server,1048576,178280
client,1048576,179237
server,1048576,179624
client,1048576,180564
server,1048576,178049
client,1048576,179000
server,1048576,177708
client,1048576,178665
server,1048576,178195
client,1048576,179137
server,1048576,178048
client,1048576,179021
server,1048576,178558
client,1048576,179527
server,1048576,178011
client,1048576,178961
server,1048576,177430
client,1048576,178401
server,1048576,179192
client,1048576,180126
server,1048576,176639
client,1048576,177612
server,1048576,178066
client,1048576,179066
server,1048576,178187
client,1048576,179155
server,1048576,177314
client,1048576,178275
server,1048576,177928
client,1048576,178869
server,1048576,178057
client,1048576,178995
server,1048576,178296
client,1048576,179239
server,1048576,178762
client,1048576,179744
server,1048576,177260
client,1048576,178192
server,1048576,177394
client,1048576,178345
server,1048576,177094
client,1048576,178090
server,1048576,177723
client,1048576,178716
server,1048576,213394
client,1048576,214396
server,1048576,178273
client,1048576,179231
server,1048576,178423
client,1048576,179401
server,1048576,179039
client,1048576,179981
server,1048576,178406
client,1048576,179384
server,1048576,178218
client,1048576,179191
server,1048576,179088
client,1048576,180104
server,1048576,178229
client,1048576,179219
server,1048576,178022
client,1048576,178999
server,1048576,178258
client,1048576,179236
server,1048576,178451
client,1048576,179485
server,1048576,178889
client,1048576,179917
server,1048576,177817
client,1048576,178831
server,1048576,178817
client,1048576,179795
server,1048576,178522
client,1048576,179500
server,1048576,178105
client,1048576,179096
server,1048576,177153
client,1048576,178125
server,1048576,178379
client,1048576,179385
server,1048576,177638
client,1048576,178608
server,1048576,177974
client,1048576,178978
server,1048576,177706
client,1048576,178692
server,1048576,177826
client,1048576,178890
server,1048576,178455
client,1048576,179435
server,1048576,177489
client,1048576,178520
server,1048576,178630
client,1048576,179622
server,1048576,178625
client,1048576,179636
server,1048576,178001
client,1048576,178992
server,1048576,178887
client,1048576,179943
server,1048576,177287
client,1048576,178271
server,1048576,177067
client,1048576,178052
server,1048576,178853
client,1048576,179830
server,1048576,178103
client,1048576,179095
server,1048576,178334
client,1048576,179283
server,1048576,177110
client,1048576,178098
server,1048576,177532
client,1048576,178540
server,1048576,178356
client,1048576,179410
server,1048576,178218
client,1048576,179201
server,1048576,176957
client,1048576,177911
server,1048576,178481
client,1048576,179439
server,1048576,178379
client,1048576,179331
server,1048576,178090
client,1048576,179136
server,1048576,178324
client,1048576,179300
server,1048576,178315
client,1048576,179311
server,1048576,178901
client,1048576,179924
server,1048576,205004
client,1048576,205946
server,1048576,184146
client,1048576,185130
server,1048576,180534
client,1048576,181521
server,1048576,182268
client,1048576,183231
server,1048576,180522
client,1048576,181511
server,1048576,181607
