endpoint,operation,msglen,time
client,encrypt,256,15
server,decrypt,256,15
server,encrypt,256,14
client,decrypt,256,15
client,encrypt,256,11
server,decrypt,256,15
server,encrypt,256,17
client,decrypt,256,14
client,encrypt,256,12
server,decrypt,256,13
server,encrypt,256,11
client,decrypt,256,14
client,encrypt,256,11
server,decrypt,256,11
server,encrypt,256,11
client,decrypt,256,14
client,encrypt,256,11
server,decrypt,256,14
server,encrypt,256,15
client,decrypt,256,14
client,encrypt,512,18
server,decrypt,512,18
server,encrypt,512,18
client,decrypt,512,19
client,encrypt,512,19
server,decrypt,512,18
server,encrypt,512,18
client,decrypt,512,25
client,encrypt,512,22
server,decrypt,512,18
server,encrypt,512,19
client,decrypt,512,17
client,encrypt,512,19
server,decrypt,512,31
server,encrypt,512,23
client,decrypt,512,19
client,encrypt,512,18
server,decrypt,512,17
server,encrypt,512,18
client,decrypt,512,19
client,encrypt,1024,33
server,decrypt,1024,31
server,encrypt,1024,41
client,decrypt,1024,31
client,encrypt,1024,31
server,decrypt,1024,31
server,encrypt,1024,40
client,decrypt,1024,40
client,encrypt,1024,32
server,decrypt,1024,38
server,encrypt,1024,33
client,decrypt,1024,32
client,encrypt,1024,34
server,decrypt,1024,34
server,encrypt,1024,42
client,decrypt,1024,31
client,encrypt,1024,32
server,decrypt,1024,40
server,encrypt,1024,40
client,decrypt,1024,42
client,encrypt,2048,58
server,decrypt,2048,60
server,encrypt,2048,59
client,decrypt,2048,61
client,encrypt,2048,78
server,decrypt,2048,62
server,encrypt,2048,56
client,decrypt,2048,58
client,encrypt,2048,77
server,decrypt,2048,56
server,encrypt,2048,78
client,decrypt,2048,68
client,encrypt,2048,58
server,decrypt,2048,57
server,encrypt,2048,60
client,decrypt,2048,58
client,encrypt,2048,74
server,decrypt,2048,56
server,encrypt,2048,57
client,decrypt,2048,57
