endpoint,keylen,time
server,10,185178
client,10,139620
client,10,143110
server,10,192477
server,10,183678
client,10,137228
server,10,185500
client,10,137894
client,10,148692
server,10,200503
client,16,148496
server,16,196268
server,16,183378
client,16,138417
client,16,137456
server,16,212353
client,16,152883
server,16,200823
client,16,174068
server,16,232522
server,24,193660
client,24,146213
server,24,189591
client,24,142662
client,24,151424
server,24,209912
server,24,197140
client,24,150833
client,24,141906
server,24,189246
client,32,185465
server,32,241412
client,32,152048
server,32,214670
client,32,156406
server,32,204281
server,32,213297
client,32,160670
server,32,186534
client,32,140336
