endpoint,keylen,time
client,16,138395
server,16,182176
client,16,132943
server,16,176721
server,16,175619
client,16,131034
client,16,130953
server,16,174747
server,16,173636
client,16,130016
client,16,131537
server,16,175457
server,16,174898
client,16,131239
client,16,128924
server,16,172503
client,16,131381
server,16,175236
client,16,130424
server,16,172923
client,16,130958
server,16,174628
client,16,131912
server,16,175587
client,16,129735
server,16,173555
server,16,173941
client,16,130205
client,16,131256
server,16,175230
client,16,130132
server,16,172783
server,16,174095
client,16,130412
client,16,131699
server,16,175522
server,16,172715
client,16,129032
client,16,130046
server,16,173779
client,16,129745
server,16,173541
client,16,129553
server,16,173216
client,16,129223
server,16,172979
client,16,136032
server,16,179672
server,16,173672
client,16,129895
client,16,130437
server,16,175077
client,16,130038
server,16,174017
client,16,130175
server,16,173860
client,16,131073
server,16,174319
client,16,130591
server,16,174059
client,16,129910
server,16,173475
server,16,175537
client,16,131807
client,16,130389
server,16,174015
client,16,129812
server,16,173446
server,16,174479
client,16,130706
client,16,130907
server,16,174545
server,16,173455
client,16,129829
client,16,131715
server,16,175494
server,16,173862
client,16,130288
client,16,131023
server,16,174724
client,16,131553
server,16,175289
client,16,130061
server,16,174158
client,16,130833
server,16,175487
client,16,130315
server,16,174146
client,16,130655
server,16,174166
client,16,131969
server,16,176450
client,16,130317
server,16,174011
client,16,129647
server,16,173357
server,16,174260
client,16,130321
client,16,130204
server,16,173813
server,16,174002
client,16,130296
client,16,131227
server,16,175011
client,16,129926
server,16,173717
client,16,130628
server,16,174547
client,16,130286
server,16,174007
client,16,130968
server,16,174852
client,16,131267
server,16,175079
client,16,130916
server,16,174637
client,16,130540
server,16,173165
client,16,130465
server,16,174121
client,16,130495
server,16,174229
client,16,130142
server,16,173829
client,16,130933
server,16,175033
client,16,130695
server,16,174400
client,16,129407
server,16,173601
client,16,130544
server,16,174921
client,16,129827
server,16,173501
client,16,131122
server,16,174836
client,16,131314
server,16,174977
client,16,130993
server,16,174777
client,16,130755
server,16,174679
client,16,130502
server,16,174384
client,16,130598
server,16,174260
server,16,174645
client,16,130883
client,16,130855
server,16,174581
server,16,174474
client,16,130479
client,16,130802
server,16,174544
client,16,130201
server,16,173902
client,16,131737
server,16,175572
client,16,129846
server,16,173551
client,16,130492
server,16,174266
client,16,131095
server,16,174691
client,16,132925
server,16,176694
client,16,130721
server,16,174378
client,16,130790
server,16,174457
client,16,131059
server,16,174633
client,16,130122
server,16,174329
client,16,129547
server,16,173224
client,16,131005
server,16,174767
client,16,130808
server,16,174601
client,16,130372
server,16,174181
client,16,131371
server,16,175005
client,16,130490
server,16,174181
client,16,130726
server,16,174643
client,16,131162
server,16,174987
client,16,130583
server,16,174268
client,16,130239
server,16,174037
client,16,129872
server,16,173846
client,16,130520
server,16,174253
client,16,129888
server,16,173703
client,16,130686
server,16,174407
client,16,130133
server,16,173784
client,16,130586
server,16,174878
client,16,130170
server,16,173798
client,16,130284
server,16,173971
client,16,130926
server,16,174998
client,16,129945
server,16,173706
client,16,129900
server,16,173561
client,16,132115
server,16,176044
client,16,129255
server,16,173128
client,16,129919
server,16,173660
client,16,130313
server,16,174004
client,16,130462
server,16,174263
client,16,129999
server,16,173622
client,16,131660
server,16,175377
client,16,130072
server,16,173684
client,16,130806
server,16,174847
client,16,130060
server,16,174083
client,16,130311
server,16,174239
client,16,130753
server,16,175036
server,16,174243
client,16,130421
client,16,129919
server,16,173546
client,16,130648
server,16,173885
client,16,129199
server,16,172861
client,16,130362
server,16,174025
client,16,132060
server,16,175692
client,16,130167
server,16,173850
client,16,129672
server,16,173334
client,16,130834
server,16,174527
client,16,129964
server,16,173620
client,16,130389
server,16,174731
client,16,132274
server,16,175985
client,16,131159
server,16,174814
client,16,131837
server,16,175571
client,16,131616
server,16,175414
client,16,131443
server,16,175075
client,16,129350
server,16,173470
client,16,130239
server,16,173918
client,16,131158
server,16,175963
client,16,131824
server,16,175986
client,16,131496
server,16,176234
client,16,131895
server,16,176289
client,16,130230
server,16,174088
client,16,130347
server,16,174078
client,16,131255
server,16,173851
client,16,130537
server,16,174236
client,16,130537
server,16,174082
client,16,130607
server,16,174474
client,16,131899
server,16,175743
client,16,131461
server,16,175663
client,16,131061
server,16,174887
client,16,131224
server,16,174656
client,16,130936
server,16,174894
client,16,130104
server,16,174303
client,16,129938
server,16,173554
client,16,130258
server,16,174001
client,16,130182
server,16,174261
server,16,174179
client,16,130454
client,16,129707
server,16,173381
client,16,130710
server,16,174488
client,16,130722
server,16,174442
client,16,129769
server,16,173384
client,16,131651
server,16,175385
client,16,129970
server,16,173930
client,16,131390
server,16,174976
server,16,173806
client,16,130183
client,16,130435
server,16,174071
client,16,130544
server,16,174104
client,16,130502
server,16,174240
client,16,131034
server,16,174745
client,16,130503
server,16,174808
client,16,130002
server,16,173827
client,16,130065
server,16,174094
client,16,131830
server,16,175536
client,16,130471
server,16,174588
client,16,130647
server,16,174236
client,16,130994
server,16,174584
client,16,129953
server,16,173742
client,16,130593
server,16,174584
client,16,131783
server,16,175552
client,16,130512
server,16,174183
client,16,134366
server,16,177925
client,16,130256
server,16,174100
client,16,131085
server,16,174839
client,16,130061
server,16,173759
client,16,130282
server,16,174379
client,16,129675
server,16,173354
client,16,130163
server,16,174299
client,16,130914
server,16,174557
client,16,130611
server,16,174380
client,16,130874
server,16,174937
client,16,131049
server,16,174702
client,16,129994
server,16,173832
client,16,131255
server,16,175033
client,16,129859
server,16,173502
client,16,129447
server,16,173221
client,16,131068
server,16,175305
client,16,130150
server,16,172622
client,16,130057
server,16,173744
client,16,131452
server,16,175293
client,16,130482
server,16,174099
client,16,130868
server,16,173462
client,16,132269
server,16,176155
client,16,130339
server,16,174287
client,16,130420
server,16,173867
client,16,131444
server,16,175090
client,16,130084
server,16,172633
server,16,175077
client,16,130925
client,16,130825
server,16,174496
client,16,131081
