endpoint,min_input,max_input,time
client,32,8192,186245
server,32,8192,186048
server,32,8192,186850
client,32,8192,186969
server,32,8192,180493
client,32,8192,184737
server,32,8192,182171
client,32,8192,186573
server,32,8192,189250
client,32,8192,193785
client,32,8192,187597
server,32,8192,182931
server,32,8192,206804
client,32,8192,207311
server,32,8192,196216
client,32,8192,199174
server,32,8192,179991
client,32,8192,185150
server,32,8192,185188
client,32,8192,189585
server,32,8192,185902
client,32,8192,190620
server,32,8192,186180
client,32,8192,191088
server,32,8192,185176
client,32,8192,189982
server,32,8192,182255
client,32,8192,186835
server,32,8192,180666
client,32,8192,185257
server,32,8192,179654
client,32,8192,184418
server,32,8192,192077
client,32,8192,196424
server,32,8192,181276
client,32,8192,186024
server,32,8192,180035
client,32,8192,184820
server,32,8192,179731
client,32,8192,184184
server,32,8192,179710
client,32,8192,184332
server,32,8192,188163
client,32,8192,193009
server,32,8192,180352
client,32,8192,185141
server,32,8192,179616
client,32,8192,184251
server,32,8192,179735
client,32,8192,184627
server,32,8192,177942
client,32,8192,182763
server,32,8192,182908
client,32,8192,187748
server,32,8192,191094
client,32,8192,195964
server,32,8192,178829
client,32,8192,183710
server,32,8192,180465
client,32,8192,185273
server,32,8192,180434
client,32,8192,185604
server,32,8192,180090
client,32,8192,185218
server,32,8192,188788
client,32,8192,193730
server,32,8192,180094
client,32,8192,184671
server,32,8192,178616
client,32,8192,183211
server,32,8192,180238
client,32,8192,185584
server,32,8192,179824
client,32,8192,184835
server,32,8192,192860
client,32,8192,197884
server,32,8192,180169
client,32,8192,185213
server,32,8192,178477
client,32,8192,183068
server,32,8192,179849
client,32,8192,186403
server,32,8192,179438
client,32,8192,184478
server,32,8192,177420
client,32,8192,182309
server,32,8192,180722
client,32,8192,185775
server,32,8192,179661
client,32,8192,184677
server,32,8192,179967
client,32,8192,186261
server,32,8192,178753
client,32,8192,184625
server,32,8192,179784
client,32,8192,184892
server,32,8192,185858
client,32,8192,190865
server,32,8192,181557
client,32,8192,186324
server,32,8192,178831
client,32,8192,183778
server,32,8192,179286
client,32,8192,184539
server,32,8192,180802
client,32,8192,186084
server,32,8192,179779
client,32,8192,184804
client,32,8192,184792
server,32,8192,179730
server,32,8192,179843
client,32,8192,179963
server,32,8192,179130
client,32,8192,184184
server,32,8192,179879
client,32,8192,184919
server,32,8192,192345
client,32,8192,197452
server,32,8192,190444
client,32,8192,197538
server,32,8192,180053
client,32,8192,185188
server,32,8192,179458
client,32,8192,184348
client,32,8192,183977
server,32,8192,178865
server,32,8192,179406
client,32,8192,179540
server,32,8192,180740
client,32,8192,185916
server,32,8192,180082
client,32,8192,185098
server,32,8192,181136
client,32,8192,186408
server,32,8192,180696
client,32,8192,185783
server,32,8192,180245
client,32,8192,185331
server,32,8192,183266
client,32,8192,188576
server,32,8192,183544
client,32,8192,183691
server,32,8192,180146
client,32,8192,185050
server,32,8192,180160
client,32,8192,184962
server,32,8192,179686
client,32,8192,184930
server,32,8192,179426
client,32,8192,184589
server,32,8192,178447
client,32,8192,183669
server,32,8192,180044
client,32,8192,184848
server,32,8192,179564
client,32,8192,184599
server,32,8192,177985
client,32,8192,183174
server,32,8192,178166
client,32,8192,183544
server,32,8192,187922
client,32,8192,193230
server,32,8192,180967
client,32,8192,186364
server,32,8192,182012
client,32,8192,187294
server,32,8192,179381
client,32,8192,184660
server,32,8192,180741
client,32,8192,186064
server,32,8192,179335
client,32,8192,184466
client,32,8192,193102
server,32,8192,187897
server,32,8192,179270
client,32,8192,179429
server,32,8192,181365
client,32,8192,186518
server,32,8192,179586
client,32,8192,185178
server,32,8192,179650
client,32,8192,184936
server,32,8192,186639
client,32,8192,191944
server,32,8192,179465
client,32,8192,184999
server,32,8192,177708
client,32,8192,183085
server,32,8192,180853
client,32,8192,186323
server,32,8192,179607
client,32,8192,184982
server,32,8192,180343
client,32,8192,185710
server,32,8192,179498
client,32,8192,184749
server,32,8192,179450
client,32,8192,184813
server,32,8192,180809
client,32,8192,186278
server,32,8192,180774
client,32,8192,185949
server,32,8192,181834
client,32,8192,187097
server,32,8192,183753
client,32,8192,189687
server,32,8192,180685
client,32,8192,186152
server,32,8192,180503
client,32,8192,186000
server,32,8192,179696
client,32,8192,179843
server,32,8192,180549
client,32,8192,185990
server,32,8192,179932
client,32,8192,185354
server,32,8192,179797
client,32,8192,184844
server,32,8192,180273
client,32,8192,185747
server,32,8192,179848
client,32,8192,185173
server,32,8192,179654
client,32,8192,185085
server,32,8192,194548
client,32,8192,199972
server,32,8192,180749
client,32,8192,186112
client,32,8192,182880
server,32,8192,177524
server,32,8192,178371
client,32,8192,178474
server,32,8192,180538
client,32,8192,186099
server,32,8192,179656
client,32,8192,185062
server,32,8192,179609
client,32,8192,185025
client,32,8192,185421
server,32,8192,179956
server,32,8192,186423
client,32,8192,186587
server,32,8192,178114
client,32,8192,183580
server,32,8192,179738
client,32,8192,185239
server,32,8192,185667
client,32,8192,190848
server,32,8192,178618
client,32,8192,184187
server,32,8192,180259
client,32,8192,185743
server,32,8192,178830
client,32,8192,184304
server,32,8192,185477
client,32,8192,190833
server,32,8192,178736
client,32,8192,184171
server,32,8192,178112
client,32,8192,183578
server,32,8192,179737
client,32,8192,185334
server,32,8192,182267
client,32,8192,187903
server,32,8192,179882
client,32,8192,185209
server,32,8192,182145
client,32,8192,187689
server,32,8192,184342
client,32,8192,190059
server,32,8192,178637
client,32,8192,183993
server,32,8192,178499
client,32,8192,183826
server,32,8192,179868
client,32,8192,185465
server,32,8192,181661
client,32,8192,187199
server,32,8192,178515
client,32,8192,183954
server,32,8192,179189
client,32,8192,184672
server,32,8192,179999
client,32,8192,185452
server,32,8192,179118
client,32,8192,184718
server,32,8192,179304
client,32,8192,184795
server,32,8192,187164
client,32,8192,192611
server,32,8192,180898
client,32,8192,186650
server,32,8192,180664
client,32,8192,186208
client,32,8192,185709
server,32,8192,180337
server,32,8192,180185
client,32,8192,180311
server,32,8192,178190
client,32,8192,183559
server,32,8192,178495
client,32,8192,183929
server,32,8192,179734
client,32,8192,185277
server,32,8192,180782
client,32,8192,186447
server,32,8192,179511
client,32,8192,185076
client,32,8192,187219
server,32,8192,181667
server,32,8192,184843
client,32,8192,184970
server,32,8192,180798
client,32,8192,186381
client,32,8192,186683
server,32,8192,181357
server,32,8192,179386
client,32,8192,179543
server,32,8192,178113
client,32,8192,183613
server,32,8192,180758
client,32,8192,186291
server,32,8192,179421
client,32,8192,185023
server,32,8192,178997
client,32,8192,184639
server,32,8192,179355
client,32,8192,184540
server,32,8192,177920
client,32,8192,184137
client,32,8192,185836
server,32,8192,180527
server,32,8192,194991
client,32,8192,195163
server,32,8192,180886
client,32,8192,186568
server,32,8192,178224
client,32,8192,183788
server,32,8192,179570
client,32,8192,185015
server,32,8192,178289
client,32,8192,183917
server,32,8192,179522
client,32,8192,185131
server,32,8192,179829
client,32,8192,185348
server,32,8192,179056
client,32,8192,184641
server,32,8192,180830
client,32,8192,186268
server,32,8192,180960
client,32,8192,186665
client,32,8192,189707
server,32,8192,183995
server,32,8192,181479
client,32,8192,181590
server,32,8192,179593
client,32,8192,185357
server,32,8192,180482
client,32,8192,186131
server,32,8192,181203
client,32,8192,186930
server,32,8192,178234
client,32,8192,183895
client,32,8192,183732
server,32,8192,178207
server,32,8192,190895
client,32,8192,191100
client,32,8192,185763
server,32,8192,180190
server,32,8192,179600
client,32,8192,179727
server,32,8192,180821
client,32,8192,186361
server,32,8192,186867
client,32,8192,192338
client,32,8192,186078
server,32,8192,180466
server,32,8192,183786
client,32,8192,183940
server,32,8192,178684
client,32,8192,184304
server,32,8192,178402
client,32,8192,183988
server,32,8192,179300
client,32,8192,184948
server,32,8192,180039
client,32,8192,185672
server,32,8192,178940
client,32,8192,184630
server,32,8192,180687
client,32,8192,186289
server,32,8192,180527
client,32,8192,185943
server,32,8192,177662
client,32,8192,183308
server,32,8192,198417
client,32,8192,204124
server,32,8192,179141
client,32,8192,184799
server,32,8192,181565
client,32,8192,187180
server,32,8192,180174
client,32,8192,185967
server,32,8192,180635
client,32,8192,186263
server,32,8192,189826
client,32,8192,195434
server,32,8192,180803
client,32,8192,186300
client,32,8192,185422
server,32,8192,179851
server,32,8192,180867
client,32,8192,180992
server,32,8192,178409
client,32,8192,183901
server,32,8192,183228
client,32,8192,188579
server,32,8192,181259
client,32,8192,187332
client,32,8192,185057
server,32,8192,179344
client,32,8192,182204
server,32,8192,182057
client,32,8192,181951
server,32,8192,181783
server,32,8192,179946
client,32,8192,180071
server,32,8192,180283
client,32,8192,185885
server,32,8192,179256
client,32,8192,184838
server,32,8192,180615
client,32,8192,186528
client,32,8192,186325
server,32,8192,180596
server,32,8192,178366
client,32,8192,178500
server,32,8192,189964
client,32,8192,195901
client,32,8192,184556
server,32,8192,178863
server,32,8192,180864
client,32,8192,180991
client,32,8192,185519
server,32,8192,179780
server,32,8192,186888
client,32,8192,187056
server,32,8192,178901
client,32,8192,184948
server,32,8192,179433
client,32,8192,185526
client,32,8192,183865
server,32,8192,177806
server,32,8192,180734
client,32,8192,180899
client,32,8192,186335
server,32,8192,180423
client,32,8192,181309
server,32,8192,181178
client,32,8192,187101
server,32,8192,186968
server,32,8192,178446
client,32,8192,178596
server,32,8192,181426
client,32,8192,187279
server,32,8192,180112
client,32,8192,185786
server,32,8192,178736
client,32,8192,184540
server,32,8192,177995
client,32,8192,183722
server,32,8192,179761
client,32,8192,185525
client,32,8192,185517
server,32,8192,179650
server,32,8192,180600
client,32,8192,180787
server,32,8192,180818
client,32,8192,186397
server,32,8192,184334
client,32,8192,190254
server,32,8192,180319
client,32,8192,185898
server,32,8192,178889
client,32,8192,184698
server,32,8192,182312
client,32,8192,188204
server,32,8192,178246
client,32,8192,184329
client,32,8192,183738
server,32,8192,178169
server,32,8192,187588
client,32,8192,187758
server,32,8192,179488
client,32,8192,185445
server,32,8192,177766
client,32,8192,183670
server,32,8192,178921
client,32,8192,184841
client,32,8192,185321
server,32,8192,179258
server,32,8192,187478
client,32,8192,187614
server,32,8192,179174
client,32,8192,185304
server,32,8192,177997
client,32,8192,183919
server,32,8192,180650
client,32,8192,186742
server,32,8192,179167
client,32,8192,185084
client,32,8192,186295
server,32,8192,180483
server,32,8192,180697
client,32,8192,180887
server,32,8192,179755
client,32,8192,185750
server,32,8192,180362
client,32,8192,186049
server,32,8192,179378
client,32,8192,185429
server,32,8192,180083
client,32,8192,186122
server,32,8192,187365
client,32,8192,195977
server,32,8192,179540
client,32,8192,185579
server,32,8192,179227
client,32,8192,185307
server,32,8192,179374
client,32,8192,185393
server,32,8192,177858
client,32,8192,183772
server,32,8192,179512
client,32,8192,185207
server,32,8192,179385
client,32,8192,185426
server,32,8192,181946
client,32,8192,182133
client,32,8192,184624
server,32,8192,178711
server,32,8192,178062
client,32,8192,178207
server,32,8192,190247
client,32,8192,196168
server,32,8192,184176
client,32,8192,190358
server,32,8192,179112
client,32,8192,185118
server,32,8192,182156
client,32,8192,187897
server,32,8192,180364
client,32,8192,186168
server,32,8192,178892
client,32,8192,184857
server,32,8192,177941
client,32,8192,184039
server,32,8192,179166
client,32,8192,185112
server,32,8192,180611
client,32,8192,186358
server,32,8192,180073
client,32,8192,186016
server,32,8192,179115
client,32,8192,184966
server,32,8192,185846
client,32,8192,191665
server,32,8192,180109
client,32,8192,186226
server,32,8192,181163
client,32,8192,187128
server,32,8192,179877
client,32,8192,186374
server,32,8192,181609
client,32,8192,187327
server,32,8192,179633
client,32,8192,185618
server,32,8192,180206
client,32,8192,186153
server,32,8192,179424
client,32,8192,185361
server,32,8192,187850
client,32,8192,193624
server,32,8192,179685
client,32,8192,190215
server,32,8192,182927
client,32,8192,188888
server,32,8192,186352
client,32,8192,193070
server,32,8192,178437
client,32,8192,184453
server,32,8192,178701
client,32,8192,184745
server,32,8192,179549
client,32,8192,185381
server,32,8192,178483
client,32,8192,184304
server,32,8192,180742
client,32,8192,186613
server,32,8192,179530
client,32,8192,185659
server,32,8192,179438
client,32,8192,185162
server,32,8192,178304
client,32,8192,184837
server,32,8192,178327
client,32,8192,184085
server,32,8192,184265
client,32,8192,190179
server,32,8192,179797
client,32,8192,179941
server,32,8192,180807
client,32,8192,186563
server,32,8192,181052
client,32,8192,187033
server,32,8192,179049
client,32,8192,184957
server,32,8192,180926
client,32,8192,186819
server,32,8192,178066
client,32,8192,183887
server,32,8192,178631
client,32,8192,184765
server,32,8192,179726
client,32,8192,185854
