endpoint,keylen,time
client,10,145675
server,10,193394
client,10,143004
server,10,190338
client,10,141704
server,10,188862
client,10,141122
server,10,189030
client,10,141415
server,10,188373
client,16,142022
server,16,190051
server,16,193337
client,16,143957
client,16,144042
server,16,192041
client,16,143402
server,16,190648
client,16,143692
server,16,192945
server,24,190699
client,24,143463
client,24,143259
server,24,191737
client,24,148111
server,24,196631
client,24,140508
server,24,189559
client,24,141497
server,24,187852
client,32,143287
server,32,189930
client,32,142157
server,32,190139
server,32,190580
client,32,143759
client,32,142279
server,32,190186
server,32,192198
client,32,144854
