endpoint,keylen,time
client,10,144961
server,10,190848
server,10,185005
client,10,139315
server,10,181476
client,10,136492
server,10,197126
client,10,147804
client,10,138620
server,10,189741
server,16,187167
client,16,137497
server,16,192803
client,16,146057
client,16,146175
server,16,192446
client,16,138841
server,16,184946
server,16,179232
client,16,134209
server,24,179997
client,24,135392
client,24,136730
server,24,182161
client,24,136243
server,24,182518
server,24,187354
client,24,135883
client,24,140073
server,24,185078
server,32,201837
client,32,142987
client,32,139608
server,32,185405
client,32,136062
server,32,180987
server,32,181437
client,32,135881
client,32,140450
server,32,185441
