endpoint,operation,msglen,time
client,hash,4096,23
server,verify,4096,24
server,hash,4096,21
client,verify,4096,37
client,hash,4096,36
server,verify,4096,24
server,hash,4096,23
client,verify,4096,24
client,hash,4096,22
server,verify,4096,25
server,hash,4096,23
client,verify,4096,24
client,hash,4096,22
server,verify,4096,24
server,hash,4096,23
client,verify,4096,24
client,hash,4096,23
server,verify,4096,25
server,hash,4096,23
client,verify,4096,24
client,hash,8192,41
server,verify,8192,44
server,hash,8192,41
client,verify,8192,43
client,hash,8192,40
server,verify,8192,43
server,hash,8192,41
client,verify,8192,42
client,hash,8192,41
server,verify,8192,42
server,hash,8192,40
client,verify,8192,41
client,hash,8192,39
server,verify,8192,43
server,hash,8192,40
client,verify,8192,43
client,hash,8192,40
server,verify,8192,48
server,hash,8192,40
client,verify,8192,43
client,hash,16384,86
server,verify,16384,78
server,hash,16384,76
client,verify,16384,79
client,hash,16384,76
server,verify,16384,81
server,hash,16384,78
client,verify,16384,80
client,hash,16384,75
server,verify,16384,83
server,hash,16384,78
client,verify,16384,82
client,hash,16384,76
server,verify,16384,81
server,hash,16384,76
client,verify,16384,78
client,hash,16384,75
server,verify,16384,98
server,hash,16384,80
client,verify,16384,77
