endpoint,data_size,time
server,1048576,213257
client,1048576,214770
server,1048576,208846
client,1048576,210327
server,1048576,209115
client,1048576,210539
server,1048576,205522
client,1048576,206906
server,1048576,208086
client,1048576,209493
server,1048576,206743
client,1048576,208164
server,1048576,210154
client,1048576,211589
server,1048576,206174
client,1048576,208401
server,1048576,208055
client,1048576,209498
server,1048576,205354
client,1048576,206793
server,1048576,206016
client,1048576,207421
server,1048576,205757
client,1048576,207160
server,1048576,209500
client,1048576,211181
server,1048576,208801
client,1048576,210203
server,1048576,207777
client,1048576,209205
server,1048576,207048
client,1048576,208536
server,1048576,453605
client,1048576,455215
server,1048576,204954
client,1048576,206372
server,1048576,209292
client,1048576,211477
server,1048576,206424
client,1048576,207878
server,1048576,210746
client,1048576,212308
server,1048576,207656
client,1048576,209097
server,1048576,207811
client,1048576,209809
server,1048576,206782
client,1048576,208421
server,1048576,207523
client,1048576,209046
server,1048576,205641
client,1048576,207100
server,1048576,205141
client,1048576,206822
server,1048576,205743
client,1048576,207253
server,1048576,205471
client,1048576,206932
server,1048576,209259
client,1048576,210710
server,1048576,208220
client,1048576,209683
server,1048576,206622
client,1048576,208074
server,1048576,205787
client,1048576,207320
server,1048576,205771
client,1048576,207571
server,1048576,208668
client,1048576,210116
server,1048576,205985
client,1048576,207462
server,1048576,215494
client,1048576,217097
server,1048576,206893
client,1048576,208800
server,1048576,207871
client,1048576,209322
server,1048576,208487
client,1048576,209972
server,1048576,208813
client,1048576,210279
server,1048576,211427
client,1048576,213006
server,1048576,209083
client,1048576,210575
server,1048576,207278
client,1048576,208751
server,1048576,210907
client,1048576,212441
server,1048576,209423
client,1048576,211235
server,1048576,206627
client,1048576,208095
server,1048576,208193
client,1048576,209625
server,1048576,208041
client,1048576,209531
server,1048576,207329
client,1048576,208941
server,1048576,207754
client,1048576,209257
server,1048576,208104
client,1048576,209576
server,1048576,208352
client,1048576,209800
server,1048576,206467
client,1048576,207991
server,1048576,209857
client,1048576,211326
server,1048576,209109
client,1048576,210555
server,1048576,207225
client,1048576,208713
server,1048576,209271
client,1048576,210672
server,1048576,209234
client,1048576,210984
server,1048576,209189
client,1048576,210680
server,1048576,206126
client,1048576,207628
server,1048576,207086
client,1048576,208499
server,1048576,222076
client,1048576,223511
server,1048576,206430
client,1048576,207866
server,1048576,208754
client,1048576,210193
server,1048576,211319
client,1048576,212761
server,1048576,207713
client,1048576,209161
server,1048576,208684
client,1048576,210090
server,1048576,206579
client,1048576,208019
server,1048576,208505
client,1048576,209990
server,1048576,206605
client,1048576,208154
server,1048576,206647
client,1048576,208051
server,1048576,207935
client,1048576,209437
server,1048576,206014
client,1048576,207462
server,1048576,207555
client,1048576,209409
server,1048576,207562
client,1048576,209021
server,1048576,207642
client,1048576,209192
server,1048576,207684
client,1048576,209140
server,1048576,207709
client,1048576,209187
server,1048576,206156
client,1048576,207607
server,1048576,206485
client,1048576,207983
server,1048576,211721
client,1048576,213321
server,1048576,205454
client,1048576,207468
server,1048576,207107
client,1048576,208517
server,1048576,212231
client,1048576,213915
server,1048576,207424
client,1048576,208858
server,1048576,206919
client,1048576,208620
server,1048576,206649
client,1048576,208078
server,1048576,209213
client,1048576,210727
server,1048576,209405
client,1048576,210932
server,1048576,207676
client,1048576,209138
server,1048576,210595
client,1048576,212204
server,1048576,207618
client,1048576,209134
server,1048576,208929
client,1048576,210496
server,1048576,209138
client,1048576,210669
