endpoint,data_size,time
client,1048576,208814
server,1048576,208233
server,1048576,202430
client,1048576,207414
server,1048576,203284
client,1048576,203762
server,1048576,202552
client,1048576,203024
server,1048576,204953
client,1048576,205399
server,1048576,203091
client,1048576,203569
server,1048576,203192
client,1048576,203756
server,1048576,203943
client,1048576,204392
server,1048576,205033
client,1048576,205501
server,1048576,204321
client,1048576,204789
server,1048576,204218
client,1048576,204697
server,1048576,202175
client,1048576,202622
server,1048576,203132
client,1048576,203574
server,1048576,202676
client,1048576,203209
server,1048576,204437
client,1048576,204950
server,1048576,205215
client,1048576,205696
server,1048576,203433
client,1048576,203985
server,1048576,203519
client,1048576,203914
server,1048576,203027
client,1048576,203454
server,1048576,202993
client,1048576,203433
server,1048576,205320
client,1048576,205728
server,1048576,206876
client,1048576,207312
server,1048576,202692
client,1048576,203128
server,1048576,201618
client,1048576,202056
server,1048576,205001
client,1048576,205463
server,1048576,202396
client,1048576,203327
server,1048576,203110
client,1048576,203530
server,1048576,202711
client,1048576,203117
server,1048576,201521
client,1048576,201964
server,1048576,203121
client,1048576,203514
server,1048576,205268
client,1048576,205706
server,1048576,204679
client,1048576,205111
server,1048576,202298
client,1048576,202781
server,1048576,203294
client,1048576,203712
server,1048576,204451
client,1048576,204885
server,1048576,204322
client,1048576,204771
server,1048576,201777
client,1048576,202195
server,1048576,202804
client,1048576,203326
server,1048576,203065
client,1048576,203479
server,1048576,202293
client,1048576,202751
server,1048576,203634
client,1048576,204054
server,1048576,202264
client,1048576,202710
server,1048576,204070
client,1048576,204494
server,1048576,202636
client,1048576,203069
server,1048576,204216
client,1048576,204640
server,1048576,202462
client,1048576,203175
server,1048576,203948
client,1048576,204366
server,1048576,204250
client,1048576,204755
server,1048576,205037
client,1048576,205460
server,1048576,203820
client,1048576,204259
server,1048576,201291
client,1048576,201763
server,1048576,202548
client,1048576,202986
server,1048576,204723
client,1048576,205224
server,1048576,203161
client,1048576,203650
server,1048576,203268
client,1048576,203713
server,1048576,204147
client,1048576,204624
server,1048576,203535
client,1048576,204069
server,1048576,205436
client,1048576,205874
server,1048576,205481
client,1048576,205990
server,1048576,204106
client,1048576,204655
server,1048576,202163
client,1048576,202661
server,1048576,203348
client,1048576,203818
server,1048576,202343
client,1048576,202818
server,1048576,202270
client,1048576,202910
server,1048576,203251
client,1048576,203959
server,1048576,202115
client,1048576,202554
server,1048576,203121
client,1048576,203614
server,1048576,204410
client,1048576,204914
server,1048576,202292
client,1048576,202739
server,1048576,204399
client,1048576,204868
server,1048576,203978
client,1048576,204429
server,1048576,204377
client,1048576,204853
server,1048576,204437
client,1048576,204910
server,1048576,203835
client,1048576,204291
server,1048576,204483
client,1048576,204905
server,1048576,205745
client,1048576,206276
server,1048576,203592
client,1048576,204421
server,1048576,201823
client,1048576,202315
server,1048576,204068
client,1048576,204523
server,1048576,203656
client,1048576,204108
server,1048576,205657
client,1048576,206145
server,1048576,204106
client,1048576,204701
server,1048576,204213
client,1048576,204778
server,1048576,207237
client,1048576,207670
server,1048576,205151
client,1048576,205580
server,1048576,201990
client,1048576,202618
server,1048576,205239
client,1048576,205743
server,1048576,203553
client,1048576,204061
server,1048576,205198
client,1048576,205635
server,1048576,203036
client,1048576,203471
server,1048576,205061
client,1048576,205597
server,1048576,204872
client,1048576,205300
server,1048576,204739
client,1048576,205188
server,1048576,204400
client,1048576,204817
server,1048576,204118
client,1048576,204556
server,1048576,203529
client,1048576,203960
server,1048576,202047
client,1048576,202564
server,1048576,201488
client,1048576,201943
server,1048576,202584
client,1048576,203025
server,1048576,203944
client,1048576,204358
server,1048576,202098
client,1048576,202536
server,1048576,201899
client,1048576,202338
server,1048576,203997
client,1048576,204424
server,1048576,201635
client,1048576,202080
server,1048576,204293
client,1048576,204724
server,1048576,203756
client,1048576,204189
server,1048576,203062
client,1048576,203554
server,1048576,202842
client,1048576,203235
server,1048576,204631
client,1048576,205086
server,1048576,204754
client,1048576,205176
server,1048576,203085
client,1048576,203523
server,1048576,203070
client,1048576,203511
server,1048576,203369
client,1048576,203820
server,1048576,203195
client,1048576,203741
server,1048576,202246
client,1048576,202771
server,1048576,203992
client,1048576,204463
server,1048576,204604
client,1048576,205106
server,1048576,202144
client,1048576,202605
server,1048576,202961
client,1048576,203459
server,1048576,202246
client,1048576,202699
server,1048576,203983
client,1048576,204497
server,1048576,201877
client,1048576,202364
server,1048576,203960
client,1048576,204417
server,1048576,203086
client,1048576,203546
server,1048576,204365
client,1048576,204889
server,1048576,201703
client,1048576,202202
server,1048576,202638
client,1048576,203097
server,1048576,202987
client,1048576,203503
server,1048576,204703
client,1048576,205175
server,1048576,202223
client,1048576,202698
server,1048576,204290
client,1048576,204912
server,1048576,206956
client,1048576,207436
server,1048576,204955
