endpoint,keylen,time
client,2048,152224
client,2048,147279
server,2048,190842
client,2048,147040
server,2048,190707
client,2048,147529
server,2048,191331
client,2048,144374
server,2048,187937
server,2048,189801
client,2048,146130
server,2048,196016
client,2048,152391
client,2048,145966
server,2048,189607
client,2048,146751
server,2048,190508
client,2048,144579
server,2048,188134
server,2048,189767
client,2048,146019
client,2048,149605
server,2048,193289
client,2048,146108
server,2048,189706
client,2048,145472
server,2048,189216
client,2048,145436
server,2048,188950
client,2048,146242
server,2048,190006
server,2048,202223
client,2048,153173
client,2048,161329
server,2048,205563
client,2048,150738
server,2048,194473
client,2048,146813
server,2048,190703
server,2048,190339
client,2048,146621
client,2048,146802
server,2048,190648
client,2048,145143
server,2048,189001
client,2048,144629
server,2048,188487
client,2048,144822
server,2048,188494
client,2048,146425
server,2048,190198
client,2048,146097
server,2048,188727
client,2048,145241
server,2048,188865
client,2048,146107
server,2048,190960
client,2048,146321
server,2048,189062
client,2048,145953
server,2048,190325
client,2048,148016
server,2048,192484
client,2048,147021
server,2048,192073
client,2048,145086
server,2048,189727
client,2048,147085
server,2048,191467
client,2048,144604
server,2048,188568
client,2048,147488
server,2048,191043
client,2048,146018
server,2048,188615
server,2048,188537
client,2048,144920
client,2048,146469
server,2048,190158
client,2048,145354
server,2048,189075
client,2048,145844
server,2048,189455
client,2048,144596
server,2048,188099
client,2048,146710
server,2048,190330
client,2048,145303
server,2048,188906
client,2048,145442
server,2048,189154
client,2048,144406
server,2048,188402
client,2048,146104
server,2048,189769
client,2048,145681
server,2048,189231
client,2048,147201
server,2048,191077
client,2048,144966
server,2048,188621
client,2048,145528
server,2048,189315
client,2048,145916
server,2048,189451
client,2048,145278
server,2048,189880
client,2048,149101
server,2048,192792
client,2048,146536
server,2048,190248
client,2048,145133
server,2048,189359
client,2048,146945
server,2048,190743
client,2048,146850
server,2048,190586
client,2048,147234
server,2048,190851
client,2048,145882
server,2048,189374
client,2048,147419
server,2048,191440
client,2048,144481
server,2048,187017
client,2048,145432
server,2048,189236
client,2048,148520
server,2048,192264
client,2048,146383
server,2048,190033
client,2048,146674
server,2048,190656
client,2048,146516
server,2048,190181
client,2048,145604
server,2048,189014
client,2048,146725
server,2048,190403
client,2048,146626
server,2048,190637
client,2048,145554
server,2048,189463
client,2048,144831
server,2048,188587
client,2048,144783
server,2048,188468
client,2048,147121
server,2048,190756
client,2048,146750
server,2048,190265
client,2048,147381
server,2048,191102
client,2048,147297
server,2048,190877
client,2048,146818
server,2048,190458
client,2048,146166
server,2048,189984
client,2048,146360
server,2048,190033
client,2048,146568
server,2048,190225
client,2048,146393
server,2048,190179
client,2048,146834
server,2048,190561
client,2048,147014
server,2048,191492
client,2048,144991
server,2048,188540
client,2048,146177
server,2048,189833
client,2048,146872
server,2048,190633
client,2048,151608
server,2048,197116
client,2048,150687
server,2048,196109
client,2048,151036
server,2048,196087
client,2048,150103
server,2048,195330
server,2048,192248
client,2048,148387
client,2048,146896
server,2048,190403
client,2048,145988
server,2048,189767
client,2048,146779
server,2048,190533
client,2048,146469
server,2048,190144
client,2048,147771
server,2048,191800
client,2048,145063
server,2048,188674
client,2048,145137
server,2048,194008
client,2048,146623
server,2048,190234
client,2048,146469
server,2048,189971
client,2048,146223
server,2048,190011
client,2048,146412
server,2048,190200
client,2048,145945
server,2048,189690
client,2048,147203
server,2048,191105
client,2048,147253
server,2048,190741
client,2048,146804
server,2048,190445
client,2048,146607
server,2048,190284
client,2048,145840
server,2048,189438
client,2048,146041
server,2048,190041
client,2048,146158
server,2048,189782
client,2048,147123
server,2048,191010
client,2048,146980
server,2048,190527
client,2048,146459
server,2048,190203
client,2048,147656
server,2048,191498
client,2048,146773
server,2048,190229
client,2048,147235
server,2048,191589
client,2048,145422
server,2048,188583
client,2048,146260
server,2048,189997
client,2048,146722
server,2048,190559
client,2048,145225
server,2048,188785
client,2048,146141
server,2048,190234
client,2048,147053
server,2048,191041
client,2048,146506
server,2048,190133
client,2048,145833
server,2048,189450
client,2048,145139
server,2048,188725
client,2048,146464
server,2048,190126
client,2048,146823
server,2048,190619
client,2048,146264
server,2048,189812
client,2048,146985
server,2048,190800
client,2048,146455
server,2048,190575
client,2048,147487
server,2048,191231
client,2048,147185
server,2048,190844
