operation,msglen,cycles,time
encrypt,512,23337,10
decrypt,512,0,0
encrypt,512,23337,10
decrypt,512,31116,13
encrypt,512,23337,9
decrypt,512,5186,3
encrypt,512,23337,9
decrypt,512,28523,11
encrypt,512,25930,9
decrypt,512,18151,7
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,5186,3
encrypt,512,23337,9
decrypt,512,7779,3
encrypt,512,23337,9
decrypt,512,7779,4
encrypt,512,25930,9
decrypt,512,10372,5
encrypt,512,23337,9
decrypt,512,36302,15
encrypt,512,25930,9
decrypt,512,5186,3
encrypt,512,23337,9
decrypt,512,31116,11
encrypt,512,25930,9
decrypt,512,0,0
encrypt,512,23337,9
decrypt,512,0,0
encrypt,512,23337,10
decrypt,512,0,0
encrypt,512,23337,9
decrypt,512,0,0
encrypt,512,23337,9
decrypt,512,0,0
encrypt,512,57046,22
decrypt,512,0,1
encrypt,512,23337,9
decrypt,512,41488,16
encrypt,512,25930,9
decrypt,512,0,0
encrypt,512,25930,9
decrypt,512,5186,2
encrypt,512,25930,9
decrypt,512,0,0
encrypt,512,25930,9
decrypt,512,0,0
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,16
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,23337,9
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,16
decrypt,1024,36302,15
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,72604,28
encrypt,1024,41488,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,1024,44081,17
decrypt,1024,0,0
encrypt,2048,85569,32
decrypt,2048,85569,32
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,32
encrypt,2048,82976,32
decrypt,2048,147801,56
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,85569,32
encrypt,2048,85569,32
decrypt,2048,88162,33
encrypt,2048,85569,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,32
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,88162,33
encrypt,2048,108906,42
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,111499,33
encrypt,2048,82976,33
decrypt,2048,171138,56
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,33
