sec_lvl,test_id,time
1,0,19
1,0,1
1,0,1733
1,0,1
1,0,540
1,0,1
1,0,2
1,0,87809
1,0,21790
1,0,2
1,1,10
1,1,1
1,1,5
1,1,1
1,1,560
1,1,1
1,1,2
1,1,87724
1,1,15621
1,1,1
1,2,8
1,2,1
1,2,5
1,2,1
1,2,525
1,2,1
1,2,1
1,2,88145
1,2,15714
1,2,1
1,3,11
1,3,1
1,3,4
1,3,10
1,3,527
1,3,1
1,3,2
1,3,89814
1,3,15836
1,3,1
1,4,9
1,4,1
1,4,5
1,4,1
1,4,534
1,4,1
1,4,2
1,4,89269
1,4,15564
1,4,1
1,5,9
1,5,1
1,5,7
1,5,1
1,5,530
1,5,1
1,5,1
1,5,116830
1,5,15948
1,5,1
1,6,8
1,6,1
1,6,6
1,6,1
1,6,533
1,6,0
1,6,2
1,6,88344
1,6,15615
1,6,0
1,7,8
1,7,1
1,7,5
1,7,1
1,7,523
1,7,1
1,7,1
1,7,87267
1,7,15569
1,7,1
1,8,10
1,8,1
1,8,6
1,8,2
1,8,526
1,8,1
1,8,1
1,8,88269
1,8,15568
1,8,1
1,9,8
1,9,1
1,9,5
1,9,2
1,9,511
1,9,1
1,9,1
1,9,89683
1,9,15915
1,9,2
1,10,8
1,10,1
1,10,5
1,10,1
1,10,542
1,10,1
1,10,1
1,10,88407
1,10,15641
1,10,1
1,11,12
1,11,1
1,11,5
1,11,1
1,11,530
1,11,1
1,11,1
1,11,88712
1,11,15566
1,11,1
1,12,8
1,12,1
1,12,5
1,12,0
1,12,537
1,12,1
1,12,2
1,12,89570
1,12,15553
1,12,1
1,13,8
1,13,1
1,13,5
1,13,1
1,13,532
1,13,1
1,13,1
1,13,88511
1,13,15517
1,13,1
1,14,10
1,14,1
1,14,5
1,14,1
1,14,525
1,14,1
1,14,2
1,14,90952
1,14,15587
1,14,1
1,15,8
1,15,1
1,15,5
1,15,1
1,15,513
1,15,1
1,15,1
1,15,88529
1,15,16073
1,15,1
1,16,9
1,16,1
1,16,4
1,16,1
1,16,548
1,16,1
1,16,1
1,16,88669
1,16,15459
1,16,1
1,17,9
1,17,1
1,17,5
1,17,0
1,17,524
1,17,1
1,17,1
1,17,87793
1,17,15508
1,17,1
1,18,9
1,18,2
1,18,5
1,18,1
1,18,531
1,18,1
1,18,2
1,18,88586
1,18,15852
1,18,1
1,19,8
1,19,1
1,19,5
1,19,1
1,19,529
1,19,1
1,19,1
1,19,88116
1,19,15560
1,19,0
2,0,9
2,0,2
2,0,5
2,0,1
2,0,1089
2,0,1
2,0,1
2,0,287456
2,0,61050
2,0,1
2,1,9
2,1,1
2,1,5
2,1,1
2,1,1083
2,1,1
2,1,2
2,1,289500
2,1,46535
2,1,1
2,2,9
2,2,1
2,2,5
2,2,1
2,2,1128
2,2,1
2,2,2
2,2,287508
2,2,46655
2,2,1
2,3,8
2,3,1
2,3,5
2,3,1
2,3,1067
2,3,1
2,3,2
2,3,296679
2,3,46530
2,3,1
2,4,8
2,4,1
2,4,5
2,4,1
2,4,1095
2,4,1
2,4,2
2,4,291539
2,4,47724
2,4,1
2,5,13
2,5,1
2,5,6
2,5,1
2,5,1129
2,5,1
2,5,1
2,5,329110
2,5,52270
2,5,1
2,6,13
2,6,1
