sec_lvl,test_id,cycles,time
1,0,5186,2
1,0,2593,1
1,0,36302,14
1,0,5186,1
1,0,783402346,302128
1,0,38895,12
1,0,5186,2
1,0,5186,3
1,0,5186,1
1,0,531699836,205053
1,0,4924107,1899
1,1,5186,2
1,1,2593,1
1,1,41488,16
1,1,7779,2
1,1,747937885,288448
1,1,12965,4
1,1,2593,1
1,1,2593,1
1,1,10372,2
1,1,553226922,213355
1,1,5813506,2242
1,2,7779,2
1,2,2593,1
1,2,41488,15
1,2,5186,1
1,2,709903761,273780
1,2,10372,3
1,2,0,1
1,2,0,1
1,2,5186,1
1,2,524452401,202259
1,2,6477314,2506
1,3,7779,2
1,3,2593,0
1,3,36302,14
1,3,7779,2
1,3,783666832,302230
1,3,15558,4
1,3,0,1
1,3,2593,1
1,3,7779,2
1,3,518685569,200034
1,3,5434928,2098
1,4,5186,1
1,4,0,1
1,4,36302,14
1,4,7779,2
1,4,705801635,272196
1,4,10372,3
1,4,0,1
1,4,2593,1
1,4,5186,1
1,4,542691563,209292
1,4,4887805,1886
1,5,7779,1
1,5,0,1
1,5,33709,12
1,5,7779,2
1,5,774964724,298868
1,5,12965,5
1,5,2593,1
1,5,2593,1
1,5,5186,0
1,5,525722971,202748
1,5,6944054,2684
1,6,10372,2
1,6,10372,2
1,6,101127,38
1,6,12965,3
1,6,747206659,288166
1,6,12965,4
1,6,0,1
1,6,2593,1
1,6,7779,2
1,6,526557917,203067
1,6,13136138,5069
1,7,5186,2
1,7,2593,1
1,7,36302,14
1,7,5186,1
1,7,843186554,325181
1,7,12965,4
1,7,2593,1
1,7,2593,1
1,7,5186,1
1,7,546482529,210755
1,7,5598287,2159
1,8,5186,2
1,8,2593,1
1,8,38895,15
1,8,7779,2
1,8,711472526,274384
1,8,10372,3
1,8,0,1
1,8,0,1
1,8,12965,3
1,8,558467375,215375
1,8,5281941,2039
1,9,15558,4
1,9,2593,1
1,9,93348,36
1,9,36302,9
1,9,790660153,304922
1,9,12965,5
1,9,2593,0
1,9,2593,1
1,9,5186,1
1,9,543199791,209488
1,9,4924107,1900
1,10,7779,2
1,10,0,1
1,10,41488,15
1,10,5186,1
1,10,777498085,299847
1,10,10372,4
1,10,0,1
1,10,2593,1
1,10,5186,1
1,10,542100359,209065
1,10,5170442,1994
1,11,0,0
1,11,0,0
1,11,31116,13
1,11,7779,2
1,11,773131473,298169
1,11,23337,7
1,11,2593,1
1,11,2593,1
1,11,7779,2
1,11,540137458,208306
1,11,5590508,2158
1,12,5186,1
1,12,2593,1
1,12,38895,15
1,12,7779,1
1,12,804029661,310081
1,12,12965,5
1,12,2593,1
1,12,5186,1
1,12,7779,1
1,12,589482248,227336
1,12,5193779,2004
1,13,12965,4
1,13,5186,1
1,13,85569,33
1,13,10372,2
1,13,810203594,312459
1,13,10372,3
1,13,0,1
1,13,2593,1
1,13,7779,2
1,13,553787010,213572
1,13,5803134,2240
1,14,5186,2
1,14,2593,1
1,14,36302,14
1,14,5186,1
1,14,761929713,293844
1,14,12965,4
1,14,0,1
1,14,2593,1
1,14,7779,1
1,14,546122102,210615
1,14,5403812,2086
1,15,5186,1
1,15,2593,1
1,15,75197,30
1,15,7779,2
1,15,793551348,306038
1,15,20744,7
1,15,5186,1
1,15,2593,2
1,15,7779,2
1,15,580155227,223740
1,15,9078093,3501
1,16,5186,2
1,16,2593,0
1,16,36302,14
1,16,5186,2
1,16,732035016,282314
1,16,12965,4
1,16,2593,1
1,16,2593,0
1,16,10372,2
1,16,558392178,215348
1,16,4947444,1909
1,17,7779,2
1,17,2593,1
1,17,36302,13
1,17,5186,2
1,17,741958427,286142
1,17,12965,3
1,17,0,1
1,17,0,1
1,17,5186,1
1,17,528767153,203922
1,17,5466044,2110
1,18,5186,1
1,18,0,1
1,18,36302,14
1,18,5186,1
1,18,734793968,283376
1,18,15558,4
1,18,2593,1
1,18,2593,0
1,18,7779,1
1,18,553483629,213451
1,18,10636486,4104
1,19,5186,1
1,19,2593,1
1,19,38895,14
1,19,513414,3
1,19,745803846,287629
1,19,62232,23
1,19,7779,2
1,19,7779,3
1,19,5186,1
1,19,546433262,210737
1,19,5310464,2049
1,20,7779,2
1,20,2593,0
1,20,36302,13
1,20,7779,1
1,20,736230490,283933
1,20,10372,3
1,20,2593,1
1,20,2593,1
1,20,2593,1
1,20,558000635,215197
1,20,5274162,2035
1,21,5186,2
1,21,2593,1
1,21,36302,13
1,21,7779,2
1,21,731627915,282160
1,21,18151,5
1,21,0,1
1,21,2593,1
1,21,5186,1
1,21,541618061,208881
1,21,5826471,2247
1,22,5186,2
1,22,2593,0
1,22,36302,14
1,22,7779,1
1,22,703846513,271440
1,22,10768729,4154
1,22,2593,0
1,22,2593,1
