sec_lvl,test_id,operation,time
1,0,dhm_set_group,5
1,0,dhm_make_params,45392
1,0,rsa_sign_with_sha512,21671
1,0,parse_client_dh_public,4
1,0,dhm_calc_secret,43371
1,0,rsa_verify_with_sha256,489
1,1,dhm_set_group,4
1,1,dhm_make_params,44029
1,1,rsa_sign_with_sha512,15081
1,1,parse_client_dh_public,3
1,1,dhm_calc_secret,43333
1,1,rsa_verify_with_sha256,488
1,2,dhm_set_group,4
1,2,dhm_make_params,44426
1,2,rsa_sign_with_sha512,14964
1,2,parse_client_dh_public,3
1,2,dhm_calc_secret,44181
1,2,rsa_verify_with_sha256,513
1,3,dhm_set_group,5
1,3,dhm_make_params,48729
1,3,rsa_sign_with_sha512,16221
1,3,parse_client_dh_public,4
1,3,dhm_calc_secret,59538
1,3,rsa_verify_with_sha256,509
1,4,dhm_set_group,6
1,4,dhm_make_params,47381
1,4,rsa_sign_with_sha512,16121
1,4,parse_client_dh_public,5
1,4,dhm_calc_secret,44091
1,4,rsa_verify_with_sha256,488
1,5,dhm_set_group,3
1,5,dhm_make_params,48093
1,5,rsa_sign_with_sha512,16145
1,5,parse_client_dh_public,4
1,5,dhm_calc_secret,43956
1,5,rsa_verify_with_sha256,493
1,6,dhm_set_group,4
1,6,dhm_make_params,44254
1,6,rsa_sign_with_sha512,14934
1,6,parse_client_dh_public,3
1,6,dhm_calc_secret,44271
1,6,rsa_verify_with_sha256,489
1,7,dhm_set_group,4
1,7,dhm_make_params,45044
1,7,rsa_sign_with_sha512,15946
1,7,parse_client_dh_public,3
1,7,dhm_calc_secret,43737
1,7,rsa_verify_with_sha256,489
1,8,dhm_set_group,3
1,8,dhm_make_params,44364
1,8,rsa_sign_with_sha512,15246
1,8,parse_client_dh_public,4
1,8,dhm_calc_secret,43368
1,8,rsa_verify_with_sha256,489
1,9,dhm_set_group,4
1,9,dhm_make_params,44849
1,9,rsa_sign_with_sha512,15717
1,9,parse_client_dh_public,4
1,9,dhm_calc_secret,43746
1,9,rsa_verify_with_sha256,490
1,10,dhm_set_group,4
1,10,dhm_make_params,44633
1,10,rsa_sign_with_sha512,14893
1,10,parse_client_dh_public,3
1,10,dhm_calc_secret,43638
1,10,rsa_verify_with_sha256,490
1,11,dhm_set_group,4
1,11,dhm_make_params,44648
1,11,rsa_sign_with_sha512,15671
1,11,parse_client_dh_public,3
1,11,dhm_calc_secret,43662
1,11,rsa_verify_with_sha256,488
1,12,dhm_set_group,5
1,12,dhm_make_params,44649
1,12,rsa_sign_with_sha512,15750
1,12,parse_client_dh_public,3
1,12,dhm_calc_secret,44093
1,12,rsa_verify_with_sha256,489
1,13,dhm_set_group,4
1,13,dhm_make_params,44309
1,13,rsa_sign_with_sha512,15183
1,13,parse_client_dh_public,3
1,13,dhm_calc_secret,43696
1,13,rsa_verify_with_sha256,504
1,14,dhm_set_group,3
1,14,dhm_make_params,43709
1,14,rsa_sign_with_sha512,14912
1,14,parse_client_dh_public,3
1,14,dhm_calc_secret,44475
1,14,rsa_verify_with_sha256,504
1,15,dhm_set_group,4
1,15,dhm_make_params,44700
1,15,rsa_sign_with_sha512,15638
1,15,parse_client_dh_public,4
1,15,dhm_calc_secret,44376
1,15,rsa_verify_with_sha256,505
1,16,dhm_set_group,3
1,16,dhm_make_params,44081
1,16,rsa_sign_with_sha512,15239
1,16,parse_client_dh_public,4
1,16,dhm_calc_secret,43788
1,16,rsa_verify_with_sha256,489
1,17,dhm_set_group,3
1,17,dhm_make_params,44510
1,17,rsa_sign_with_sha512,15987
1,17,parse_client_dh_public,5
1,17,dhm_calc_secret,44516
1,17,rsa_verify_with_sha256,500
1,18,dhm_set_group,4
1,18,dhm_make_params,44191
1,18,rsa_sign_with_sha512,15447
1,18,parse_client_dh_public,3
1,18,dhm_calc_secret,43228
1,18,rsa_verify_with_sha256,521
1,19,dhm_set_group,4
1,19,dhm_make_params,43585
1,19,rsa_sign_with_sha512,15422
1,19,parse_client_dh_public,4
1,19,dhm_calc_secret,44405
1,19,rsa_verify_with_sha256,488
1,20,dhm_set_group,3
1,20,dhm_make_params,44864
1,20,rsa_sign_with_sha512,15420
