endpoint,operation,msglen,time
client,encrypt,256,11
server,decrypt,256,18
server,encrypt,256,8
client,decrypt,256,11
client,encrypt,256,8
server,decrypt,256,13
server,encrypt,256,18
client,decrypt,256,15
client,encrypt,256,8
server,decrypt,256,15
server,encrypt,256,8
client,decrypt,256,13
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,8
client,encrypt,256,8
server,decrypt,256,10
server,encrypt,256,9
client,decrypt,256,9
client,encrypt,512,12
server,decrypt,512,14
server,encrypt,512,12
client,decrypt,512,22
client,encrypt,512,12
server,decrypt,512,21
server,encrypt,512,12
client,decrypt,512,14
client,encrypt,512,13
server,decrypt,512,24
server,encrypt,512,12
client,decrypt,512,14
client,encrypt,512,12
server,decrypt,512,13
server,encrypt,512,12
client,decrypt,512,26
client,encrypt,512,12
server,decrypt,512,13
server,encrypt,512,12
client,decrypt,512,17
client,encrypt,1024,22
server,decrypt,1024,22
server,encrypt,1024,21
client,decrypt,1024,41
client,encrypt,1024,21
server,decrypt,1024,22
server,encrypt,1024,22
client,decrypt,1024,23
client,encrypt,1024,22
server,decrypt,1024,22
server,encrypt,1024,21
client,decrypt,1024,21
client,encrypt,1024,21
server,decrypt,1024,37
server,encrypt,1024,22
client,decrypt,1024,22
client,encrypt,1024,21
server,decrypt,1024,22
server,encrypt,1024,21
client,decrypt,1024,23
client,encrypt,2048,38
server,decrypt,2048,39
server,encrypt,2048,51
client,decrypt,2048,58
client,encrypt,2048,40
server,decrypt,2048,64
server,encrypt,2048,39
client,decrypt,2048,39
client,encrypt,2048,38
server,decrypt,2048,40
server,encrypt,2048,39
client,decrypt,2048,39
client,encrypt,2048,38
server,decrypt,2048,39
server,encrypt,2048,40
client,decrypt,2048,39
client,encrypt,2048,37
server,decrypt,2048,62
server,encrypt,2048,40
client,decrypt,2048,40
