endpoint,min_input,max_input,time
server,32,8192,221471
client,32,8192,221980
server,32,8192,489914
client,32,8192,490375
server,32,8192,205947
client,32,8192,206429
server,32,8192,207304
client,32,8192,207818
server,32,8192,216460
client,32,8192,216978
server,32,8192,218959
client,32,8192,219442
server,32,8192,209098
client,32,8192,209540
server,32,8192,210820
client,32,8192,211385
server,32,8192,220618
client,32,8192,221086
server,32,8192,488554
client,32,8192,489071
server,32,8192,506946
client,32,8192,507405
server,32,8192,208647
client,32,8192,209127
server,32,8192,208871
client,32,8192,209338
server,32,8192,204743
client,32,8192,205266
server,32,8192,219388
client,32,8192,219872
server,32,8192,211571
client,32,8192,212221
server,32,8192,218469
client,32,8192,218897
server,32,8192,483013
client,32,8192,483532
server,32,8192,209746
client,32,8192,210252
server,32,8192,207482
client,32,8192,207913
server,32,8192,212761
client,32,8192,213272
server,32,8192,206087
client,32,8192,206586
server,32,8192,221451
client,32,8192,222024
server,32,8192,208644
client,32,8192,209094
server,32,8192,206071
client,32,8192,206576
server,32,8192,206492
client,32,8192,206964
server,32,8192,210968
client,32,8192,211520
server,32,8192,209598
client,32,8192,210030
server,32,8192,205752
client,32,8192,206223
server,32,8192,206441
client,32,8192,206924
server,32,8192,208088
client,32,8192,208600
server,32,8192,214954
client,32,8192,215419
server,32,8192,480532
client,32,8192,481020
server,32,8192,204718
client,32,8192,205214
server,32,8192,223789
client,32,8192,224254
server,32,8192,207384
client,32,8192,207855
server,32,8192,487988
client,32,8192,488432
server,32,8192,235742
client,32,8192,236165
server,32,8192,232588
client,32,8192,233133
server,32,8192,212749
client,32,8192,213263
server,32,8192,220366
client,32,8192,220836
server,32,8192,214444
client,32,8192,214878
server,32,8192,217776
client,32,8192,218250
server,32,8192,215816
client,32,8192,216330
server,32,8192,207125
client,32,8192,207597
server,32,8192,240079
client,32,8192,240581
server,32,8192,246327
client,32,8192,246855
server,32,8192,226568
client,32,8192,227179
server,32,8192,217530
client,32,8192,217982
server,32,8192,215279
client,32,8192,215812
server,32,8192,222243
client,32,8192,222700
server,32,8192,503784
client,32,8192,504251
server,32,8192,329211
client,32,8192,330016
server,32,8192,249363
client,32,8192,250038
server,32,8192,203097
client,32,8192,203644
server,32,8192,258015
client,32,8192,259125
server,32,8192,240414
client,32,8192,252326
server,32,8192,231590
client,32,8192,232146
server,32,8192,488145
client,32,8192,488682
server,32,8192,209157
client,32,8192,209663
server,32,8192,208946
client,32,8192,209425
server,32,8192,223403
client,32,8192,224044
server,32,8192,220186
client,32,8192,220596
server,32,8192,221656
client,32,8192,222140
server,32,8192,216141
client,32,8192,216691
server,32,8192,214399
client,32,8192,214838
server,32,8192,215054
client,32,8192,215558
server,32,8192,211367
client,32,8192,211865
server,32,8192,487458
client,32,8192,488011
server,32,8192,224499
client,32,8192,224963
server,32,8192,217548
client,32,8192,218023
server,32,8192,486939
client,32,8192,487419
server,32,8192,474160
client,32,8192,474812
server,32,8192,205541
client,32,8192,206002
server,32,8192,214756
client,32,8192,215210
server,32,8192,485893
client,32,8192,486462
server,32,8192,199285
client,32,8192,199780
server,32,8192,201216
client,32,8192,201664
server,32,8192,479660
client,32,8192,480334
server,32,8192,204718
client,32,8192,205206
server,32,8192,228686
client,32,8192,229335
server,32,8192,206387
client,32,8192,206859
server,32,8192,478405
client,32,8192,478924
server,32,8192,200391
client,32,8192,200840
server,32,8192,203974
client,32,8192,204415
server,32,8192,200025
client,32,8192,200562
server,32,8192,473086
client,32,8192,473661
server,32,8192,207420
client,32,8192,207902
server,32,8192,200865
client,32,8192,201333
server,32,8192,201539
client,32,8192,202072
server,32,8192,198807
client,32,8192,199300
server,32,8192,205962
client,32,8192,206437
server,32,8192,202135
client,32,8192,202596
server,32,8192,199558
client,32,8192,200094
server,32,8192,202242
client,32,8192,202742
server,32,8192,199418
client,32,8192,199873
server,32,8192,202391
client,32,8192,202852
server,32,8192,204398
client,32,8192,204907
server,32,8192,205357
client,32,8192,205848
server,32,8192,199639
client,32,8192,200107
server,32,8192,199928
client,32,8192,200398
server,32,8192,485032
client,32,8192,485556
server,32,8192,198476
client,32,8192,198960
server,32,8192,199120
client,32,8192,199576
server,32,8192,199263
client,32,8192,199717
server,32,8192,205140
client,32,8192,205622
server,32,8192,201018
client,32,8192,201496
server,32,8192,200089
client,32,8192,200553
server,32,8192,198607
client,32,8192,199078
server,32,8192,200302
client,32,8192,200784
server,32,8192,199580
client,32,8192,200120
server,32,8192,198725
client,32,8192,199242
server,32,8192,199130
client,32,8192,199683
server,32,8192,198569
client,32,8192,199053
server,32,8192,205500
client,32,8192,205985
server,32,8192,198255
client,32,8192,198781
server,32,8192,198019
client,32,8192,198476
server,32,8192,198229
client,32,8192,198684
server,32,8192,200501
client,32,8192,200970
server,32,8192,201645
client,32,8192,202156
server,32,8192,200309
client,32,8192,200808
server,32,8192,196003
client,32,8192,196447
server,32,8192,198198
client,32,8192,198715
server,32,8192,481146
client,32,8192,481678
server,32,8192,198743
client,32,8192,199245
server,32,8192,199301
client,32,8192,199788
server,32,8192,199519
client,32,8192,199964
server,32,8192,204150
