endpoint,keylen,time
server,1024,196000
client,1024,150746
server,1024,183431
client,1024,138262
client,1024,137799
server,1024,184283
server,1024,180763
client,1024,135569
client,1024,142407
server,1024,189926
server,2048,206269
client,2048,159485
server,2048,212289
client,2048,161780
server,2048,208674
client,2048,162942
server,2048,205134
client,2048,158751
client,2048,159879
server,2048,206803
server,4096,320068
client,4096,275212
client,4096,241026
server,4096,287147
client,4096,289593
server,4096,339393
client,4096,299276
server,4096,347511
server,4096,304143
client,4096,257519
server,8192,1048588
client,8192,1004070
client,8192,908818
server,8192,954052
server,8192,969477
client,8192,924366
client,8192,924056
server,8192,969090
client,8192,1025734
server,8192,1073746
