endpoint,keylen,time
client,1024,149266
server,1024,198093
server,1024,197259
client,1024,149338
server,1024,239052
client,1024,149516
server,1024,197347
client,1024,149567
server,1024,198102
client,1024,149970
server,2048,221627
client,2048,173697
server,2048,215382
client,2048,165936
client,2048,162656
server,2048,211748
client,2048,163798
server,2048,211469
client,2048,164083
server,2048,213821
client,4096,288213
server,4096,338271
server,4096,308845
client,4096,261707
client,4096,260685
server,4096,308683
server,4096,312474
client,4096,262330
server,4096,320111
client,4096,269856
client,8192,1050362
server,8192,1097174
server,8192,1004355
client,8192,957015
server,8192,979317
client,8192,932540
server,8192,982679
client,8192,934843
client,8192,939525
server,8192,986070
