endpoint,operation,msglen,time
client,hash,4096,22
server,verify,4096,25
server,hash,4096,22
client,verify,4096,24
client,hash,4096,23
server,verify,4096,24
server,hash,4096,23
client,verify,4096,24
client,hash,4096,26
server,verify,4096,25
server,hash,4096,23
client,verify,4096,24
client,hash,4096,22
server,verify,4096,24
server,hash,4096,23
client,verify,4096,64
client,hash,4096,33
server,verify,4096,38
server,hash,4096,42
client,verify,4096,24
client,hash,8192,40
server,verify,8192,45
server,hash,8192,111
client,verify,8192,73
client,hash,8192,74
server,verify,8192,43
server,hash,8192,59
client,verify,8192,44
client,hash,8192,44
server,verify,8192,46
server,hash,8192,41
client,verify,8192,44
client,hash,8192,42
server,verify,8192,43
server,hash,8192,42
client,verify,8192,44
client,hash,8192,42
server,verify,8192,43
server,hash,8192,56
client,verify,8192,44
client,hash,16384,80
server,verify,16384,80
server,hash,16384,78
client,verify,16384,123
client,hash,16384,79
server,verify,16384,90
server,hash,16384,94
client,verify,16384,90
client,hash,16384,88
server,verify,16384,91
server,hash,16384,78
client,verify,16384,82
client,hash,16384,76
server,verify,16384,81
server,hash,16384,76
client,verify,16384,81
client,hash,16384,76
server,verify,16384,82
server,hash,16384,80
client,verify,16384,82
