endpoint,min_input,max_input,time
server,32,8192,231711
client,32,8192,232193
server,32,8192,213421
client,32,8192,213773
server,32,8192,193862
client,32,8192,194254
server,32,8192,195937
client,32,8192,196387
server,32,8192,194744
client,32,8192,195177
server,32,8192,193665
client,32,8192,194090
server,32,8192,196506
client,32,8192,196905
server,32,8192,195599
client,32,8192,196034
server,32,8192,193587
client,32,8192,194068
server,32,8192,194095
client,32,8192,194505
server,32,8192,194184
client,32,8192,194594
server,32,8192,194622
client,32,8192,195065
server,32,8192,193822
client,32,8192,194263
server,32,8192,195201
client,32,8192,195605
server,32,8192,194256
client,32,8192,194666
server,32,8192,193727
client,32,8192,194170
server,32,8192,475307
client,32,8192,475750
server,32,8192,194496
client,32,8192,194872
server,32,8192,194057
client,32,8192,194460
server,32,8192,193600
client,32,8192,194005
server,32,8192,192774
client,32,8192,193224
server,32,8192,194667
client,32,8192,195077
server,32,8192,193505
client,32,8192,193906
server,32,8192,191670
client,32,8192,192139
server,32,8192,499763
client,32,8192,500216
server,32,8192,195086
client,32,8192,195509
server,32,8192,192120
client,32,8192,192532
server,32,8192,193233
client,32,8192,193656
server,32,8192,193307
client,32,8192,193714
server,32,8192,191693
client,32,8192,192103
server,32,8192,194060
client,32,8192,194480
server,32,8192,193401
client,32,8192,193864
server,32,8192,194741
client,32,8192,195205
server,32,8192,197466
client,32,8192,197844
server,32,8192,193365
client,32,8192,193788
server,32,8192,194238
client,32,8192,194644
server,32,8192,194631
client,32,8192,195054
server,32,8192,191905
client,32,8192,192334
server,32,8192,194262
client,32,8192,194657
server,32,8192,191891
client,32,8192,192326
server,32,8192,194022
client,32,8192,194476
server,32,8192,193167
client,32,8192,193602
server,32,8192,194116
client,32,8192,194533
server,32,8192,201613
client,32,8192,202047
server,32,8192,493733
client,32,8192,494197
server,32,8192,193797
client,32,8192,194234
server,32,8192,193421
client,32,8192,193823
server,32,8192,194298
client,32,8192,194742
server,32,8192,193788
client,32,8192,194219
server,32,8192,194520
client,32,8192,194930
server,32,8192,192094
client,32,8192,192499
server,32,8192,206212
client,32,8192,206661
server,32,8192,493945
client,32,8192,494383
server,32,8192,481552
client,32,8192,481942
server,32,8192,194037
client,32,8192,194452
server,32,8192,194147
client,32,8192,194599
server,32,8192,194101
client,32,8192,194562
server,32,8192,191787
client,32,8192,192204
server,32,8192,199812
client,32,8192,200193
server,32,8192,194198
client,32,8192,194650
server,32,8192,191535
client,32,8192,191970
server,32,8192,193948
client,32,8192,194368
server,32,8192,194967
client,32,8192,195408
server,32,8192,194564
client,32,8192,194949
server,32,8192,194758
client,32,8192,195176
server,32,8192,198529
client,32,8192,199012
server,32,8192,197325
client,32,8192,197750
server,32,8192,195725
client,32,8192,196111
server,32,8192,197667
client,32,8192,198068
server,32,8192,195109
client,32,8192,195548
server,32,8192,194011
client,32,8192,194432
server,32,8192,192757
client,32,8192,193163
server,32,8192,195046
client,32,8192,195456
server,32,8192,194728
client,32,8192,195149
server,32,8192,508144
client,32,8192,508551
