endpoint,time
client,151754
server,194591
client,145374
server,189023
server,189495
client,145711
client,145732
server,189438
client,144690
server,188533
client,145277
server,189166
client,147226
server,190943
client,144726
server,187331
client,147139
server,190968
client,145355
server,188363
client,145139
server,188775
client,147551
server,191251
client,144190
server,187825
client,144731
server,188495
client,144406
server,188104
client,146035
server,189841
client,145467
server,189640
client,144628
server,188413
server,189814
client,145884
server,189392
client,145759
client,144492
server,188131
client,146130
server,190363
client,145901
server,189466
client,145710
server,189923
client,146486
server,190357
client,147230
server,190952
client,146374
server,190993
client,145301
server,188952
client,146294
server,190340
client,144772
server,188960
client,144746
server,188483
client,145440
server,189276
client,146197
server,189780
server,190681
client,146968
client,144572
server,188303
client,146314
server,190090
client,146106
server,189862
client,145715
server,189943
client,146821
server,190377
client,145438
server,189131
client,145514
server,189182
client,145609
server,189291
client,144266
server,188061
client,147023
server,190776
client,144804
server,188461
client,144863
server,188277
client,147035
server,190543
client,143844
server,187454
client,145160
server,188960
client,146910
server,190683
client,145122
server,189057
client,146966
server,190604
client,145793
server,189535
client,146715
server,190825
client,146242
server,189841
client,145106
server,188830
client,146598
server,190591
client,145331
server,189132
client,144441
server,188138
client,145765
server,189433
client,144410
server,188232
client,146248
server,190216
client,146304
server,189966
client,144861
server,188664
client,145743
server,189455
client,144075
server,187723
server,190450
client,146519
client,146788
server,190595
client,145764
server,189413
client,146447
server,190213
client,147126
server,190754
server,190365
client,146177
client,145440
server,189072
client,146851
server,191474
client,145394
server,189729
client,145345
server,189423
client,144767
server,188425
client,146250
server,190031
client,146444
server,190146
client,146452
server,190363
client,145730
server,189136
client,146045
server,189679
server,191416
client,147466
client,146583
server,190247
client,146952
server,190668
client,145746
server,189517
client,146218
server,189857
client,146779
server,190667
client,146506
server,190182
client,146477
server,190599
client,144784
server,188405
client,145891
server,189482
client,147270
server,190938
client,145188
server,188914
client,145953
server,190190
client,145989
server,189641
client,144136
server,187909
client,146570
server,190222
client,146656
server,190310
client,146441
server,190684
client,145113
server,189186
client,146937
server,190608
client,146747
server,190513
client,147571
server,190233
client,144744
server,188872
client,146411
server,190166
client,145453
server,189106
client,145270
server,188938
client,146181
server,189794
client,146392
server,190235
client,144976
server,188658
client,146742
server,190614
client,146319
server,189965
client,147401
server,191100
client,145990
server,189710
client,147590
server,191150
client,145035
server,188683
client,146650
server,190499
client,144439
server,188095
client,146165
server,189772
client,145939
server,189627
client,145885
server,189543
client,145316
server,189577
client,147878
server,191526
client,146048
server,189794
client,147376
server,191000
client,147610
server,191199
client,146529
server,190563
client,144787
server,188550
client,146614
server,190455
client,146769
server,190376
client,147103
server,190725
client,146488
server,190274
client,145873
server,189736
client,144215
server,188055
client,146169
server,189737
client,145866
server,189562
client,146190
server,190206
client,144645
server,188246
client,144449
server,188162
client,146469
server,190107
client,145761
server,189433
client,145585
server,189245
client,146421
server,190057
client,146869
server,190603
client,145369
server,189528
client,144963
server,188549
client,146011
server,189725
client,145886
server,189623
client,146200
server,189900
client,144789
server,188487
client,144875
server,188422
client,145040
server,188730
client,147945
server,192027
client,146821
server,190580
client,146033
server,189728
client,145305
server,189051
client,146412
server,190077
client,146443
server,190439
client,146138
server,189844
client,144870
server,188532
client,145900
server,188689
client,144747
server,188521
client,146884
server,190688
client,145156
server,188730
client,144916
server,188885
client,145097
server,188897
client,144857
server,188507
client,144707
server,188375
client,146322
server,190043
client,145693
server,189840
client,146072
server,189758
client,145196
server,189024
client,146138
server,189968
client,144573
server,188574
client,145653
server,189722
client,145565
server,189325
client,145429
server,188994
client,146089
server,189789
client,145259
server,189345
client,144453
server,188386
client,145096
server,188818
client,147078
server,190744
client,146980
server,190863
client,145688
server,189436
client,145363
server,189666
client,145031
server,188759
client,145494
server,188595
client,145157
server,188856
client,145461
server,189092
client,144938
server,189105
client,146098
server,189682
client,146180
server,190025
client,145492
server,189140
client,146723
server,190397
client,145177
server,189425
client,146291
server,189999
client,145400
server,188914
client,152061
server,194645
client,144601
server,188184
client,146062
server,189960
server,189915
client,146280
client,148403
server,192000
client,145524
server,189101
client,146109
server,189758
client,145842
server,189597
client,144965
server,188759
client,145667
server,189364
client,146386
server,190585
server,189789
client,146086
client,146338
server,190030
client,146263
server,190007
client,145053
server,188850
client,146009
server,189629
client,146345
server,189876
client,144354
server,188037
client,147758
server,190565
client,145084
server,188847
client,146003
server,189708
client,145801
server,189541
client,144763
server,188552
client,144886
server,189030
client,151962
server,195571
client,143746
server,187296
client,146538
server,190213
client,144476
server,188033
client,144490
server,188711
client,146960
server,190660
client,145520
server,189143
server,189808
client,146733
client,146413
server,190007
client,144624
server,188605
client,145371
server,188871
client,144863
server,188656
client,145399
server,189203
client,144934
server,188595
server,187835
client,144277
client,148129
server,192048
client,144949
server,188525
client,146886
server,190565
client,146418
server,190206
client,145931
server,189805
client,146983
server,190925
client,144433
server,188012
server,189262
client,145510
client,146383
server,190173
client,144985
server,189027
client,146281
server,190240
client,145054
server,188676
client,145204
server,189137
client,144529
server,188568
client,144290
server,187879
client,145061
server,188938
client,145455
server,189199
client,144604
server,188652
client,146128
server,189758
client,147057
server,190873
client,145352
server,189025
client,145780
server,189887
client,146636
server,190355
client,145888
server,189499
client,146556
server,190356
client,146523
server,190367
client,147113
server,191261
server,188775
client,145028
client,145997
server,189578
client,145297
server,189028
client,145127
server,188889
client,144947
server,188602
client,145931
server,189574
client,144877
server,188485
client,145316
server,188491
server,188597
client,144855
client,146499
server,190345
client,146146
server,189756
client,146569
server,190301
client,146367
server,189832
client,146867
server,191132
client,146263
server,189980
client,145149
server,188772
server,188886
client,145320
client,146790
server,190286
client,144992
server,189195
client,144631
server,188288
client,146930
server,190666
client,146841
server,190293
server,187764
client,144148
client,146006
server,189912
client,144611
server,188164
server,188704
client,145128
client,147295
server,190992
client,146423
server,190154
server,189303
client,144915
client,145950
server,189714
client,146149
server,189939
client,147419
server,191016
server,188258
client,144697
client,145334
server,189405
client,144535
server,188087
client,145312
server,189008
client,146962
server,191043
client,146237
server,189866
client,145695
server,190025
client,146510
server,190119
client,144555
server,188134
client,146337
server,191498
client,145729
server,189405
client,145840
server,190072
client,146481
server,190188
client,144549
server,188229
client,145246
server,188834
server,190419
client,146652
client,144401
server,188043
client,147037
server,189834
client,146273
server,189821
client,147462
server,191134
client,146452
server,189447
server,190099
client,146415
server,188683
client,144671
