endpoint,min_input,max_input,time
server,32,8192,205617
client,32,8192,206084
server,32,8192,194648
client,32,8192,195090
server,32,8192,194991
client,32,8192,195388
server,32,8192,194464
client,32,8192,194858
server,32,8192,194222
client,32,8192,194654
server,32,8192,195531
client,32,8192,195913
server,32,8192,196953
client,32,8192,197342
server,32,8192,193921
client,32,8192,194350
server,32,8192,194260
client,32,8192,194700
server,32,8192,194438
client,32,8192,194817
server,32,8192,195603
client,32,8192,196028
server,32,8192,193620
client,32,8192,194062
server,32,8192,192692
client,32,8192,193156
server,32,8192,193689
client,32,8192,194108
server,32,8192,193880
client,32,8192,194300
server,32,8192,200018
client,32,8192,200560
server,32,8192,194661
client,32,8192,195083
server,32,8192,192140
client,32,8192,192538
server,32,8192,193084
client,32,8192,193533
server,32,8192,193446
client,32,8192,193831
server,32,8192,480811
client,32,8192,481249
server,32,8192,193744
client,32,8192,194211
server,32,8192,194964
client,32,8192,195410
server,32,8192,193480
client,32,8192,193881
server,32,8192,200931
client,32,8192,201351
server,32,8192,194682
client,32,8192,195153
server,32,8192,195104
client,32,8192,195600
server,32,8192,193211
client,32,8192,193650
server,32,8192,194938
client,32,8192,195357
server,32,8192,194465
client,32,8192,194905
server,32,8192,193544
client,32,8192,193994
server,32,8192,192174
client,32,8192,192570
server,32,8192,195649
client,32,8192,196071
server,32,8192,193776
client,32,8192,194250
server,32,8192,201657
client,32,8192,202096
server,32,8192,194760
client,32,8192,195167
server,32,8192,194796
client,32,8192,195187
server,32,8192,194333
client,32,8192,194782
server,32,8192,194317
client,32,8192,194761
server,32,8192,194352
client,32,8192,194738
server,32,8192,195489
client,32,8192,195902
server,32,8192,194779
client,32,8192,195228
server,32,8192,193891
client,32,8192,194315
server,32,8192,199317
client,32,8192,199703
server,32,8192,199256
client,32,8192,199659
server,32,8192,201152
client,32,8192,201606
server,32,8192,195814
client,32,8192,196278
server,32,8192,194442
client,32,8192,194874
server,32,8192,193736
client,32,8192,194131
server,32,8192,193739
client,32,8192,194211
server,32,8192,194358
client,32,8192,194822
server,32,8192,194228
client,32,8192,194692
server,32,8192,194196
client,32,8192,194619
server,32,8192,198335
client,32,8192,198757
server,32,8192,195351
client,32,8192,195795
server,32,8192,194574
client,32,8192,195013
server,32,8192,193152
client,32,8192,193572
server,32,8192,193978
client,32,8192,194435
server,32,8192,195252
client,32,8192,195707
server,32,8192,193150
client,32,8192,193597
server,32,8192,195429
client,32,8192,195851
server,32,8192,194503
client,32,8192,194905
server,32,8192,193591
client,32,8192,194000
server,32,8192,200152
client,32,8192,200547
server,32,8192,193364
client,32,8192,193770
server,32,8192,193854
client,32,8192,194271
server,32,8192,194517
client,32,8192,194951
server,32,8192,194764
client,32,8192,195178
server,32,8192,195551
client,32,8192,195963
server,32,8192,194195
client,32,8192,194639
server,32,8192,193375
client,32,8192,193804
server,32,8192,195535
client,32,8192,195918
server,32,8192,195905
client,32,8192,196323
server,32,8192,196543
client,32,8192,197007
server,32,8192,194221
client,32,8192,194661
server,32,8192,194933
client,32,8192,195354
server,32,8192,192994
client,32,8192,193400
server,32,8192,194911
client,32,8192,195369
server,32,8192,194649
client,32,8192,195118
server,32,8192,193003
client,32,8192,193414
server,32,8192,194759
client,32,8192,195179
server,32,8192,195159
client,32,8192,195562
server,32,8192,199670
client,32,8192,200078
server,32,8192,194117
client,32,8192,194555
server,32,8192,194240
client,32,8192,194691
server,32,8192,193822
client,32,8192,194283
server,32,8192,195216
client,32,8192,195636
server,32,8192,193725
client,32,8192,194186
server,32,8192,196306
client,32,8192,196744
server,32,8192,194454
client,32,8192,194898
server,32,8192,193406
client,32,8192,193797
server,32,8192,195080
client,32,8192,195572
server,32,8192,200647
client,32,8192,201129
server,32,8192,193161
client,32,8192,193569
server,32,8192,195223
client,32,8192,195653
server,32,8192,193006
client,32,8192,193437
server,32,8192,194899
client,32,8192,195346
server,32,8192,195076
client,32,8192,195497
server,32,8192,194777
client,32,8192,195187
server,32,8192,194092
client,32,8192,194493
server,32,8192,194684
client,32,8192,195086
server,32,8192,194557
client,32,8192,194971
server,32,8192,203635
client,32,8192,204097
server,32,8192,192969
client,32,8192,193464
server,32,8192,194350
client,32,8192,194807
server,32,8192,192127
client,32,8192,192583
server,32,8192,193473
client,32,8192,193899
server,32,8192,196221
client,32,8192,196724
server,32,8192,194244
client,32,8192,194646
server,32,8192,194497
client,32,8192,194960
server,32,8192,194901
client,32,8192,195366
server,32,8192,196596
client,32,8192,197049
server,32,8192,196835
client,32,8192,197265
server,32,8192,194442
client,32,8192,194888
server,32,8192,194402
client,32,8192,194838
server,32,8192,194188
client,32,8192,194650
server,32,8192,193474
client,32,8192,193904
server,32,8192,194091
client,32,8192,194524
server,32,8192,192650
client,32,8192,193139
server,32,8192,193976
client,32,8192,194435
server,32,8192,194568
client,32,8192,194982
server,32,8192,200567
client,32,8192,201002
server,32,8192,194950
client,32,8192,195404
server,32,8192,194625
client,32,8192,195103
server,32,8192,194711
client,32,8192,195142
server,32,8192,195407
client,32,8192,195848
server,32,8192,500947
client,32,8192,501459
server,32,8192,193776
client,32,8192,194230
server,32,8192,194320
client,32,8192,194759
server,32,8192,199376
client,32,8192,199809
server,32,8192,194936
client,32,8192,195363
server,32,8192,193796
client,32,8192,194263
server,32,8192,192044
client,32,8192,192490
server,32,8192,193442
client,32,8192,193884
server,32,8192,192886
client,32,8192,193322
server,32,8192,494351
client,32,8192,494840
server,32,8192,193618
client,32,8192,194045
server,32,8192,194680
client,32,8192,195103
