endpoint,operation,data_size,time
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,23
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,32
server,encrypt,560,23
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,21
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,29
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,21
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,21
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,28
client,encrypt,560,22
server,decrypt,560,32
server,encrypt,560,31
client,decrypt,560,29
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,29
client,encrypt,560,31
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,28
client,encrypt,560,26
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,28
client,encrypt,560,29
server,decrypt,560,22
server,encrypt,560,21
client,decrypt,560,35
client,encrypt,560,27
server,decrypt,560,28
server,encrypt,560,23
client,decrypt,560,30
client,encrypt,560,21
server,decrypt,560,32
server,encrypt,560,27
client,decrypt,560,28
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,21
client,decrypt,560,28
client,encrypt,560,22
server,decrypt,560,29
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,28
client,decrypt,560,28
client,encrypt,560,23
server,decrypt,560,23
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,21
client,decrypt,560,28
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,23
server,decrypt,560,21
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,31
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,29
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,42
server,encrypt,560,22
client,decrypt,560,28
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,26
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,29
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,27
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,42
server,encrypt,560,22
client,decrypt,560,30
client,encrypt,560,22
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,21
server,decrypt,560,28
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,21
server,encrypt,560,23
client,decrypt,560,29
client,encrypt,560,23
server,decrypt,560,21
server,encrypt,560,23
client,decrypt,560,30
client,encrypt,560,22
server,decrypt,560,30
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,21
server,decrypt,560,23
server,encrypt,560,21
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,21
client,decrypt,560,30
client,encrypt,560,21
server,decrypt,560,21
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,23
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,26
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,28
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,30
client,encrypt,560,23
server,decrypt,560,29
server,encrypt,560,21
client,decrypt,560,21
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,32
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,32
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,30
client,decrypt,560,33
client,encrypt,560,22
server,decrypt,560,41
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,41
server,encrypt,560,23
client,decrypt,560,40
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,41
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,23
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,23
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,41
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,42
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,29
client,encrypt,560,23
server,decrypt,560,41
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,26
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,28
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,26
server,decrypt,560,23
server,encrypt,560,22
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,21
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,21
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,23
client,encrypt,560,22
server,decrypt,560,21
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,27
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,23
client,decrypt,560,22
client,encrypt,560,23
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,23
client,encrypt,560,22
server,decrypt,560,22
server,encrypt,560,22
client,decrypt,560,22
client,encrypt,560,22
server,decrypt,560,32
server,encrypt,560,23
