endpoint,keylen,time
server,1024,186158
client,1024,139667
client,1024,137728
server,1024,182821
client,1024,136784
server,1024,182495
client,1024,142768
server,1024,187997
server,1024,201762
client,1024,156497
server,2048,200336
client,2048,155171
client,2048,194867
server,2048,244014
server,2048,210639
client,2048,160919
client,2048,185813
server,2048,240799
client,2048,204646
server,2048,251195
client,4096,283350
server,4096,328106
server,4096,302544
client,4096,253707
server,4096,295866
client,4096,249210
server,4096,288662
client,4096,243160
server,4096,287001
client,4096,241547
server,8192,1045405
client,8192,993289
client,8192,898789
server,8192,943862
client,8192,903487
server,8192,953389
client,8192,1002947
server,8192,1055575
server,8192,965845
client,8192,920973
