endpoint,keylen,time
client,1024,138816
server,1024,183508
server,1024,182790
client,1024,137885
server,1024,181734
client,1024,136540
client,1024,134975
server,1024,179355
client,1024,135786
server,1024,181260
server,2048,200564
client,2048,155714
server,2048,201113
client,2048,156117
client,2048,151955
server,2048,196878
server,2048,195637
client,2048,151344
client,2048,149926
server,2048,194894
client,4096,261152
server,4096,305192
client,4096,237964
server,4096,282387
client,4096,239623
server,4096,284574
client,4096,238991
server,4096,283981
client,4096,238650
server,4096,282950
server,8192,1009640
client,8192,964582
client,8192,877026
server,8192,921663
client,8192,881573
server,8192,926396
client,8192,880127
server,8192,924766
server,8192,922346
client,8192,877167
