endpoint,time
server,83456
client,73097
server,84393
client,73999
server,85126
client,74721
server,84324
client,73916
server,83130
client,72725
server,84574
client,74238
client,72602
server,83028
server,84377
client,73973
client,73588
server,84049
client,72561
server,82987
client,73822
server,84166
server,82881
client,72531
server,83726
client,73315
client,73845
server,84233
server,84107
client,73777
client,73805
server,84222
client,72931
server,83358
server,83902
client,73443
server,84660
client,74283
client,73030
server,83393
client,74434
server,84764
client,73056
server,83458
client,73379
server,83801
client,73800
server,84232
server,84027
client,73669
server,83553
client,73202
client,73552
server,83951
server,83730
client,73325
client,73557
server,83883
client,73911
server,84259
client,73604
server,83962
client,72970
server,83344
client,72713
server,83100
client,72980
server,83340
client,73514
server,83806
client,73528
server,83918
server,84095
client,73739
server,84197
client,73819
server,84219
client,73650
client,73419
server,83798
client,72627
server,83104
server,84109
client,73755
client,72960
server,83325
client,72879
server,83300
client,72717
server,83015
server,83906
client,73579
server,83582
client,73179
server,83975
client,73582
client,73652
server,84038
server,83425
client,73045
client,74100
server,84468
client,72796
server,83240
client,73615
server,83918
client,73595
server,83999
client,73652
server,83983
client,72622
server,83027
client,73317
server,83717
client,73207
server,83718
client,72771
server,83146
client,73010
server,83386
server,84132
client,73758
client,73727
server,84080
client,72837
server,83158
client,73266
server,83651
client,72388
server,82760
client,73801
server,84149
server,82977
client,72589
client,73342
server,83661
client,74528
server,84700
client,73331
server,83675
server,83401
client,73070
client,73703
server,84079
client,73707
server,84079
client,73444
server,83814
client,73212
server,83683
server,83815
client,73344
client,73294
server,83690
server,82888
client,72521
client,72970
server,83124
server,83300
client,72943
client,74525
server,84917
client,72779
server,83171
client,72612
server,82967
client,73327
server,83815
client,322153
server,332251
client,72755
server,83089
server,83940
client,73584
client,73360
server,83737
client,72838
server,83214
server,84057
client,73620
server,83633
client,73342
server,83266
client,72912
server,83967
client,73572
server,83716
client,73334
server,84441
client,74013
server,83758
client,73367
client,75203
server,85610
client,73419
server,83781
client,72696
server,83078
server,83576
client,73192
server,84549
client,74095
server,84173
client,73739
server,83192
client,72820
server,84174
client,73815
server,83001
client,72637
client,73753
server,84150
client,73010
server,83451
server,83816
client,73406
server,83591
client,73197
client,73505
server,83900
server,84171
client,73824
server,84334
client,73750
server,83754
client,73343
server,84974
client,73688
server,84153
client,73767
server,83483
client,73130
client,73806
server,84173
server,333480
client,323396
server,83544
client,73201
server,84007
client,73640
server,84052
client,73657
server,84105
client,73656
server,83552
client,72842
server,84195
client,73857
server,83990
client,73600
server,83192
client,72783
server,82971
client,72586
server,83618
client,73265
server,84393
client,73864
client,72780
server,83181
server,83012
client,72658
server,85365
client,74988
server,83683
client,73356
server,84145
client,73602
server,84129
client,73758
server,83957
client,73605
server,84041
client,73636
server,84160
client,73708
server,84060
client,73707
server,83973
client,73591
server,83435
client,73120
server,84001
client,73608
server,84269
client,73920
server,83292
client,72904
server,84116
client,73527
server,83011
client,72588
server,83214
client,72790
server,83301
client,72906
server,84121
client,73786
server,83807
client,73422
server,82992
client,72621
server,83275
client,72933
server,83760
client,73391
server,84391
client,73915
server,83858
client,73496
server,84128
client,73684
server,82965
client,72551
server,83917
client,73576
server,84096
client,73672
server,85347
