endpoint,operation,msglen,time
client,digest,8192,40
server,verify,8192,44
server,digest,8192,40
client,verify,8192,42
client,digest,8192,40
server,verify,8192,42
server,digest,8192,40
client,verify,8192,44
client,digest,8192,40
server,verify,8192,42
server,digest,8192,40
client,verify,8192,44
client,digest,8192,41
server,verify,8192,43
server,digest,8192,61
client,verify,8192,43
client,digest,8192,41
server,verify,8192,93
server,digest,8192,60
client,verify,8192,42
client,digest,16384,95
server,verify,16384,81
server,digest,16384,87
client,verify,16384,86
client,digest,16384,76
server,verify,16384,86
server,digest,16384,77
client,verify,16384,79
client,digest,16384,76
server,verify,16384,81
server,digest,16384,101
client,verify,16384,81
client,digest,16384,76
server,verify,16384,81
server,digest,16384,77
client,verify,16384,78
client,digest,16384,75
server,verify,16384,82
server,digest,16384,76
client,verify,16384,101
