endpoint,data_size,time
server,1048576,92594
client,1048576,94534
server,1048576,92955
client,1048576,94369
server,1048576,92735
client,1048576,94149
server,1048576,93002
client,1048576,95131
server,1048576,93425
client,1048576,94851
server,1048576,92588
client,1048576,94039
server,1048576,94507
client,1048576,95969
server,1048576,93580
client,1048576,95175
server,1048576,93420
client,1048576,94863
server,1048576,92713
client,1048576,94117
server,1048576,93483
client,1048576,94868
server,1048576,92660
client,1048576,94479
server,1048576,93985
client,1048576,95402
server,1048576,93886
client,1048576,95324
server,1048576,92329
client,1048576,93809
server,1048576,95749
client,1048576,97320
server,1048576,92482
client,1048576,93936
server,1048576,92524
client,1048576,93951
server,1048576,93446
client,1048576,95038
server,1048576,94688
client,1048576,96103
server,1048576,93829
client,1048576,95285
server,1048576,92917
client,1048576,94354
server,1048576,94152
client,1048576,96151
server,1048576,93129
client,1048576,94545
server,1048576,93209
client,1048576,94581
server,1048576,94130
client,1048576,95556
server,1048576,93074
client,1048576,94491
server,1048576,93797
client,1048576,95221
server,1048576,94095
client,1048576,95583
server,1048576,93869
client,1048576,95311
server,1048576,92894
client,1048576,94301
server,1048576,92833
client,1048576,94377
server,1048576,92751
client,1048576,94289
server,1048576,93778
client,1048576,95215
server,1048576,93026
client,1048576,94564
server,1048576,92830
client,1048576,94351
server,1048576,93338
client,1048576,94818
server,1048576,92770
client,1048576,94258
server,1048576,93322
client,1048576,94817
server,1048576,93316
client,1048576,94770
server,1048576,92476
client,1048576,93954
server,1048576,92497
client,1048576,93935
server,1048576,92663
client,1048576,94346
server,1048576,92715
client,1048576,94215
server,1048576,94272
client,1048576,95708
server,1048576,92838
client,1048576,94298
server,1048576,92128
client,1048576,93715
server,1048576,339540
client,1048576,341039
server,1048576,92015
client,1048576,93470
server,1048576,92713
client,1048576,94159
server,1048576,94812
client,1048576,96557
server,1048576,92472
client,1048576,93892
server,1048576,92733
client,1048576,94250
server,1048576,92194
client,1048576,93782
server,1048576,93065
client,1048576,94559
server,1048576,93329
client,1048576,94902
server,1048576,94294
client,1048576,96035
server,1048576,92576
client,1048576,94081
server,1048576,93709
client,1048576,95176
server,1048576,94272
client,1048576,95730
server,1048576,93618
client,1048576,95091
server,1048576,92680
client,1048576,94133
server,1048576,94088
client,1048576,95576
server,1048576,93282
client,1048576,94703
server,1048576,92728
client,1048576,94121
server,1048576,94514
client,1048576,96147
server,1048576,92956
client,1048576,94375
server,1048576,92663
client,1048576,94819
server,1048576,94212
client,1048576,95702
server,1048576,93943
client,1048576,95367
server,1048576,93765
client,1048576,95168
server,1048576,93726
client,1048576,95275
server,1048576,94161
client,1048576,95603
server,1048576,92939
client,1048576,94385
server,1048576,91896
client,1048576,93359
server,1048576,94200
client,1048576,95865
server,1048576,92780
client,1048576,94198
server,1048576,94163
client,1048576,95569
server,1048576,92606
client,1048576,94037
server,1048576,92327
client,1048576,93851
server,1048576,91954
client,1048576,93532
server,1048576,95104
client,1048576,96553
server,1048576,92666
client,1048576,94103
server,1048576,92516
client,1048576,93959
server,1048576,93517
client,1048576,95105
server,1048576,95404
client,1048576,97039
server,1048576,94246
client,1048576,95752
server,1048576,93262
client,1048576,94670
server,1048576,92792
client,1048576,94483
server,1048576,93012
client,1048576,94538
server,1048576,92979
client,1048576,94407
server,1048576,93801
client,1048576,95277
server,1048576,91923
client,1048576,93354
server,1048576,93052
client,1048576,94469
server,1048576,93892
client,1048576,95292
server,1048576,92684
client,1048576,94128
server,1048576,92499
client,1048576,94108
server,1048576,92983
client,1048576,94437
server,1048576,91995
client,1048576,93750
server,1048576,93775
client,1048576,95215
server,1048576,92643
client,1048576,94054
server,1048576,91618
client,1048576,93020
server,1048576,93464
client,1048576,94943
server,1048576,93760
client,1048576,95751
server,1048576,92573
client,1048576,94017
server,1048576,92788
client,1048576,94227
server,1048576,93256
client,1048576,94735
server,1048576,91767
client,1048576,93303
server,1048576,92382
client,1048576,93994
server,1048576,94674
client,1048576,96125
server,1048576,92603
client,1048576,94065
server,1048576,94384
client,1048576,95772
server,1048576,93613
client,1048576,95079
server,1048576,92183
client,1048576,93594
server,1048576,92983
client,1048576,94445
server,1048576,94648
client,1048576,96082
server,1048576,94283
client,1048576,95856
server,1048576,93321
client,1048576,94764
server,1048576,93057
client,1048576,95231
server,1048576,92361
client,1048576,93962
server,1048576,92852
client,1048576,94289
server,1048576,93069
client,1048576,94452
server,1048576,92917
client,1048576,94467
server,1048576,93857
client,1048576,95312
server,1048576,94599
client,1048576,96049
server,1048576,92537
client,1048576,94032
server,1048576,92784
client,1048576,94205
server,1048576,92699
client,1048576,94240
server,1048576,93239
client,1048576,94790
server,1048576,92536
client,1048576,93991
server,1048576,91396
client,1048576,92814
server,1048576,93553
client,1048576,94990
server,1048576,93467
client,1048576,94950
server,1048576,92381
client,1048576,93856
server,1048576,91989
client,1048576,93478
server,1048576,93986
client,1048576,95537
server,1048576,93284
client,1048576,94812
server,1048576,92446
client,1048576,94136
server,1048576,92270
client,1048576,93733
server,1048576,94553
client,1048576,96007
