endpoint,keylen,time
client,192,29687
server,192,37161
client,192,28583
server,192,36854
client,192,29536
server,192,37031
client,192,29575
server,192,36742
client,192,31352
server,192,38499
client,224,46460
server,224,57102
server,224,56353
client,224,45139
server,224,54762
client,224,43616
server,224,54037
client,224,43287
server,224,54227
client,224,43549
server,384,147314
client,384,117888
client,384,117030
server,384,146444
client,384,118282
server,384,147057
client,384,116837
server,384,145544
client,384,120517
server,384,149873
server,521,333167
client,521,267010
server,521,340154
client,521,272196
server,521,331497
client,521,265655
client,521,274434
server,521,340972
client,521,264298
server,521,330722
