endpoint,operation,msglen,time
client,hash,8192,108
server,verify,8192,117
server,hash,8192,88
client,verify,8192,90
client,hash,8192,90
server,verify,8192,109
server,hash,8192,89
client,verify,8192,96
client,hash,8192,89
server,verify,8192,90
server,hash,8192,89
client,verify,8192,91
client,hash,8192,89
server,verify,8192,119
server,hash,8192,89
client,verify,8192,119
client,hash,8192,90
server,verify,8192,89
server,hash,8192,89
client,verify,8192,130
client,hash,16384,172
server,verify,16384,173
server,hash,16384,179
client,verify,16384,186
client,hash,16384,174
server,verify,16384,175
server,hash,16384,281
client,verify,16384,184
client,hash,16384,174
server,verify,16384,175
server,hash,16384,173
client,verify,16384,184
client,hash,16384,176
server,verify,16384,172
server,hash,16384,174
client,verify,16384,267
client,hash,16384,172
server,verify,16384,178
server,hash,16384,190
client,verify,16384,175
