endpoint,min_input,max_input,time
server,32,8192,111428
client,32,8192,111851
server,32,8192,111720
client,32,8192,112049
server,32,8192,100699
client,32,8192,100972
server,32,8192,93327
client,32,8192,93606
server,32,8192,95009
client,32,8192,95266
server,32,8192,92301
client,32,8192,92587
server,32,8192,93558
client,32,8192,93870
server,32,8192,94126
client,32,8192,94447
server,32,8192,94377
client,32,8192,94711
server,32,8192,92601
client,32,8192,92956
server,32,8192,92198
client,32,8192,92530
server,32,8192,97558
client,32,8192,97886
server,32,8192,92787
client,32,8192,93090
server,32,8192,92874
client,32,8192,93149
server,32,8192,92785
client,32,8192,93115
server,32,8192,93316
client,32,8192,93625
server,32,8192,93042
client,32,8192,93348
server,32,8192,93778
client,32,8192,94067
server,32,8192,92252
client,32,8192,92593
server,32,8192,92222
client,32,8192,92550
server,32,8192,93073
client,32,8192,93337
server,32,8192,92703
client,32,8192,92990
server,32,8192,92935
client,32,8192,93257
server,32,8192,103272
client,32,8192,103681
server,32,8192,93097
client,32,8192,93445
server,32,8192,405340
client,32,8192,405652
server,32,8192,93186
client,32,8192,93546
server,32,8192,97286
client,32,8192,97621
server,32,8192,92687
client,32,8192,92980
server,32,8192,93007
client,32,8192,93289
server,32,8192,92991
client,32,8192,93269
server,32,8192,92810
client,32,8192,93166
server,32,8192,92931
client,32,8192,93257
server,32,8192,92023
client,32,8192,92363
server,32,8192,92133
client,32,8192,92537
server,32,8192,92667
client,32,8192,93001
server,32,8192,92849
client,32,8192,93206
server,32,8192,92792
client,32,8192,93106
server,32,8192,92677
client,32,8192,92992
server,32,8192,92877
client,32,8192,93192
server,32,8192,92785
client,32,8192,93132
server,32,8192,93737
client,32,8192,94069
server,32,8192,93398
client,32,8192,93672
server,32,8192,93048
client,32,8192,93358
server,32,8192,92833
client,32,8192,93188
server,32,8192,91857
client,32,8192,92170
server,32,8192,92781
client,32,8192,93112
server,32,8192,95128
client,32,8192,95407
server,32,8192,92882
client,32,8192,93226
server,32,8192,92854
client,32,8192,93224
server,32,8192,92584
client,32,8192,92876
server,32,8192,92969
client,32,8192,93286
server,32,8192,92638
client,32,8192,92990
server,32,8192,93083
client,32,8192,93406
server,32,8192,93745
client,32,8192,94023
server,32,8192,91892
client,32,8192,92236
server,32,8192,93022
client,32,8192,93369
server,32,8192,92944
client,32,8192,93292
server,32,8192,92911
client,32,8192,93237
server,32,8192,92029
client,32,8192,92340
server,32,8192,92800
client,32,8192,93126
server,32,8192,93159
client,32,8192,93491
server,32,8192,93602
client,32,8192,93895
server,32,8192,93080
