sec_lvl,test_id,time
1,0,17
1,0,1
1,0,957
1,0,10
1,0,1
1,0,2
1,0,19889
1,0,10254
1,0,1
1,1,14
1,1,1
1,1,7
1,1,8
1,1,1
1,1,2
1,1,20293
1,1,10097
1,1,1
1,2,13
1,2,2
1,2,6
1,2,7
1,2,2
1,2,1
1,2,20199
1,2,10414
1,2,1
1,3,10
1,3,1
1,3,4
1,3,6
1,3,0
1,3,1
1,3,20284
1,3,10322
1,3,1
1,4,9
1,4,1
1,4,6
1,4,5
1,4,1
1,4,2
1,4,20266
1,4,10241
1,4,11
1,5,9
1,5,1
1,5,5
1,5,5
1,5,2
1,5,2
1,5,20209
1,5,10493
1,5,1
1,6,10
1,6,1
1,6,4
1,6,5
1,6,1
1,6,1
1,6,20313
1,6,10346
1,6,1
1,7,10
1,7,1
1,7,4
1,7,5
1,7,1
1,7,2
1,7,20264
1,7,10560
1,7,1
1,8,8
1,8,2
1,8,4
1,8,5
1,8,0
1,8,1
1,8,20490
1,8,10455
1,8,1
1,9,9
1,9,2
1,9,6
1,9,7
1,9,1
1,9,1
1,9,20327
1,9,10340
1,9,1
1,10,10
1,10,1
1,10,4
1,10,5
1,10,0
1,10,1
1,10,20688
1,10,10313
1,10,0
1,11,9
1,11,1
1,11,14
1,11,5
1,11,1
1,11,2
1,11,19636
1,11,10184
1,11,11
1,12,13
1,12,2
1,12,5
1,12,5
1,12,1
1,12,1
1,12,20412
1,12,10232
1,12,1
1,13,15
1,13,1
1,13,5
1,13,4
1,13,1
1,13,1
1,13,20227
1,13,10279
1,13,17
1,14,15
1,14,1
1,14,7
1,14,5
1,14,1
1,14,2
1,14,20096
1,14,10284
1,14,1
1,15,9
1,15,1
1,15,4
1,15,5
1,15,1
1,15,1
1,15,20430
1,15,10067
1,15,1
1,16,9
1,16,1
1,16,4
1,16,5
1,16,1
1,16,2
1,16,20309
1,16,10073
1,16,0
1,17,10
1,17,1
1,17,6
1,17,6
1,17,1
1,17,1
1,17,20153
1,17,10572
1,17,1
1,18,14
1,18,1
1,18,5
1,18,6
1,18,1
1,18,1
1,18,20640
1,18,10488
1,18,1
1,19,9
