sec_lvl,test_id,operation,cycles,time
1,0,get_ecdh_params_from_cert,7779,2
1,0,ecdh_make_public,30599993,11800
1,0,ecdh_calc_secret,19564185,7544
1,0,ecdsa_sign_with_sha256,9827470,3789
1,1,get_ecdh_params_from_cert,7779,2
1,1,ecdh_make_public,55593920,21441
1,1,ecdh_calc_secret,53771041,20738
1,1,ecdsa_sign_with_sha256,55632815,21456
1,2,get_ecdh_params_from_cert,7779,2
1,2,ecdh_make_public,29000112,11183
1,2,ecdh_calc_secret,56592225,21825
1,2,ecdsa_sign_with_sha256,7804930,3009
1,3,get_ecdh_params_from_cert,5186,1
1,3,ecdh_make_public,55417596,21372
1,3,ecdh_calc_secret,53949958,20806
1,3,ecdsa_sign_with_sha256,56109927,21640
1,4,get_ecdh_params_from_cert,5186,2
1,4,ecdh_make_public,9905260,3819
1,4,ecdh_calc_secret,90386794,34858
1,4,ecdsa_sign_with_sha256,46030936,17752
1,5,get_ecdh_params_from_cert,5186,2
1,5,ecdh_make_public,18770727,7238
1,5,ecdh_calc_secret,65532889,25273
1,5,ecdsa_sign_with_sha256,55308690,21330
1,6,get_ecdh_params_from_cert,7779,2
1,6,ecdh_make_public,9736715,3754
1,6,ecdh_calc_secret,0,0
1,6,ecdsa_sign_with_sha256,49630020,19139
1,7,get_ecdh_params_from_cert,7779,2
1,7,ecdh_make_public,54950856,21193
1,7,ecdh_calc_secret,8956222,3453
1,7,ecdsa_sign_with_sha256,0,0
1,8,get_ecdh_params_from_cert,7779,2
1,8,ecdh_make_public,37837056,14591
1,8,ecdh_calc_secret,39766248,15335
1,8,ecdsa_sign_with_sha256,41057562,15833
1,9,get_ecdh_params_from_cert,5186,2
1,9,ecdh_make_public,55212749,21293
1,9,ecdh_calc_secret,15622825,6025
1,9,ecdsa_sign_with_sha256,9954527,3838
1,10,get_ecdh_params_from_cert,7779,2
1,10,ecdh_make_public,43902083,16930
1,10,ecdh_calc_secret,43461273,16760
1,10,ecdsa_sign_with_sha256,10037503,3871
1,11,get_ecdh_params_from_cert,7779,2
1,11,ecdh_make_public,30817805,11885
1,11,ecdh_calc_secret,53750297,20729
1,11,ecdsa_sign_with_sha256,54909368,21176
1,12,get_ecdh_params_from_cert,7779,2
1,12,ecdh_make_public,30714085,11844
1,12,ecdh_calc_secret,53151314,20498
1,12,ecdsa_sign_with_sha256,34066834,13137
1,13,get_ecdh_params_from_cert,5186,2
1,13,ecdh_make_public,51515131,19866
1,13,ecdh_calc_secret,51411411,19826
1,13,ecdsa_sign_with_sha256,51043205,19684
