endpoint,keylen,test_id,time
server,1,0,10
client,1,0,17
server,1,0,4
client,1,0,1
client,1,0,8
server,1,0,17
client,1,0,20828
client,1,0,1
server,1,0,4
client,1,0,3
server,1,0,6
server,1,0,1
client,1,0,19775
server,1,0,1
server,1,0,20157
server,1,0,9962
server,1,1,1
client,1,1,9
client,1,1,1
server,1,1,0
client,1,1,3
server,1,1,14
client,1,1,20119
client,1,1,1
server,1,1,1
client,1,1,2
client,1,1,19468
server,1,1,5
server,1,1,1
server,1,1,1
server,1,1,19977
server,1,1,9955
server,1,2,1
client,1,2,9
client,1,2,1
server,1,2,1
client,1,2,4
server,1,2,15
server,1,2,2
client,1,2,19912
server,1,2,5
client,1,2,0
server,1,2,1
client,1,2,1
server,1,2,2
client,1,2,20044
server,1,2,20507
server,1,2,10067
server,1,3,1
client,1,3,9
client,1,3,2
server,1,3,0
client,1,3,4
server,1,3,14
client,1,3,20041
server,1,3,1
client,1,3,1
server,1,3,6
client,1,3,2
client,1,3,19430
server,1,3,1
server,1,3,1
server,1,3,19949
server,1,3,9971
server,1,4,1
client,1,4,10
server,1,4,1
client,1,4,1
client,1,4,4
server,1,4,15
server,1,4,1
client,1,4,19905
server,1,4,6
client,1,4,0
server,1,4,1
server,1,4,1
client,1,4,1
server,1,4,19959
client,1,4,19446
server,1,4,9810
server,1,5,1
client,1,5,9
client,1,5,1
server,1,5,1
client,1,5,3
client,1,5,20558
server,1,5,14
server,1,5,2
client,1,5,1
server,1,5,5
client,1,5,2
client,1,5,19469
server,1,5,1
server,1,5,2
server,1,5,19944
server,1,5,9778
server,1,6,1
client,1,6,9
client,1,6,1
client,1,6,4
server,1,6,0
server,1,6,15
server,1,6,1
client,1,6,20439
client,1,6,1
server,1,6,5
client,1,6,1
server,1,6,1
client,1,6,19492
server,1,6,1
server,1,6,19999
server,1,6,9980
server,1,7,1
client,1,7,9
client,1,7,1
server,1,7,1
client,1,7,4
server,1,7,15
client,1,7,19706
server,1,7,2
client,1,7,1
server,1,7,7
client,1,7,1
server,1,7,1
client,1,7,19473
server,1,7,1
server,1,7,19900
server,1,7,9822
server,1,8,1
client,1,8,10
client,1,8,1
server,1,8,1
server,1,8,15
server,1,8,2
client,1,8,4
client,1,8,19844
server,1,8,6
client,1,8,1
client,1,8,2
server,1,8,1
server,1,8,2
client,1,8,19457
server,1,8,19933
server,1,8,9910
server,1,9,1
client,1,9,9
client,1,9,1
server,1,9,1
server,1,9,15
client,1,9,3
server,1,9,1
client,1,9,20636
client,1,9,1
server,1,9,4
client,1,9,2
client,1,9,19376
server,1,9,1
server,1,9,1
server,1,9,19919
server,1,9,9854
server,1,10,1
client,1,10,9
server,1,10,1
client,1,10,1
client,1,10,3
server,1,10,14
server,1,10,2
client,1,10,20825
server,1,10,6
client,1,10,0
server,1,10,1
client,1,10,1
client,1,10,19422
server,1,10,2
server,1,10,19904
server,1,10,9854
client,1,11,13
server,1,11,1
server,1,11,1
client,1,11,1
server,1,11,15
client,1,11,5
server,1,11,2
client,1,11,22183
client,1,11,1
server,1,11,6
client,1,11,2
server,1,11,2
server,1,11,1
client,1,11,32108
server,1,11,31837
server,1,11,10074
server,1,12,2
client,1,12,19
client,1,12,2
server,1,12,2
client,1,12,5
client,1,12,21156
server,1,12,25
client,1,12,1
client,1,12,1
server,1,12,2
server,1,12,6
client,1,12,21835
server,1,12,2
server,1,12,2
server,1,12,22458
server,1,12,10512
server,1,13,2
client,1,13,9
client,1,13,1
server,1,13,1
client,1,13,5
server,1,13,15
client,1,13,26397
server,1,13,2
client,1,13,1
server,1,13,5
client,1,13,1
server,1,13,2
client,1,13,19560
server,1,13,1
server,1,13,20128
server,1,13,10453
server,1,14,1
client,1,14,10
client,1,14,1
server,1,14,1
server,1,14,15
client,1,14,4
server,1,14,1
client,1,14,20162
client,1,14,1
server,1,14,5
client,1,14,1
client,1,14,19963
server,1,14,1
server,1,14,1
server,1,14,20552
server,1,14,9806
server,1,15,1
client,1,15,10
client,1,15,1
server,1,15,1
client,1,15,4
server,1,15,15
server,1,15,1
client,1,15,20606
server,1,15,6
server,1,15,1
client,1,15,1
server,1,15,2
client,1,15,1
client,1,15,19526
server,1,15,20110
server,1,15,9831
server,1,16,1
client,1,16,9
server,1,16,1
client,1,16,1
client,1,16,4
server,1,16,14
client,1,16,20294
server,1,16,1
server,1,16,6
client,1,16,1
client,1,16,1
server,1,16,1
server,1,16,1
client,1,16,19461
server,1,16,20040
server,1,16,9831
server,1,17,1
client,1,17,10
client,1,17,1
server,1,17,1
server,1,17,13
client,1,17,3
client,1,17,20320
server,1,17,1
server,1,17,6
client,1,17,1
server,1,17,1
server,1,17,2
client,1,17,1
client,1,17,19467
server,1,17,19983
server,1,17,9816
server,1,18,1
client,1,18,10
client,1,18,1
server,1,18,1
client,1,18,4
server,1,18,14
client,1,18,21719
server,1,18,2
client,1,18,1
client,1,18,1
server,1,18,6
client,1,18,19499
server,1,18,1
server,1,18,1
server,1,18,20024
server,1,18,9820
server,1,19,2
client,1,19,10
client,1,19,1
server,1,19,1
server,1,19,21
client,1,19,4
server,1,19,2
client,1,19,20121
server,1,19,7
client,1,19,1
client,1,19,2
server,1,19,1
client,1,19,19516
server,1,19,1
server,1,19,20022
server,1,19,10178
client,1,20,9
server,1,20,2
server,1,20,1
client,1,20,1
server,1,20,14
server,1,20,2
client,1,20,3
server,1,20,6
server,1,20,1
client,1,20,20354
server,1,20,1
server,1,20,19966
client,1,20,1
server,1,20,9851
client,1,20,2
client,1,20,19383
client,1,21,10
server,1,21,2
server,1,21,0
client,1,21,1
client,1,21,2
server,1,21,14
client,1,21,19997
server,1,21,2
client,1,21,1
client,1,21,1
server,1,21,7
client,1,21,19647
server,1,21,2
server,1,21,2
server,1,21,20199
server,1,21,10075
server,1,22,1
client,1,22,9
client,1,22,2
server,1,22,1
server,1,22,14
client,1,22,3
server,1,22,1
client,1,22,20623
server,1,22,4
client,1,22,1
client,1,22,1
server,1,22,1
client,1,22,19602
server,1,22,1
server,1,22,20130
server,1,22,9805
server,1,23,1
client,1,23,23
client,1,23,1
server,1,23,1
client,1,23,3
client,1,23,19992
server,1,23,14
server,1,23,2
client,1,23,1
client,1,23,2
server,1,23,6
client,1,23,19408
server,1,23,2
server,1,23,1
server,1,23,19936
server,1,23,9812
client,1,24,10
server,1,24,1
server,1,24,1
client,1,24,1
client,1,24,4
server,1,24,15
client,1,24,20465
