endpoint,keylen,time
client,192,29500
server,192,36089
server,192,35975
client,192,29384
server,192,35528
client,192,28770
client,192,29077
server,192,35727
client,192,28849
server,192,35819
client,224,43923
server,224,55091
server,224,54587
client,224,43475
server,224,53778
client,224,43641
client,224,46104
server,224,57187
client,224,43701
server,224,54850
client,384,115553
server,384,144177
client,384,149320
server,384,178564
client,384,117755
server,384,147079
client,384,122346
server,384,153163
client,384,116023
server,384,144699
client,521,272214
server,521,336769
client,521,266532
server,521,332560
client,521,266323
server,521,332323
server,521,336079
client,521,270792
server,521,334667
client,521,269688
