sec_lvl,test_id,operation,time
1,0,get_ecdh_params_from_cert,8
1,0,ecdh_read_public,4
1,0,ecdh_calc_secret,9811
1,0,ecdsa_verify_with_sha256,21029
1,1,get_ecdh_params_from_cert,7
1,1,ecdh_read_public,5
1,1,ecdh_calc_secret,9771
1,1,ecdsa_verify_with_sha256,19901
1,2,get_ecdh_params_from_cert,5
1,2,ecdh_read_public,5
1,2,ecdh_calc_secret,9768
1,2,ecdsa_verify_with_sha256,20141
1,3,get_ecdh_params_from_cert,5
1,3,ecdh_read_public,3
1,3,ecdh_calc_secret,10034
1,3,ecdsa_verify_with_sha256,20568
1,4,get_ecdh_params_from_cert,4
1,4,ecdh_read_public,5
1,4,ecdh_calc_secret,9888
1,4,ecdsa_verify_with_sha256,20076
1,5,get_ecdh_params_from_cert,5
1,5,ecdh_read_public,5
1,5,ecdh_calc_secret,9892
1,5,ecdsa_verify_with_sha256,19956
1,6,get_ecdh_params_from_cert,5
1,6,ecdh_read_public,4
1,6,ecdh_calc_secret,10084
1,6,ecdsa_verify_with_sha256,20260
1,7,get_ecdh_params_from_cert,6
1,7,ecdh_read_public,6
1,7,ecdh_calc_secret,10103
1,7,ecdsa_verify_with_sha256,20492
1,8,get_ecdh_params_from_cert,6
1,8,ecdh_read_public,4
1,8,ecdh_calc_secret,10073
1,8,ecdsa_verify_with_sha256,20505
1,9,get_ecdh_params_from_cert,5
1,9,ecdh_read_public,5
1,9,ecdh_calc_secret,10113
1,9,ecdsa_verify_with_sha256,20502
1,10,get_ecdh_params_from_cert,4
1,10,ecdh_read_public,4
1,10,ecdh_calc_secret,9829
1,10,ecdsa_verify_with_sha256,19420
1,11,get_ecdh_params_from_cert,6
1,11,ecdh_read_public,4
1,11,ecdh_calc_secret,10733
1,11,ecdsa_verify_with_sha256,20182
1,12,get_ecdh_params_from_cert,7
1,12,ecdh_read_public,4
1,12,ecdh_calc_secret,10212
1,12,ecdsa_verify_with_sha256,20498
1,13,get_ecdh_params_from_cert,6
1,13,ecdh_read_public,5
1,13,ecdh_calc_secret,10182
1,13,ecdsa_verify_with_sha256,21426
1,14,get_ecdh_params_from_cert,8
1,14,ecdh_read_public,5
1,14,ecdh_calc_secret,10143
1,14,ecdsa_verify_with_sha256,20069
1,15,get_ecdh_params_from_cert,5
1,15,ecdh_read_public,4
1,15,ecdh_calc_secret,9859
1,15,ecdsa_verify_with_sha256,19952
1,16,get_ecdh_params_from_cert,6
1,16,ecdh_read_public,5
1,16,ecdh_calc_secret,9805
1,16,ecdsa_verify_with_sha256,20446
1,17,get_ecdh_params_from_cert,6
1,17,ecdh_read_public,3
1,17,ecdh_calc_secret,9996
1,17,ecdsa_verify_with_sha256,20817
1,18,get_ecdh_params_from_cert,5
1,18,ecdh_read_public,5
1,18,ecdh_calc_secret,9988
1,18,ecdsa_verify_with_sha256,20117
1,19,get_ecdh_params_from_cert,6
1,19,ecdh_read_public,4
1,19,ecdh_calc_secret,10120
1,19,ecdsa_verify_with_sha256,20459
1,20,get_ecdh_params_from_cert,5
1,20,ecdh_read_public,3
1,20,ecdh_calc_secret,10035
1,20,ecdsa_verify_with_sha256,20141
1,21,get_ecdh_params_from_cert,6
