endpoint,data_size,time
client,1048576,91326
server,1048576,90631
server,1048576,90894
client,1048576,95857
server,1048576,90163
client,1048576,90705
server,1048576,93094
client,1048576,93697
server,1048576,90357
client,1048576,90969
server,1048576,90491
client,1048576,91495
server,1048576,90165
client,1048576,90833
server,1048576,89598
client,1048576,90221
server,1048576,90322
client,1048576,90858
server,1048576,91573
client,1048576,92143
server,1048576,90133
client,1048576,90721
server,1048576,89650
client,1048576,90242
server,1048576,90547
client,1048576,91086
server,1048576,90369
client,1048576,90918
server,1048576,90199
client,1048576,90766
server,1048576,90774
client,1048576,91364
server,1048576,90416
client,1048576,90991
server,1048576,90045
client,1048576,90587
server,1048576,89316
client,1048576,89873
server,1048576,89717
client,1048576,90293
server,1048576,90385
client,1048576,90953
server,1048576,89999
client,1048576,90554
server,1048576,92258
client,1048576,92987
server,1048576,91078
client,1048576,91825
server,1048576,89649
client,1048576,90200
server,1048576,90627
client,1048576,91173
server,1048576,89249
client,1048576,90015
server,1048576,89626
client,1048576,90167
server,1048576,92230
client,1048576,92826
server,1048576,89652
client,1048576,90561
server,1048576,91278
client,1048576,91846
server,1048576,90583
client,1048576,91176
server,1048576,91345
client,1048576,91869
server,1048576,90454
client,1048576,91036
server,1048576,89743
client,1048576,90298
server,1048576,91771
client,1048576,92396
server,1048576,89778
client,1048576,90345
server,1048576,90522
client,1048576,91086
server,1048576,90203
client,1048576,90754
server,1048576,91575
client,1048576,92134
server,1048576,89876
client,1048576,90466
server,1048576,90968
client,1048576,91691
server,1048576,90542
client,1048576,91225
server,1048576,89751
client,1048576,90327
server,1048576,89657
client,1048576,90214
server,1048576,91060
client,1048576,91635
server,1048576,90139
client,1048576,90704
server,1048576,89432
client,1048576,90107
server,1048576,90549
client,1048576,91175
server,1048576,90676
client,1048576,91269
server,1048576,91228
client,1048576,91855
server,1048576,90347
client,1048576,91005
server,1048576,89980
client,1048576,90605
server,1048576,89496
client,1048576,90076
server,1048576,90448
client,1048576,91041
server,1048576,90524
client,1048576,91137
server,1048576,89751
client,1048576,90430
server,1048576,91040
client,1048576,91610
server,1048576,90064
client,1048576,90674
server,1048576,90392
client,1048576,90972
server,1048576,90502
client,1048576,91089
server,1048576,90672
client,1048576,91348
server,1048576,89268
client,1048576,89860
server,1048576,91208
client,1048576,92134
server,1048576,91061
client,1048576,91705
server,1048576,92130
client,1048576,92725
server,1048576,89674
client,1048576,90418
server,1048576,91261
client,1048576,92041
server,1048576,89948
client,1048576,90575
server,1048576,90726
client,1048576,91340
server,1048576,90144
client,1048576,90729
server,1048576,89729
client,1048576,90299
server,1048576,89952
client,1048576,90510
server,1048576,89153
client,1048576,89718
server,1048576,91371
client,1048576,91901
server,1048576,89191
client,1048576,89757
server,1048576,89998
client,1048576,90580
server,1048576,89622
client,1048576,90184
server,1048576,89863
client,1048576,90465
server,1048576,90864
client,1048576,91441
server,1048576,90344
client,1048576,90972
server,1048576,91656
client,1048576,92323
server,1048576,90750
client,1048576,91301
server,1048576,91391
client,1048576,92008
server,1048576,92243
client,1048576,92800
server,1048576,89601
client,1048576,90199
server,1048576,91179
client,1048576,91780
server,1048576,89975
client,1048576,90803
server,1048576,89658
client,1048576,90272
server,1048576,90437
client,1048576,91066
server,1048576,90284
client,1048576,90857
server,1048576,90297
client,1048576,90867
server,1048576,89841
client,1048576,90544
server,1048576,90303
client,1048576,90852
server,1048576,91169
client,1048576,91734
server,1048576,90310
client,1048576,90885
server,1048576,90180
client,1048576,90768
server,1048576,90591
client,1048576,91378
server,1048576,90384
client,1048576,91003
server,1048576,90281
client,1048576,90843
server,1048576,89443
client,1048576,90082
server,1048576,89787
client,1048576,90336
server,1048576,91050
client,1048576,91629
server,1048576,89525
client,1048576,90111
server,1048576,92368
client,1048576,93084
server,1048576,90536
client,1048576,91098
server,1048576,90317
client,1048576,91410
server,1048576,90709
client,1048576,91310
server,1048576,90833
client,1048576,91421
server,1048576,89997
client,1048576,90589
server,1048576,90621
client,1048576,91226
server,1048576,90295
client,1048576,90882
server,1048576,91031
client,1048576,91662
server,1048576,89409
client,1048576,90190
server,1048576,91214
client,1048576,91836
server,1048576,91093
client,1048576,91734
server,1048576,89562
client,1048576,90149
server,1048576,89752
client,1048576,90321
server,1048576,88549
client,1048576,89124
server,1048576,91681
client,1048576,92322
server,1048576,90181
client,1048576,90829
server,1048576,91314
client,1048576,91892
server,1048576,90750
client,1048576,91363
server,1048576,90175
client,1048576,90878
server,1048576,89365
client,1048576,89955
server,1048576,90819
client,1048576,91464
server,1048576,90754
client,1048576,91355
server,1048576,91083
client,1048576,91711
server,1048576,89561
client,1048576,90158
server,1048576,89160
client,1048576,89851
server,1048576,90522
client,1048576,91103
server,1048576,90848
client,1048576,91779
server,1048576,92710
client,1048576,93291
server,1048576,92202
client,1048576,93024
server,1048576,117974
client,1048576,118844
server,1048576,103908
client,1048576,104476
server,1048576,92150
client,1048576,92719
server,1048576,89436
client,1048576,89981
server,1048576,89881
client,1048576,90416
server,1048576,90048
client,1048576,90607
server,1048576,89790
client,1048576,90328
server,1048576,90685
client,1048576,91218
server,1048576,91802
client,1048576,92360
server,1048576,90365
client,1048576,90928
server,1048576,90549
client,1048576,91113
server,1048576,90632
client,1048576,91186
server,1048576,89617
client,1048576,90300
server,1048576,90152
client,1048576,90705
server,1048576,90283
client,1048576,90848
server,1048576,90262
client,1048576,90870
server,1048576,90148
client,1048576,90750
server,1048576,90958
client,1048576,91521
server,1048576,90671
client,1048576,91241
server,1048576,89981
client,1048576,90664
server,1048576,89608
client,1048576,90171
server,1048576,90836
client,1048576,91400
server,1048576,91937
client,1048576,92514
server,1048576,90420
client,1048576,90993
server,1048576,89167
client,1048576,89727
server,1048576,90097
client,1048576,90661
server,1048576,89989
client,1048576,90587
