endpoint,operation,msglen,time
client,hash,8192,148
server,verify,8192,87
server,hash,8192,89
client,verify,8192,89
client,hash,8192,157
server,verify,8192,153
server,hash,8192,94
client,verify,8192,99
client,hash,8192,90
server,verify,8192,91
server,hash,8192,89
client,verify,8192,90
client,hash,8192,89
server,verify,8192,89
server,hash,8192,98
client,verify,8192,108
client,hash,8192,89
server,verify,8192,89
server,hash,8192,89
client,verify,8192,93
client,hash,16384,190
server,verify,16384,198
server,hash,16384,172
client,verify,16384,185
client,hash,16384,176
server,verify,16384,175
server,hash,16384,172
client,verify,16384,176
client,hash,16384,172
server,verify,16384,188
server,hash,16384,234
client,verify,16384,213
client,hash,16384,172
server,verify,16384,222
server,hash,16384,228
client,verify,16384,204
client,hash,16384,173
server,verify,16384,191
server,hash,16384,182
client,verify,16384,215
