endpoint,keylen,time
server,192,36309
client,192,29862
server,192,36506
client,192,29786
server,192,36413
client,192,28529
server,192,35280
client,192,29804
server,192,36398
client,224,44274
server,224,55262
client,224,44337
server,224,54519
client,224,44105
server,224,54555
client,224,45205
server,224,56536
server,224,53288
client,224,43165
client,384,117174
server,384,146579
server,384,148207
client,384,119788
client,384,115551
server,384,144439
client,384,120066
server,384,152206
client,384,118854
server,384,146766
client,521,275367
server,521,340844
client,521,266356
server,521,332135
client,521,266223
server,521,333208
client,521,271496
server,521,337008
client,521,265125
server,521,330327
