endpoint,min_input,max_input,time
server,32,8192,89367
client,32,8192,89980
server,32,8192,88548
client,32,8192,89108
server,32,8192,90327
client,32,8192,90823
server,32,8192,88322
client,32,8192,88917
server,32,8192,87866
client,32,8192,88427
server,32,8192,88397
client,32,8192,88903
server,32,8192,88632
client,32,8192,89137
server,32,8192,87825
client,32,8192,88390
server,32,8192,88096
client,32,8192,88696
server,32,8192,90290
client,32,8192,90852
server,32,8192,95398
client,32,8192,95976
server,32,8192,87919
client,32,8192,88441
server,32,8192,88493
client,32,8192,89022
server,32,8192,87516
client,32,8192,88068
server,32,8192,88708
client,32,8192,89265
server,32,8192,88028
client,32,8192,88561
server,32,8192,88994
client,32,8192,89526
server,32,8192,87912
client,32,8192,88483
server,32,8192,88438
client,32,8192,88982
server,32,8192,87227
client,32,8192,87730
server,32,8192,87581
client,32,8192,88109
server,32,8192,88346
client,32,8192,88887
server,32,8192,88385
client,32,8192,88935
server,32,8192,88110
client,32,8192,88665
server,32,8192,87268
client,32,8192,87802
server,32,8192,341443
client,32,8192,342009
server,32,8192,87738
client,32,8192,88312
server,32,8192,96501
client,32,8192,96996
server,32,8192,88486
client,32,8192,88989
server,32,8192,88282
client,32,8192,88826
server,32,8192,87552
client,32,8192,88067
server,32,8192,87203
client,32,8192,87722
server,32,8192,87990
client,32,8192,88533
server,32,8192,88036
client,32,8192,88589
server,32,8192,345396
client,32,8192,345968
server,32,8192,87657
client,32,8192,88179
server,32,8192,88697
client,32,8192,89201
server,32,8192,88798
client,32,8192,89336
server,32,8192,88252
client,32,8192,88820
server,32,8192,87726
client,32,8192,88240
server,32,8192,88151
client,32,8192,88684
server,32,8192,88245
client,32,8192,88803
server,32,8192,88055
client,32,8192,88633
server,32,8192,88319
client,32,8192,88850
server,32,8192,87938
client,32,8192,88457
server,32,8192,91557
client,32,8192,92124
server,32,8192,88464
client,32,8192,89003
server,32,8192,87925
client,32,8192,88456
server,32,8192,88350
client,32,8192,88918
server,32,8192,87222
client,32,8192,87805
server,32,8192,89015
client,32,8192,89574
server,32,8192,87512
client,32,8192,88032
server,32,8192,87557
client,32,8192,88097
server,32,8192,88649
client,32,8192,89236
server,32,8192,87675
client,32,8192,88240
server,32,8192,88427
client,32,8192,88982
server,32,8192,87754
client,32,8192,88271
server,32,8192,87352
client,32,8192,87904
server,32,8192,87973
client,32,8192,88542
server,32,8192,88215
client,32,8192,88742
server,32,8192,87889
client,32,8192,88425
server,32,8192,87623
client,32,8192,88171
server,32,8192,88042
client,32,8192,88613
server,32,8192,88052
