endpoint,keylen,time
server,224,50880
client,224,40710
client,224,39980
server,224,49793
client,224,39217
server,224,49462
client,224,39693
server,224,49778
server,224,49288
client,224,39183
client,224,38899
server,224,48983
server,224,49335
client,224,39274
client,224,41297
server,224,51405
client,224,38935
server,224,48986
client,224,39037
server,224,49121
server,224,49449
client,224,39351
client,224,39494
server,224,49806
client,224,39962
server,224,50092
server,224,49159
client,224,39040
server,224,49506
client,224,39450
client,224,39212
server,224,49432
client,224,39021
server,224,49126
server,224,49614
client,224,39364
server,224,49902
client,224,39762
client,224,39238
server,224,49365
client,224,39597
server,224,49879
client,224,40290
server,224,50471
server,224,50047
client,224,39921
server,224,51896
client,224,40331
client,224,47319
server,224,57345
server,224,50997
client,224,40652
client,224,40099
server,224,50258
client,224,39283
server,224,49481
server,224,49664
client,224,39506
client,224,38990
server,224,49253
client,224,38964
server,224,49214
client,224,38666
server,224,48740
client,224,38905
server,224,48995
client,224,39017
server,224,49126
client,224,39913
server,224,50048
client,224,39025
server,224,49091
client,224,39457
server,224,49871
client,224,39417
server,224,49646
server,224,49082
client,224,38966
client,224,40092
server,224,50551
client,224,41548
server,224,52231
server,224,51909
client,224,41502
client,224,41929
server,224,52779
client,224,41160
server,224,52096
client,224,40233
server,224,50689
client,224,40955
server,224,51288
client,224,40432
server,224,50584
client,224,40471
server,224,50676
client,224,46917
server,224,56845
client,224,55814
server,224,65933
client,224,40676
server,224,50933
client,224,40398
server,224,50619
client,224,39903
server,224,50380
client,224,39420
server,224,49511
client,224,39468
server,224,49599
client,224,39165
server,224,49266
client,224,39480
server,224,49659
server,224,49352
client,224,38994
client,224,39779
server,224,50130
client,224,39359
server,224,49520
client,224,39103
server,224,49214
client,224,45033
server,224,55196
client,224,39669
server,224,50086
client,224,39293
server,224,49375
client,224,39221
server,224,49299
client,224,39016
server,224,49231
server,224,49151
client,224,39090
client,224,39848
server,224,50283
client,224,39251
server,224,49354
client,224,39057
server,224,49356
client,224,39077
server,224,49187
client,224,39787
server,224,50280
client,224,39489
server,224,49582
client,224,39400
server,224,49489
client,224,39067
server,224,49301
client,224,39540
server,224,49891
client,224,39301
server,224,49599
client,224,38828
server,224,48968
client,224,39046
server,224,49191
client,224,39176
server,224,49397
client,224,39396
server,224,49535
client,224,39122
server,224,49290
client,224,38953
server,224,49031
client,224,39672
server,224,49811
client,224,39535
server,224,49623
client,224,39006
server,224,49052
client,224,38845
server,224,48965
client,224,38930
server,224,49037
client,224,39544
server,224,49864
client,224,39042
server,224,49493
client,224,39083
server,224,49212
client,224,39000
server,224,49085
client,224,39085
server,224,49234
client,224,38823
server,224,48839
client,224,39358
server,224,49561
client,224,38986
server,224,48994
client,224,38946
server,224,48991
client,224,39779
server,224,50187
client,224,39531
server,224,49787
client,224,38884
server,224,49056
client,224,38799
server,224,48902
client,224,38966
server,224,49076
client,224,42805
server,224,52957
client,224,39047
server,224,49128
client,224,39140
server,224,49260
client,224,39163
server,224,49319
client,224,39913
server,224,50216
client,224,38922
server,224,48975
client,224,39006
server,224,49520
client,224,39075
server,224,49153
client,224,39650
server,224,49758
client,224,39260
server,224,49346
client,224,38859
server,224,49059
client,224,38854
server,224,48953
client,224,39877
server,224,50049
client,224,39272
server,224,49402
client,224,38728
server,224,48748
client,224,39423
server,224,49666
server,224,49458
client,224,39351
server,224,49723
client,224,39669
client,224,39460
server,224,49599
client,224,39217
server,224,49702
client,224,39005
server,224,49194
client,224,39374
server,224,49517
client,224,39181
server,224,49300
client,224,39164
server,224,49357
client,224,38987
server,224,49046
client,224,40019
server,224,50119
server,224,49201
client,224,39049
client,224,38847
server,224,49021
client,224,39085
server,224,49206
client,224,39315
server,224,49478
client,224,39928
server,224,50112
client,224,39141
server,224,49251
client,224,39114
server,224,49222
client,224,39103
server,224,49290
client,224,38882
server,224,48960
client,224,39057
server,224,49160
client,224,38827
server,224,48927
client,224,39185
server,224,49273
client,224,39045
server,224,49393
client,224,39576
server,224,49718
client,224,39055
server,224,49262
server,224,49176
client,224,39094
client,224,40148
server,224,50371
client,224,39563
server,224,49667
client,224,39054
server,224,49276
client,224,39110
server,224,49310
client,224,38807
server,224,48942
client,224,39441
server,224,49803
client,224,39150
server,224,49271
client,224,38987
server,224,49159
client,224,38920
server,224,49022
client,224,39881
server,224,49976
client,224,38856
server,224,48933
client,224,39353
server,224,49625
client,224,38932
server,224,49089
client,224,39079
server,224,49267
client,224,39408
server,224,49508
client,224,47563
server,224,57522
client,224,39110
server,224,49522
server,224,50107
client,224,39811
client,224,334048
server,224,343591
client,224,39146
server,224,49119
client,224,39490
server,224,49725
client,224,39574
server,224,49732
client,224,39397
server,224,49520
client,224,39499
server,224,49595
client,224,39241
server,224,49552
server,224,49037
client,224,38994
client,224,39650
server,224,49855
client,224,39368
server,224,49536
client,224,39214
server,224,49701
client,224,39946
server,224,50120
client,224,39447
server,224,49674
client,224,39280
server,224,49605
client,224,38968
server,224,49194
client,224,39415
server,224,49538
client,224,39643
server,224,50119
client,224,39121
server,224,49277
client,224,39435
server,224,49571
client,224,39811
server,224,49957
server,224,49068
client,224,38987
client,224,39051
server,224,49129
client,224,39171
server,224,49374
client,224,38998
server,224,49142
client,224,39041
server,224,49189
client,224,39615
server,224,49710
client,224,39255
server,224,49360
server,224,49210
client,224,39226
client,224,39753
server,224,49938
client,224,39233
server,224,49342
client,224,39160
server,224,49252
client,224,38963
server,224,49015
server,224,49031
client,224,38971
client,224,39560
server,224,49835
client,224,39031
server,224,49369
client,224,39186
server,224,49285
client,224,39560
server,224,49673
client,224,39570
server,224,49722
client,224,38900
server,224,49032
client,224,322643
server,224,332201
client,224,39099
server,224,49325
client,224,39135
server,224,49256
client,224,39238
server,224,49779
client,224,39246
server,224,49374
client,224,38884
server,224,48982
client,224,39324
server,224,49374
client,224,39717
server,224,49943
client,224,39555
server,224,49936
client,224,38956
server,224,49050
client,224,40074
server,224,50468
client,224,39227
server,224,49414
client,224,39120
server,224,49284
client,224,39331
server,224,49685
client,224,39125
server,224,49219
client,224,39194
server,224,49726
client,224,39356
server,224,49516
client,224,38903
server,224,48986
client,224,39748
server,224,50046
server,224,49646
client,224,39417
client,224,39246
server,224,49304
client,224,39185
server,224,49560
client,224,38916
server,224,48995
client,224,39410
server,224,49523
client,224,39673
server,224,49815
client,224,39561
server,224,49710
client,224,39017
server,224,49078
client,224,39787
server,224,49923
server,224,49835
client,224,39461
client,224,38705
server,224,49036
client,224,39117
server,224,49257
client,224,39261
server,224,49354
client,224,39057
server,224,49094
client,224,39499
server,224,50091
client,224,38984
server,224,49076
client,224,39478
server,224,49726
client,224,39006
server,224,49379
client,224,38944
server,224,49035
client,224,38922
server,224,48960
client,224,38940
server,224,49034
client,224,38879
server,224,48956
client,224,38968
server,224,49172
client,224,39175
server,224,49393
client,224,39091
server,224,49115
server,224,50006
client,224,39945
client,224,39484
server,224,49599
client,224,39365
server,224,49519
client,224,39285
server,224,49371
client,224,39402
server,224,49632
client,224,39273
server,224,49427
client,224,39091
server,224,49330
client,224,321799
server,224,331388
client,224,39051
server,224,48845
client,224,39128
server,224,49286
client,224,39548
server,224,49802
client,224,39989
server,224,50122
client,224,42604
server,224,52664
client,224,39511
server,224,49534
client,224,38954
server,224,49033
client,224,39242
server,224,49381
client,224,38760
server,224,48817
client,224,38997
server,224,49092
client,224,39577
server,224,49677
client,224,39025
server,224,49088
client,224,39710
server,224,49915
client,224,39584
server,224,49726
client,224,39289
server,224,49431
client,224,39372
server,224,49501
client,224,39278
server,224,49795
client,224,38763
server,224,48881
server,224,49679
client,224,39569
client,224,39275
server,224,49423
client,224,39496
server,224,49631
client,224,39419
server,224,49516
client,224,38964
server,224,49164
client,224,39304
server,224,49368
client,224,38861
server,224,48948
server,224,49673
client,224,39608
client,224,39028
server,224,49354
client,224,39352
server,224,49438
client,224,39391
server,224,49530
client,224,40545
server,224,50728
client,224,39368
server,224,49493
client,224,39443
server,224,49861
client,224,38942
server,224,49098
client,224,39617
server,224,49792
client,224,39619
server,224,49982
client,224,39299
server,224,49355
client,224,39603
server,224,50049
client,224,39195
server,224,49299
client,224,39590
server,224,49688
client,224,39314
server,224,49650
client,224,38855
server,224,49207
client,224,39636
server,224,49834
client,224,39162
server,224,49390
client,224,39515
server,224,49740
server,224,49409
client,224,39181
client,224,39794
server,224,49932
client,224,39667
server,224,49762
client,224,39218
server,224,49318
client,224,39161
server,224,49364
client,224,39204
server,224,49321
client,224,39155
server,224,49258
client,224,39383
server,224,49515
client,224,39546
server,224,49664
client,224,39490
server,224,49710
client,224,38976
server,224,49237
client,224,39776
server,224,49896
client,224,38812
server,224,49209
client,224,38926
server,224,49163
client,224,39287
server,224,49355
client,224,39486
server,224,49873
client,224,39022
server,224,49012
client,224,39455
server,224,49744
client,224,39146
server,224,49155
client,224,39822
server,224,49834
client,224,38993
server,224,49041
client,224,39282
server,224,49489
client,224,38905
server,224,48972
server,224,49071
client,224,38783
client,224,38946
server,224,48991
server,224,49812
client,224,39487
client,224,39352
server,224,49559
client,224,38755
server,224,48849
client,224,39990
server,224,50229
client,224,39360
server,224,49518
client,224,39338
server,224,49419
client,224,38898
server,224,49027
client,224,39410
server,224,49848
client,224,38994
server,224,49312
server,224,49287
client,224,39204
client,224,39406
server,224,49533
server,224,49389
client,224,39261
client,224,38754
server,224,49039
server,224,49625
client,224,39212
client,224,39022
server,224,49158
client,224,38820
server,224,49033
client,224,39487
server,224,49630
client,224,39111
server,224,49297
client,224,39861
server,224,49956
client,224,40079
server,224,50361
client,224,39309
server,224,49461
client,224,39788
server,224,50300
server,224,49146
client,224,38925
client,224,39244
server,224,49521
client,224,39411
server,224,49667
client,224,38916
server,224,49026
server,224,49775
client,224,39482
client,224,39449
server,224,50053
server,224,49739
client,224,39313
client,224,39392
server,224,49853
client,224,39570
server,224,50245
client,224,39258
server,224,50007
client,224,39511
server,224,49672
client,224,41570
server,224,51721
client,224,39542
server,224,49595
client,224,39676
server,224,50054
server,224,50193
client,224,39623
client,224,39207
server,224,49781
client,224,39424
server,224,49928
client,224,38873
server,224,49165
client,224,39076
server,224,49411
client,224,39070
server,224,49245
client,224,38974
server,224,49026
client,224,39662
server,224,49839
client,224,39765
server,224,49918
client,224,39208
server,224,49294
client,224,39413
server,224,49478
client,224,38923
server,224,48992
client,224,39323
server,224,49398
client,224,39247
server,224,49646
client,224,39033
server,224,49160
server,224,49652
client,224,39495
client,224,39300
server,224,49394
client,224,39579
server,224,49666
client,224,39217
server,224,49312
client,224,39048
server,224,49427
client,224,39026
server,224,49132
client,224,39002
server,224,49074
client,224,39450
server,224,49603
client,224,38998
server,224,49092
client,224,39648
server,224,49805
client,224,39492
server,224,49583
client,224,39060
server,224,49116
client,224,39413
server,224,49534
client,224,38928
server,224,49031
client,224,38940
server,224,49040
client,224,39347
server,224,49446
client,224,39209
server,224,49308
client,224,327840
server,224,337404
client,224,39079
server,224,49432
client,224,39005
server,224,49143
client,224,39355
server,224,49426
client,224,39639
server,224,49915
client,224,40377
server,224,50680
server,224,49451
client,224,39420
client,224,39475
server,224,49607
client,224,39101
server,224,49213
client,224,39592
server,224,49689
client,224,39000
server,224,49067
client,224,39453
server,224,49564
client,224,39014
server,224,49132
client,224,39627
server,224,49944
server,224,49540
client,224,39396
client,224,39241
server,224,49370
server,224,49905
client,224,39550
client,224,38854
server,224,49024
client,224,39411
server,224,49523
client,224,39436
server,224,49637
server,224,49263
client,224,39167
client,224,39796
server,224,49866
client,224,40232
server,224,50368
client,224,38806
server,224,49228
client,224,38906
server,224,49087
client,224,39530
server,224,49629
client,224,39502
server,224,49845
client,224,39444
server,224,49613
client,224,38901
server,224,48961
client,224,39277
server,224,49432
client,224,40269
server,224,50565
client,224,39911
server,224,50022
server,224,49451
client,224,39362
server,224,49195
client,224,39152
client,224,38898
server,224,48978
server,224,49112
client,224,39023
server,224,48923
client,224,38892
client,224,38968
server,224,49094
server,224,50657
client,224,40057
client,224,47026
server,224,56945
client,224,39630
server,224,50092
client,224,39637
server,224,49755
client,224,39416
server,224,49553
client,224,39461
server,224,49657
client,224,39810
server,224,49966
client,224,39442
server,224,49643
client,224,39533
server,224,49768
client,224,40081
server,224,50151
client,224,39012
server,224,49089
server,224,49161
client,224,39081
client,224,38951
server,224,49047
client,224,39543
server,224,49675
client,224,39849
server,224,49913
client,224,39092
server,224,49400
client,224,38874
server,224,48994
client,224,40050
server,224,50187
client,224,39104
server,224,49134
client,224,39646
server,224,49784
client,224,39477
server,224,49575
client,224,39158
server,224,49210
server,224,49245
client,224,39066
client,224,39685
server,224,49771
client,224,38890
server,224,49000
client,224,39552
server,224,49910
client,224,39064
server,224,49228
client,224,43231
server,224,53406
client,224,325123
server,224,334703
client,224,39895
server,224,50093
client,224,39179
server,224,49232
client,224,39028
server,224,49088
client,224,39004
server,224,49110
client,224,39038
server,224,49134
client,224,39453
server,224,49663
client,224,39147
server,224,49381
client,224,327202
server,224,336747
client,224,38940
server,224,49098
client,224,39011
server,224,49317
client,224,39547
server,224,49668
client,224,39151
server,224,49554
client,224,39310
server,224,49409
client,224,39546
server,224,49607
client,224,39282
server,224,49361
client,224,39017
server,224,49101
client,224,38871
server,224,48943
client,224,38811
server,224,49121
client,224,39119
server,224,49298
client,224,39581
server,224,49648
client,224,40475
server,224,50995
client,224,39410
server,224,49603
client,224,38978
server,224,49126
client,224,39327
server,224,49530
server,224,49979
client,224,39534
client,224,39189
