endpoint,operation,msglen,time
client,hash,8192,121
server,verify,8192,103
server,hash,8192,89
client,verify,8192,90
client,hash,8192,98
server,verify,8192,120
server,hash,8192,90
client,verify,8192,136
client,hash,8192,92
server,verify,8192,90
server,hash,8192,91
client,verify,8192,91
client,hash,8192,89
server,verify,8192,90
server,hash,8192,90
client,verify,8192,91
client,hash,8192,91
server,verify,8192,107
server,hash,8192,94
client,verify,8192,90
client,hash,16384,172
server,verify,16384,196
server,hash,16384,171
client,verify,16384,208
client,hash,16384,268
server,verify,16384,182
server,hash,16384,177
client,verify,16384,197
client,hash,16384,179
server,verify,16384,185
server,hash,16384,174
client,verify,16384,226
client,hash,16384,263
server,verify,16384,177
server,hash,16384,173
client,verify,16384,193
client,hash,16384,175
server,verify,16384,231
server,hash,16384,173
client,verify,16384,258
