endpoint,time
server,83517
client,75007
server,85342
client,73512
server,83873
client,73882
server,84131
client,72497
server,82771
client,73519
server,83831
client,73158
server,83562
client,73532
server,83899
client,72494
server,82849
client,72400
server,82773
client,72647
server,82960
client,73906
server,84238
server,82653
client,72333
client,73216
server,83486
client,72824
server,83142
client,73340
server,83598
client,73938
server,84266
client,74349
server,84693
client,76111
server,86418
server,83860
client,73594
client,73476
server,83842
client,73441
server,83802
client,73126
server,83480
client,72979
server,83282
client,72671
server,83023
client,72691
server,83059
client,72875
server,83159
client,72472
server,82805
client,74784
server,85166
client,73012
server,83409
client,73259
server,83598
client,72664
server,82686
client,73565
server,83980
client,75452
server,85788
client,72957
server,83354
client,73490
server,83836
client,72972
server,83374
client,72665
server,83064
server,83709
client,73140
client,73151
server,83462
client,73605
server,84013
client,72578
server,82886
server,83171
client,72799
client,74342
server,84949
client,74874
server,85206
client,73274
server,83607
client,72504
server,82853
client,73825
server,84208
client,75134
server,85513
client,73090
server,83462
client,73449
server,83799
client,73333
server,83697
client,72705
server,83113
server,83641
client,73281
client,72835
server,83202
client,73832
server,84183
client,81043
server,91360
client,73433
server,83798
client,73517
server,83840
client,72913
server,83246
client,74288
server,84938
client,73869
server,84200
client,73427
server,83790
client,73113
server,83493
client,73698
server,84177
server,83912
client,73565
client,74383
server,84921
client,73260
server,83578
server,83864
client,73539
server,84104
client,73727
client,72694
server,83118
client,73830
server,84185
server,84043
client,73695
client,72805
server,83222
client,72816
server,83110
client,75273
server,85608
client,73957
server,84268
client,74823
server,85148
client,72521
server,82886
client,73156
server,83521
client,73346
server,83661
client,73209
server,83642
server,83848
client,73479
client,73482
server,83735
client,73358
server,83713
client,73769
server,84109
client,73558
server,83918
client,72720
server,83064
client,73368
server,83708
client,73747
server,84159
client,74703
server,85006
client,72339
server,82612
client,73105
server,83442
client,73032
server,83398
client,73236
server,83604
client,72453
server,82923
client,72882
server,83364
client,73045
server,83758
client,73173
server,84182
client,73006
server,83716
client,72865
server,83473
client,72759
server,83309
server,83863
client,73344
client,73191
server,83772
client,73881
server,84725
client,73521
server,84386
client,73220
server,84310
client,73260
server,83771
client,73016
server,83488
client,73476
server,84118
client,72996
server,83472
client,76125
server,86825
client,72948
server,83812
client,73371
server,84430
client,72993
server,83727
client,73418
server,83956
client,72270
server,82638
client,72826
server,83112
client,73115
server,83520
client,72835
server,83219
client,73417
server,84015
client,72463
server,82832
client,72809
server,83160
client,72473
server,82762
client,73304
server,83703
client,72863
server,83223
client,86227
server,96548
client,73425
server,83772
client,72889
server,83244
client,73472
server,83798
client,72620
server,82949
client,72875
server,83264
client,72706
server,83004
server,83160
client,72820
client,72736
server,83147
client,72585
server,82910
client,73219
server,83558
client,73416
server,83730
client,73072
server,83448
client,73195
server,83480
client,73203
server,83541
client,72819
server,83137
client,72808
server,83134
client,72343
server,82656
client,73121
server,83450
client,72615
server,82952
client,72960
server,83291
client,72850
server,83448
client,73890
server,84264
client,73239
server,83583
client,73490
server,83798
client,72610
server,82951
client,72991
server,83410
client,73853
server,84190
client,73428
server,83744
client,72592
server,82948
client,73151
server,83527
client,72833
server,83173
client,73322
server,83774
client,73395
server,83750
client,73195
server,83517
client,74088
server,84395
client,72713
server,83106
client,72894
server,83323
client,73175
server,83499
client,72593
server,82941
client,73260
server,83820
client,73076
server,83405
client,73513
server,83853
client,72786
server,83152
client,72493
server,82780
client,73318
server,83509
client,74204
server,84624
client,73124
server,83448
client,72878
server,83171
client,72484
server,82819
client,73699
server,84082
client,73790
server,84447
client,73562
server,83928
client,72802
server,83107
client,73189
server,83537
client,73442
server,83848
client,73438
server,83810
client,73555
server,83887
client,72950
server,83316
client,73290
server,83631
client,72750
server,83025
client,72953
server,83296
client,74125
server,84481
client,72706
server,83011
client,73457
server,83812
client,73223
server,83650
client,72946
server,83316
client,73133
server,83450
client,73714
server,84030
client,73240
server,83611
client,72718
server,83018
client,72717
server,83084
client,73748
server,84144
client,73532
server,83904
client,73309
server,83631
client,73113
server,83484
client,73062
server,83460
client,72848
server,83135
client,73557
server,83908
client,73573
server,83878
client,73318
server,83691
server,83448
client,73098
client,72750
server,83155
client,73319
server,83753
client,73172
server,83532
client,73421
server,83795
client,73098
server,83447
client,72902
server,83246
client,73212
server,83596
client,73376
server,83988
client,72799
server,83165
client,73406
server,83755
client,73356
server,83720
client,73484
server,83861
client,73236
server,83567
client,73079
server,83374
client,72847
server,83192
