endpoint,time
client,75827
server,86397
client,96646
server,107201
client,77411
server,87861
client,73820
server,84186
client,73520
server,83909
client,72416
server,82752
client,72313
server,82659
client,74224
server,84614
client,72783
server,83141
client,73074
server,83451
client,73379
server,83739
client,72901
server,83507
client,72405
server,82726
client,73350
server,83648
client,73126
server,83468
client,72928
server,83309
client,73466
server,83855
server,85468
client,74749
server,84144
client,73848
client,73986
server,84331
client,73386
server,83693
client,73470
server,83794
client,73164
server,83744
client,74551
server,84907
client,74209
server,84713
client,73949
server,84262
client,73656
server,83978
client,73543
server,83905
client,73769
server,84237
client,73256
server,83565
client,73257
server,83541
client,72783
server,83075
client,73402
server,83706
client,73323
server,83594
server,83006
client,72648
client,73018
server,83398
client,72899
server,83275
client,72628
server,83071
client,73018
server,83526
server,86925
client,76442
client,72907
server,83207
client,72416
server,82795
client,73422
server,83765
server,83576
client,73201
client,73111
server,83635
client,73337
server,83596
client,72648
server,82982
client,72942
server,83239
client,72862
server,83213
client,72914
server,83562
client,72939
server,83320
client,72588
server,82935
client,73485
server,83804
client,72579
server,82998
server,82922
client,72575
client,73532
server,83852
client,73159
server,83484
client,72777
server,83073
client,72513
server,82778
client,72468
server,82738
client,73455
server,83880
client,72716
server,83094
client,72266
server,82579
client,73239
server,83509
client,72142
server,82419
client,72306
server,82610
client,73453
server,83710
client,72238
server,82485
client,73489
server,83845
client,73527
server,83904
client,72155
server,82503
client,73480
server,84090
client,72614
server,82964
client,72429
server,82758
client,72780
server,83133
client,73329
server,83683
client,73604
server,83880
client,73616
server,83976
client,73183
server,83501
client,72598
server,82956
client,73250
server,83617
client,73556
server,83910
client,73894
server,84201
client,73509
server,83764
client,72842
server,83222
client,73869
server,84229
client,73529
server,83878
client,72908
server,83208
client,74098
server,84406
client,73479
server,83855
client,73277
server,83626
client,73437
server,83724
client,73905
server,84205
client,74210
server,84488
client,73057
server,83400
client,73209
server,83524
client,72807
server,83144
server,83759
client,73396
client,73159
server,83813
client,73647
server,83985
client,73049
server,83360
client,72708
server,83016
client,73094
server,83447
client,73448
server,84020
client,73161
server,83506
client,73153
server,83475
client,72877
server,83216
client,73223
server,83584
client,73316
server,83608
client,72935
server,83542
client,72838
server,83193
client,73317
server,83663
client,73399
server,83750
client,72845
server,83252
client,73268
server,83583
client,85515
server,95832
client,73024
server,83395
client,72635
server,82965
client,72316
server,82610
client,73061
server,83382
client,74171
server,84438
client,72834
server,83126
client,73432
server,83759
client,72438
server,82798
client,73494
server,84017
server,83284
client,73012
client,72621
server,82975
client,73560
server,83886
client,72930
server,83289
client,72602
server,82935
server,83807
client,73232
client,73677
server,84026
client,72993
server,83336
client,73368
server,83858
client,73309
server,83675
client,72598
server,82917
client,73462
server,83789
client,72555
server,82897
client,72629
server,82893
client,73218
server,83587
client,72495
server,82826
client,72735
server,83094
client,72932
server,83326
client,73270
server,83599
client,72920
server,83215
client,72704
server,83040
client,72882
server,83477
client,73172
server,83460
client,73210
server,83513
client,73121
server,83526
client,72654
server,82958
client,72513
server,82851
client,73071
server,83401
client,72948
server,83247
client,73092
server,83510
client,73824
server,84160
client,73122
server,83368
client,73663
server,83731
client,73564
server,83908
client,73751
server,84089
client,72639
server,82953
server,83805
client,73470
client,324453
server,334462
client,73087
server,83418
client,74014
server,84359
client,75221
server,85641
client,75839
server,86188
client,74340
server,84705
client,73811
server,84173
client,73813
server,84133
client,73920
server,84350
client,73410
server,83735
client,72816
server,83141
client,73180
server,83580
client,73504
server,83830
client,73424
server,83733
client,73562
server,83885
client,73665
server,84001
client,73174
server,83495
client,73464
server,83852
client,73173
server,83543
client,73322
server,83630
client,73006
server,83340
client,72612
server,82916
client,72736
server,83088
client,72489
server,82805
client,73832
server,84487
client,73644
server,83988
client,74329
server,84711
client,73674
server,84021
client,75940
server,86336
client,75792
server,86363
client,75141
server,85469
server,85552
client,75219
client,73719
server,84064
client,73613
server,83970
client,73357
server,83733
client,74262
server,84830
client,73685
server,84271
client,72746
server,83472
client,73173
server,83970
client,72467
server,83034
client,73193
server,83966
client,72748
server,83151
client,72466
server,82898
client,72105
server,82702
client,72626
server,83166
client,72945
server,83915
client,74569
server,85128
client,72833
server,83221
client,73363
server,83794
client,73443
server,83846
client,72730
server,83033
client,73435
server,83795
client,72404
server,82771
client,72602
server,83100
client,72260
server,82614
client,72325
server,82617
client,73260
server,83798
client,75290
server,85647
server,83353
client,73032
client,73600
server,83890
client,72953
server,83295
client,73211
server,83556
client,73189
server,83566
client,73545
server,83837
client,73407
server,83713
client,73332
server,83618
client,73264
server,83626
client,73425
server,83861
client,72982
server,83372
client,73118
server,83478
client,73100
server,83485
client,72906
server,83255
client,72993
server,83299
client,72748
server,83311
client,72836
server,83197
client,72892
server,83241
client,72707
server,83009
client,73106
server,83499
client,72988
server,83351
client,72212
server,82555
client,73460
server,83970
client,72777
server,83124
server,82857
client,72465
client,73168
server,83499
client,73116
server,83390
client,71807
server,82135
client,73014
server,83348
client,72389
server,82708
client,73611
server,84000
client,72482
server,82772
client,72862
server,83207
client,72156
server,82464
client,72435
server,82773
client,73162
server,83750
client,73096
server,83529
client,73885
server,84199
client,72612
server,82912
client,72914
server,83249
client,72989
server,83572
client,72455
server,82791
client,72367
server,82712
client,72549
server,82924
client,73223
server,83599
client,72938
server,83272
client,73878
server,84266
client,72547
server,82881
client,73139
server,83476
client,73321
server,83680
client,73186
server,83594
client,73847
server,84293
client,73150
server,83464
client,73048
server,83372
client,72488
server,82803
client,72769
server,83089
client,72799
server,83289
client,73680
server,84011
client,73755
server,84071
client,73010
server,83279
client,72763
server,83082
client,72303
server,82742
client,72839
server,83150
client,72945
server,83248
server,83456
client,73094
client,72640
server,82847
client,72711
server,83078
client,72889
server,83211
client,75071
server,85435
client,72686
server,83003
client,72670
server,82983
client,72877
server,83140
client,73573
server,83902
client,72881
server,83233
client,72919
server,83292
client,72678
server,83027
server,83469
client,73031
client,72704
server,83057
client,74028
server,84355
client,72237
server,82605
client,73252
server,83590
client,72971
server,83298
client,72448
server,82907
client,73308
